a,b,n_a,n_b,observed_overlap,expected_by_chance,ratio_obs_over_exp,jaccard
E-MTAB-12305:N1,GSE197461:SCC_1,14764,3428,2,68.6,0.03,0.0001
E-MTAB-12305:N1,GSE173231:CX5,14764,3169,2,63.5,0.03,0.0001
E-MTAB-12305:H2,GSE173231:CX7A,13302,2606,1,47.0,0.02,0.0001
E-MTAB-12305:T4,GSE173231:CX3,10630,3211,1,46.3,0.02,0.0001
E-MTAB-12305:T4,GSE173231:CX5,10630,3169,1,45.7,0.02,0.0001
GSE208653:ADC_6,GSE197461:SCC_1,10154,3428,1,47.2,0.02,0.0001
GSE208653:N_HPVpos_2,GSE173231:CX4,7335,4266,1,42.4,0.02,0.0001
E-MTAB-12305:L1,GSE197461:ADC_3,10283,3310,1,46.2,0.02,0.0001
E-MTAB-12305:T1,GSE197461:ADC_1,12732,5753,2,99.3,0.02,0.0001
E-MTAB-12305:H2,GSE197461:ADC_3,13302,3310,1,59.7,0.02,0.0001
E-MTAB-12305:T4,GSE197461:SCC_3,10630,5970,2,86.1,0.02,0.0001
E-MTAB-12305:H2,GSE197461:ADC_1,13302,5753,2,103.8,0.02,0.0001
E-MTAB-12305:H2,GSE197461:SCC_3,13302,5970,2,107.7,0.02,0.0001
GSE208653:SCC_5,GSE197461:ADC_1,6734,5753,1,52.5,0.02,0.0001
E-MTAB-12305:H2,GSE197461:SCC_2,13302,6914,3,124.7,0.02,0.0001
E-MTAB-12305:H2,GSE197461:SCC_1,13302,3428,1,61.8,0.02,0.0001
E-MTAB-12305:T4,GSE197461:ADC_1,10630,5753,2,82.9,0.02,0.0001
GSE208653:HSIL_1,GSE197461:ADC_1,6346,5753,1,49.5,0.02,0.0001
E-MTAB-12305:T4,GSE197461:ADC_5,10630,3562,1,51.4,0.02,0.0001
GSE208653:N_HPVneg_1,GSE197461:SCC_3,11619,5970,2,94.1,0.02,0.0001
GSE208653:N_HPVneg_1,GSE197461:ADC_3,11619,3310,1,52.2,0.02,0.0001
E-MTAB-12305:N1,GSE197461:ADC_3,14764,3310,1,66.3,0.02,0.0001
GSE208653:N_HPVneg_1,GSE197461:ADC_5,11619,3562,1,56.1,0.02,0.0001
GSE208653:HSIL_1,GSE197461:SCC_3,6346,5970,1,51.4,0.02,0.0001
E-MTAB-12305:N1,GSE173231:CX4,14764,4266,2,85.4,0.02,0.0001
GSE208653:HSIL_1,GSE197461:SCC_2,6346,6914,1,59.5,0.02,0.0001
GSE208653:N_HPVneg_1,GSE173231:CX7A,11619,2606,1,41.1,0.02,0.0001
E-MTAB-12305:T2,GSE197461:ADC_4,8818,4406,1,52.7,0.02,0.0001
GSE208653:HSIL_2,GSE197461:ADC_1,7371,5753,1,57.5,0.02,0.0001
GSE208653:N_HPVpos_1,GSE197461:ADC_1,16218,5753,3,126.5,0.02,0.0001
GSE208653:HSIL_2,GSE197461:ADC_4,7371,4406,1,44.0,0.02,0.0001
GSE208653:SCC_5,GSE197461:SCC_3,6734,5970,1,54.5,0.02,0.0001
GSE208653:N_HPVneg_2,GSE197461:ADC_4,9203,4406,1,55.0,0.02,0.0001
E-MTAB-12305:H1,GSE197461:SCC_3,7084,5970,1,57.4,0.02,0.0001
E-MTAB-12305:N2,GSE173231:CX4,13955,4266,2,80.7,0.02,0.0001
E-MTAB-12305:N2,GSE197461:SCC_1,13955,3428,1,64.9,0.02,0.0001
GSE208653:SCC_4,GSE197461:SCC_1,8979,3428,1,41.7,0.02,0.0001
E-MTAB-12305:T3,GSE197461:SCC_3,14248,5970,2,115.4,0.02,0.0001
GSE208653:N_HPVpos_1,GSE173231:CX4,16218,4266,2,93.8,0.02,0.0001
E-MTAB-12305:N3,GSE197461:ADC_5,11465,3562,1,55.4,0.02,0.0001
GSE208653:ADC_6,GSE197461:SCC_3,10154,5970,2,82.2,0.02,0.0001
E-MTAB-12305:N1,GSE197461:ADC_1,14764,5753,2,115.2,0.02,0.0001
