# Excluded records with reason (spec v1.0 section 2)
# run date: 2026-08-24
stage	pmid	doi	year	title	reason	basis
1_no_modality_term	38391360	10.4103/ijpm.ijpm_32_22	2024	Extranodal nasal-type NK/T-cell lymphoma with CD20 positive: A case report and review of literature.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33120792	10.1097/md.0000000000022785	2020	Chemoradiotherapy combined with NK cell transfer in a patient with recurrent and metastatic nasopharyngeal carcinoma inducing long-term tumor control: A case re	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	39342351	10.1186/s40001-024-02060-7	2024	Immunomodulatory effects of Huaier granule in cancer therapy: a meta-analysis of randomized controlled trials.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	30127876	10.3892/ol.2018.9041	2018	Epstein-Barr virus-encoded microRNA BART7 downregulates major histocompatibility complex class I chain-related peptide A and reduces the cytotoxicity of natural	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31295651	10.1016/j.tranon.2019.04.017	2019	Interferon β and Anti-PD-1/PD-L1 Checkpoint Blockade Cooperate in NK Cell-Mediated Killing of Nasopharyngeal Carcinoma Cells.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34796242	10.1093/ofid/ofab217	2021	The Longest Persistence of Viable SARS-CoV-2 With Recurrence of Viremia and Relapsing Symptomatic COVID-19 in an Immunocompromised Patient-A Case Study.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31814472	10.1080/08820139.2019.1690506	2020	Soluble MICA and anti-MICA Antibodies as Biomarkers of Nasopharyngeal Carcinoma Disease.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	37324131	10.3389/fmed.2023.1183564	2023	Multimodality imaging evaluation of primary testicular extranodal natural killer/T-cell lymphoma: two case reports.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38416109	10.1097/inf.0000000000004289	2024	Immunophenotypes of Newborns From SARS-CoV-2-infected Mothers.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33319825	10.1038/s41598-020-78892-0	2020	Association of Epstein-Barr virus infection with peripheral immune parameters and clinical outcome in advanced nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35299256	10.1007/s00262-022-03183-8	2022	Epstein-Barr virus-induced ectopic CD137 expression helps nasopharyngeal carcinoma to escape immune surveillance and enables targeting by chimeric antigen recep	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33178609	10.3389/fonc.2020.576409	2020	Comparison of Nasopharyngeal MR, 18 F-FDG PET/CT, and 18 F-FDG PET/MR for Local Detection of Natural Killer/T-Cell Lymphoma, Nasal Type.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38192995	10.21037/tcr-23-2024	2023	Abnormal variation and prognostic significance of circulating immune cells in patients with nasopharyngeal carcinoma treated with chemoradiotherapy: a prospecti	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38619272	10.1128/jvi.01986-23	2024	Virological, innate, and adaptive immune profiles shaped by variation in route and age of host in murine cytomegalovirus infection.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	28452850	10.1097/cji.0000000000000168	2017	Sunitinib Induces NK-κB-dependent NKG2D Ligand Expression in Nasopharyngeal Carcinoma and Hepatoma Cells.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35574170	10.1080/01658107.2021.1996612	2022	Sinonasal Lymphoma Presenting as Cavernous Sinus Syndrome: Case Report and Review of the Literature.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38219170	10.47391/jpma.8583	2024	Correlation of lymphocyte subsets and inflammatory biomarkers with disease severity in COVID-19 patients.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36788424	10.1158/1055-9965.epi-22-0452	2023	Comparative Analysis of the Humoral Immune Response to the EBV Proteome across EBV-Related Malignancies.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.1101/2020.06.22.165225	2020	In vivo antiviral host response to SARS-CoV-2 by viral load, sex, and age	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32898168	10.1371/journal.pbio.3000849	2020	In vivo antiviral host transcriptional response to SARS-CoV-2 by viral load, sex, and age.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32637426	10.3389/fvets.2020.00340	2020	Mechanisms of Maintenance of Foot-and-Mouth Disease Virus Persistence Inferred From Genes Differentially Expressed in Nasopharyngeal Epithelia of Virus Carriers	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	33392659	10.1007/s00432-020-03475-5	2021	Genetic variants in NKG2D axis and susceptibility to Epstein-Barr virus-induced nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31312900	10.1007/s00262-019-02368-y	2019	Interferon beta increases NK cell cytotoxicity against tumor cells in patients with nasopharyngeal carcinoma via tumor necrosis factor apoptosis-inducing ligand	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34439235	10.3390/cancers13164079	2021	Molecular Properties and Therapeutic Targeting of the EBV-Encoded Receptor BILF1.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31827202	10.1038/s41598-019-55398-y	2019	Possible role of highly activated mucosal NK cells against viral respiratory infections in children undergoing haematopoietic stem cell transplantation.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34027599	10.1007/s00405-021-06879-2	2022	Prognostic significance of tumor-infiltrating lymphocytes and macrophages in nasopharyngeal carcinoma: a systematic review and meta-analysis.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35921476	10.1126/scitranslmed.abm4065	2022	Polysaccharide and conjugate vaccines to Streptococcus pneumoniae generate distinct humoral responses.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
