dataset_id	compartment	gene	category	soup_fraction	nk_myeloid_cpm_ratio	scale_a_verdict	scale_b_verdict	combined_verdict
VT2018	Decidua	CCL2	ligand	0.450305048715531	0.04762023357312488	indistinguishable_from_ambient	above_pickup_band	weak
VT2018	Decidua	CCL3	ligand	0.043006254877898865	0.38688296032926917	above_ambient	above_pickup_band	positive
VT2018	Decidua	CCL4	ligand	0.026088804492888043	1.6625756992545715	above_ambient	above_pickup_band	positive
VT2018	Decidua	CCL5	ligand	0.025159572231203593	6.2598773209123335	above_ambient	above_pickup_band	positive
VT2018	Decidua	CCL20	ligand	0.3299572133144006	0.032467541449647704	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	XCL1	ligand	0.02091228675134698	13.509391887342476	above_ambient	above_pickup_band	positive
VT2018	Decidua	XCL2	ligand	0.020770740985968664	12.790457439051412	above_ambient	above_pickup_band	positive
VT2018	Decidua	CXCL8	ligand	0.41489728036482443	0.031213954358232134	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	CXCL10	ligand	0.30469333701835605	0.06726505534524704	indistinguishable_from_ambient	above_pickup_band	weak
VT2018	Decidua	CXCL12	ligand	1.0	0.06565069401696111	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	CXCL16	ligand	0.31593311683825054	0.04046911268787117	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	CCL1	ligand	0.0291231949146687	1.3755383508315662	above_ambient	unmeasurable	unmeasurable
VT2018	Decidua	CCL3L1	ligand	0.1555630499903997	0.06483150456493468	indistinguishable_from_ambient	above_pickup_band	weak
VT2018	Decidua	CCL4L2	ligand	0.05528715284330888	0.26056638879972577	above_ambient	above_pickup_band	positive
VT2018	Decidua	PPBP	ligand	0.17473916948801219	0.10941782336160186	indistinguishable_from_ambient	unmeasurable	unmeasurable
VT2018	Decidua	CCR1	receptor	0.044598308137422944	0.3999299178233954	above_ambient	above_pickup_band	positive
VT2018	Decidua	CCR2	receptor	0.1103366571563871	0.19719256078354622	indistinguishable_from_ambient	unmeasurable	unmeasurable
VT2018	Decidua	CCR5	receptor	0.057510258520277836	0.38801950805542845	above_ambient	above_pickup_band	positive
VT2018	Decidua	CCR9	receptor	0.03148453504288508	4.048459464379269	above_ambient	unmeasurable	unmeasurable
VT2018	Decidua	CXCR3	receptor	0.024551208513719808	8.174437512080551	above_ambient	above_pickup_band	positive
VT2018	Decidua	CXCR4	receptor	0.0483932097487784	0.8875968260984411	above_ambient	above_pickup_band	positive
VT2018	Decidua	CXCR6	receptor	0.11586647439169268	2.0557288025513074	indistinguishable_from_ambient	above_pickup_band	weak
VT2018	Decidua	CX3CR1	receptor	0.20918595917202892	0.04568286227891794	indistinguishable_from_ambient	above_pickup_band	weak
VT2018	Decidua	S1PR1	receptor	0.3002747676590042	0.2707627493354894	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	S1PR5	receptor	0.03672382201126182	8.065656693512366	above_ambient	unmeasurable	unmeasurable
VT2018	Decidua	SELL	receptor	0.034799940912124634	1.3656612967972683	above_ambient	above_pickup_band	positive
VT2018	Decidua	ACKR2	receptor	0.19552191891068657	4.439237404956418	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Decidua	XCR1	receptor	0.48362153979510447	0.45851278361052206	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
