dataset_id	donor_id	compartment	subset	gene	n_cells	n_detected	detection_rate	mean_cpm	depth_floor	cells_retained_frac	qc_flag
VT2018	D10	Decidua	Epithelial	SELL	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	ACKR2	10	1	0.1	112.23344556677891	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	XCR1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	KLRD1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	NKG7	10	2	0.2	112.23344556677891	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	GNLY	10	4	0.4	2693.6026936026938	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	PRF1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	GZMB	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	NCR1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	IGKC	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	LYZ	10	2	0.2	112.23344556677891	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	C1QA	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	DCN	10	4	0.4	392.8170594837262	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	COL1A1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	IGFBP1	10	3	0.3	617.2839506172841	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	HLA-G	10	2	0.2	112.23344556677891	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CSH1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	HBB	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CD3E	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CD3D	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	TRBC2	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	TRAC	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	ENTPD1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	ITGAE	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	ITGB2	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CD160	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	KLRB1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	ITGA1	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CD9	10	8	0.8	897.8675645342313	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	EOMES	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	TBX21	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	MKI67	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	PTN	10	0	0.0	0.0	1782	1.0	below_min_cells
