dataset_id	donor_id	compartment	subset	depth_floor	n_cells_pre_downsample	n_cells_post_downsample	cells_retained_frac
VT2018	D9	Blood	cDC1	1782	9	9	1.0
VT2018	D9	Blood	dNK2	1782	1	1	1.0
VT2018	D9	Blood	dNKp	1782	1	1	1.0
VT2018	D9	Blood	pbNK_CD56bright	1782	115	115	1.0
VT2018	D9	Blood	pbNK_CD56dim	1782	303	303	1.0
VT2018	D9	Decidua	Endothelial	1782	266	266	1.0
VT2018	D9	Decidua	Epithelial	1782	135	135	1.0
VT2018	D9	Decidua	Granulocyte	1782	26	26	1.0
VT2018	D9	Decidua	ILC3	1782	51	51	1.0
VT2018	D9	Decidua	Myeloid	1782	1091	1091	1.0
VT2018	D9	Decidua	Perivascular	1782	820	820	1.0
VT2018	D9	Decidua	Plasma	1782	60	60	1.0
VT2018	D9	Decidua	Stromal	1782	1108	1108	1.0
VT2018	D9	Decidua	T	1782	192	192	1.0
VT2018	D9	Decidua	Trophoblast	1782	66	66	1.0
VT2018	D9	Decidua	cDC1	1782	42	42	1.0
VT2018	D9	Decidua	dNK1	1782	136	136	1.0
VT2018	D9	Decidua	dNK2	1782	3266	3266	1.0
VT2018	D9	Decidua	dNK3	1782	435	435	1.0
VT2018	D9	Decidua	dNKp	1782	204	204	1.0
VT2018	D9	Decidua	pbNK_CD56bright	1782	7	7	1.0
VT2018	D9	Decidua	pbNK_CD56dim	1782	25	25	1.0
VT2018	D9	Placenta	Endothelial	1782	8	8	1.0
VT2018	D9	Placenta	Epithelial	1782	1	1	1.0
VT2018	D9	Placenta	Granulocyte	1782	27	27	1.0
VT2018	D9	Placenta	Hofbauer	1782	148	148	1.0
VT2018	D9	Placenta	ILC3	1782	1	1	1.0
VT2018	D9	Placenta	Myeloid	1782	234	234	1.0
VT2018	D9	Placenta	Plasma	1782	2	2	1.0
VT2018	D9	Placenta	Stromal	1782	123	123	1.0
VT2018	D9	Placenta	Trophoblast	1782	1118	1118	1.0
VT2018	D9	Placenta	dNK1	1782	3	3	1.0
VT2018	D9	Placenta	dNK2	1782	1	1	1.0
VT2018	D10	Decidua	Endothelial	2093	24	24	1.0
