dataset_id	donor	compartment	celltype_raw	subset	n_cells_pre_qc	n_cells_post_qc	frac_cells_kept_qc	median_umi	median_genes	median_mito_frac	min_genes_threshold	max_mito_threshold
VT2018	D7	Decidua	ILC3	ILC3	17	17	1.0	7241.0	2262.0	0.0	200	0.1
VT2018	D7	Decidua	NK CD16+	pbNK_CD56dim	6	6	1.0	4555.0	1722.0	0.0	200	0.1
VT2018	D7	Decidua	Plasma	Plasma	1	1	1.0	3026.0	1263.0	0.0	200	0.1
VT2018	D7	Decidua	SCT	Trophoblast	2	2	1.0	9434.5	2424.5	0.0	200	0.1
VT2018	D7	Decidua	Tcells	T	71	71	1.0	6382.0	1974.0	0.0	200	0.1
VT2018	D7	Decidua	VCT	Trophoblast	3	3	1.0	3602.0	1339.0	0.0	200	0.1
VT2018	D7	Decidua	dM1	Myeloid	53	53	1.0	10510.0	2502.0	0.0	200	0.1
VT2018	D7	Decidua	dM2	Myeloid	59	59	1.0	7874.0	2413.0	0.0	200	0.1
VT2018	D7	Decidua	dM3	Myeloid	6	6	1.0	9396.0	1771.5	0.0	200	0.1
VT2018	D7	Decidua	dNK p	dNKp	24	24	1.0	13678.0	3442.5	0.0	200	0.1
VT2018	D7	Decidua	dNK1	dNK1	108	108	1.0	5592.5	2065.5	0.0	200	0.1
VT2018	D7	Decidua	dNK2	dNK2	99	99	1.0	6053.0	2012.0	0.0	200	0.1
VT2018	D7	Decidua	dNK3	dNK3	75	75	1.0	5535.0	1895.0	0.0	200	0.1
VT2018	D7	Decidua	dP1	Perivascular	62	62	1.0	5808.5	1994.0	0.0	200	0.1
VT2018	D7	Decidua	dP2	Perivascular	78	78	1.0	4863.5	1654.0	0.0	200	0.1
VT2018	D7	Decidua	dS1	Stromal	2452	2452	1.0	13236.0	3083.0	0.0	200	0.1
VT2018	D7	Decidua	dS2	Stromal	2632	2632	1.0	11105.5	2806.0	0.0	200	0.1
VT2018	D7	Decidua	dS3	Stromal	317	317	1.0	5937.0	1708.0	0.0	200	0.1
VT2018	D8	Blood	DC1	cDC1	1	1	1.0	13016.0	2442.0	0.0	200	0.1
VT2018	D8	Blood	DC2	Myeloid	77	77	1.0	11732.0	2525.0	0.0	200	0.1
VT2018	D8	Blood	Granulocytes	Granulocyte	30	30	1.0	11289.0	2550.0	0.0	200	0.1
VT2018	D8	Blood	MO	Myeloid	105	105	1.0	4148.0	1388.0	0.0	200	0.1
VT2018	D8	Blood	NK CD16+	pbNK_CD56dim	360	360	1.0	2535.5	1061.5	0.0	200	0.1
VT2018	D8	Blood	NK CD16-	pbNK_CD56bright	72	72	1.0	3403.0	1163.5	0.0	200	0.1
VT2018	D8	Blood	Plasma	Plasma	49	49	1.0	7143.0	1959.0	0.0	200	0.1
VT2018	D8	Blood	Tcells	T	3843	3843	1.0	3787.0	981.0	0.0	200	0.1
VT2018	D8	Blood	dNK p	dNKp	1	1	1.0	10741.0	2695.0	0.0	200	0.1
VT2018	D8	Decidua	DC1	cDC1	117	117	1.0	7363.0	1875.0	0.0	200	0.1
VT2018	D8	Decidua	DC2	Myeloid	2	2	1.0	10393.0	2610.0	0.0	200	0.1
VT2018	D8	Decidua	EVT	Trophoblast	1	1	1.0	2927.0	982.0	0.0	200	0.1
VT2018	D8	Decidua	Endo (m)	Endothelial	18	18	1.0	5064.0	1887.0	0.0	200	0.1
VT2018	D8	Decidua	Endo L	Endothelial	15	15	1.0	4788.0	1861.0	0.0	200	0.1
VT2018	D8	Decidua	Epi1	Epithelial	14	14	1.0	2991.0	1274.0	0.0	200	0.1
VT2018	D8	Decidua	Epi2	Epithelial	5	5	1.0	4255.0	2276.0	0.0	200	0.1
