gene	col	lineage	class	lineage_cpm	ambient_cpm	nk_cpm	soup_fraction	saturated	dataset_id	compartment
DEFB1	11217	Epithelial	non_haematopoietic	5182.624607049014	48.26666425096645	1.3095895105464346	1.0	True	VT2018	Decidua
SLPI	5371	Epithelial	non_haematopoietic	2637.354616622421	24.58644498870513	0.6031004324884895	1.0	True	VT2018	Decidua
PCCA	13479	Epithelial	non_haematopoietic	1542.523577059131	24.97869194492708	8.943117841757887	0.2763430196976977	False	VT2018	Decidua
MT1G	5525	Epithelial	non_haematopoietic	1542.0992239430213	22.675931796762015	1.5508296835418303	1.0	True	VT2018	Decidua
SCGB1D4	16596	Epithelial	non_haematopoietic	1508.1509746542372	13.015159780157619	1.016655014766311	1.0	True	VT2018	Decidua
S100A1	10304	Epithelial	non_haematopoietic	1480.5680221071	19.017214498209	0.4824803459907917	1.0	True	VT2018	Decidua
SCGB2A1	5516	Epithelial	non_haematopoietic	1147.4508259609054	9.992153065826386	0.24124017299539585	1.0	True	VT2018	Decidua
FXYD2	7382	Epithelial	non_haematopoietic	1099.9232769566074	11.290625748492152	1.7231440928242558	0.6482823188005252	False	VT2018	Decidua
WFDC2	2505	Epithelial	non_haematopoietic	1080.8273867316664	11.706542779658529	0.36186025949309375	1.0	True	VT2018	Decidua
CLDN3	11316	Epithelial	non_haematopoietic	788.0237366159027	7.489888000272571	0.2929344957801235	1.0	True	VT2018	Decidua
TPSB2	16463	Granulocyte	haematopoietic	24063.351498637603	41.47335274191561	7.719685535852667	0.5315416452803743	False	VT2018	Decidua
TPSAB1	12938	Granulocyte	haematopoietic	22209.213215258853	38.4604903454177	7.392288158216058	0.5147586930216654	False	VT2018	Decidua
CPA3	10900	Granulocyte	haematopoietic	1473.0926430517711	2.701769982942566	1.051117896622796	0.2543107402931179	False	VT2018	Decidua
CTSG	2291	Granulocyte	haematopoietic	806.7949591280653	1.6873381996099381	1.292358069618192	0.12917754899928605	False	VT2018	Decidua
MS4A2	9051	Granulocyte	haematopoietic	581.1478201634877	1.1530707937214206	0.3790917004213363	0.3009396807849099	False	VT2018	Decidua
HDC	7794	Granulocyte	haematopoietic	317.183242506812	0.6593806591662084	0.5341746687755193	0.12212952706151389	False	VT2018	Decidua
ADCYAP1	7959	Granulocyte	haematopoietic	157.52724795640327	0.3077109742775639	0.10338864556945535	0.2944678596927613	False	VT2018	Decidua
