dataset_id	compartment	subset	gene	detection_rate	n_cells
VT2018	Decidua	dNK2	TBX21	0.027366863905325445	5408
VT2018	Decidua	dNK2	MKI67	0.04345414201183432	5408
VT2018	Decidua	dNK3	ENTPD1	0.054856567689984904	1987
VT2018	Decidua	dNK3	ITGAE	0.2617010568696527	1987
VT2018	Decidua	dNK3	ITGB2	0.6663311524911928	1987
VT2018	Decidua	dNK3	CD160	0.31001509813789635	1987
VT2018	Decidua	dNK3	KLRB1	0.964771011575239	1987
VT2018	Decidua	dNK3	ITGA1	0.23754403623553094	1987
VT2018	Decidua	dNK3	CD9	0.3729240060392552	1987
VT2018	Decidua	dNK3	EOMES	0.29139406139909413	1987
VT2018	Decidua	dNK3	TBX21	0.14192249622546552	1987
VT2018	Decidua	dNK3	MKI67	0.035732259687971814	1987
VT2018	Decidua	dNKp	ENTPD1	0.33012379642365886	727
VT2018	Decidua	dNKp	ITGAE	0.405777166437414	727
VT2018	Decidua	dNKp	ITGB2	0.6011004126547456	727
VT2018	Decidua	dNKp	CD160	0.048143053645116916	727
VT2018	Decidua	dNKp	KLRB1	0.71939477303989	727
VT2018	Decidua	dNKp	ITGA1	0.3452544704264099	727
VT2018	Decidua	dNKp	CD9	0.5900962861072903	727
VT2018	Decidua	dNKp	EOMES	0.5419532324621733	727
VT2018	Decidua	dNKp	TBX21	0.05089408528198074	727
VT2018	Decidua	dNKp	MKI67	0.7441540577716643	727
VT2018	Decidua	pbNK_CD56bright	ENTPD1	0.1	10
VT2018	Decidua	pbNK_CD56bright	ITGAE	0.1	10
VT2018	Decidua	pbNK_CD56bright	ITGB2	0.8	10
VT2018	Decidua	pbNK_CD56bright	CD160	0.0	10
VT2018	Decidua	pbNK_CD56bright	KLRB1	1.0	10
VT2018	Decidua	pbNK_CD56bright	ITGA1	0.0	10
VT2018	Decidua	pbNK_CD56bright	CD9	0.0	10
VT2018	Decidua	pbNK_CD56bright	EOMES	0.3	10
VT2018	Decidua	pbNK_CD56bright	TBX21	0.1	10
VT2018	Decidua	pbNK_CD56bright	MKI67	0.0	10
VT2018	Decidua	pbNK_CD56dim	ENTPD1	0.08791208791208792	91
VT2018	Decidua	pbNK_CD56dim	ITGAE	0.17582417582417584	91
VT2018	Decidua	pbNK_CD56dim	ITGB2	0.945054945054945	91
VT2018	Decidua	pbNK_CD56dim	CD160	0.5054945054945055	91
VT2018	Decidua	pbNK_CD56dim	KLRB1	0.9560439560439561	91
VT2018	Decidua	pbNK_CD56dim	ITGA1	0.03296703296703297	91
VT2018	Decidua	pbNK_CD56dim	CD9	0.04395604395604396	91
VT2018	Decidua	pbNK_CD56dim	EOMES	0.16483516483516483	91
VT2018	Decidua	pbNK_CD56dim	TBX21	0.31868131868131866	91
VT2018	Decidua	pbNK_CD56dim	MKI67	0.03296703296703297	91
VT2018	Placenta	Endothelial	ENTPD1	0.4421768707482993	147
VT2018	Placenta	Endothelial	ITGAE	0.3129251700680272	147
VT2018	Placenta	Endothelial	ITGB2	0.10204081632653061	147
VT2018	Placenta	Endothelial	CD160	0.0	147
VT2018	Placenta	Endothelial	KLRB1	0.0	147
VT2018	Placenta	Endothelial	ITGA1	0.19727891156462585	147
VT2018	Placenta	Endothelial	CD9	0.4897959183673469	147
VT2018	Placenta	Endothelial	EOMES	0.0	147
VT2018	Placenta	Endothelial	TBX21	0.0	147
VT2018	Placenta	Endothelial	MKI67	0.12244897959183673	147
VT2018	Placenta	Epithelial	ENTPD1	0.022727272727272728	44
VT2018	Placenta	Epithelial	ITGAE	0.4318181818181818	44
VT2018	Placenta	Epithelial	ITGB2	0.1590909090909091	44
VT2018	Placenta	Epithelial	CD160	0.0	44
VT2018	Placenta	Epithelial	KLRB1	0.0	44
VT2018	Placenta	Epithelial	ITGA1	0.11363636363636363	44
VT2018	Placenta	Epithelial	CD9	0.9772727272727273	44
VT2018	Placenta	Epithelial	EOMES	0.0	44
VT2018	Placenta	Epithelial	TBX21	0.0	44
VT2018	Placenta	Epithelial	MKI67	0.022727272727272728	44
VT2018	Placenta	Granulocyte	ENTPD1	0.07692307692307693	39
VT2018	Placenta	Granulocyte	ITGAE	0.6410256410256411	39
VT2018	Placenta	Granulocyte	ITGB2	0.41025641025641024	39
VT2018	Placenta	Granulocyte	CD160	0.0	39
VT2018	Placenta	Granulocyte	KLRB1	0.0	39
VT2018	Placenta	Granulocyte	ITGA1	0.0	39
VT2018	Placenta	Granulocyte	CD9	0.3333333333333333	39
VT2018	Placenta	Granulocyte	EOMES	0.0	39
VT2018	Placenta	Granulocyte	TBX21	0.0	39
VT2018	Placenta	Granulocyte	MKI67	0.5128205128205128	39
VT2018	Placenta	Hofbauer	ENTPD1	0.22153846153846155	1300
VT2018	Placenta	Hofbauer	ITGAE	0.3123076923076923	1300
VT2018	Placenta	Hofbauer	ITGB2	0.9238461538461539	1300
VT2018	Placenta	Hofbauer	CD160	0.0	1300
VT2018	Placenta	Hofbauer	KLRB1	0.0015384615384615385	1300
VT2018	Placenta	Hofbauer	ITGA1	0.019230769230769232	1300
VT2018	Placenta	Hofbauer	CD9	0.0876923076923077	1300
VT2018	Placenta	Hofbauer	EOMES	0.0007692307692307692	1300
VT2018	Placenta	Hofbauer	TBX21	0.0	1300
VT2018	Placenta	Hofbauer	MKI67	0.17153846153846153	1300
VT2018	Placenta	ILC3	ENTPD1	0.0	1
VT2018	Placenta	ILC3	ITGAE	1.0	1
VT2018	Placenta	ILC3	ITGB2	1.0	1
VT2018	Placenta	ILC3	CD160	0.0	1
VT2018	Placenta	ILC3	KLRB1	1.0	1
VT2018	Placenta	ILC3	ITGA1	0.0	1
VT2018	Placenta	ILC3	CD9	0.0	1
VT2018	Placenta	ILC3	EOMES	0.0	1
VT2018	Placenta	ILC3	TBX21	0.0	1
VT2018	Placenta	ILC3	MKI67	0.0	1
VT2018	Placenta	Myeloid	ENTPD1	0.23440860215053763	930
VT2018	Placenta	Myeloid	ITGAE	0.478494623655914	930
VT2018	Placenta	Myeloid	ITGB2	0.9666666666666667	930
VT2018	Placenta	Myeloid	CD160	0.0	930
VT2018	Placenta	Myeloid	KLRB1	0.00967741935483871	930
VT2018	Placenta	Myeloid	ITGA1	0.01935483870967742	930
VT2018	Placenta	Myeloid	CD9	0.921505376344086	930
VT2018	Placenta	Myeloid	EOMES	0.002150537634408602	930
VT2018	Placenta	Myeloid	TBX21	0.001075268817204301	930
VT2018	Placenta	Myeloid	MKI67	0.07204301075268817	930
VT2018	Placenta	Plasma	ENTPD1	0.3333333333333333	6
VT2018	Placenta	Plasma	ITGAE	0.6666666666666666	6
VT2018	Placenta	Plasma	ITGB2	0.5	6
VT2018	Placenta	Plasma	CD160	0.0	6
VT2018	Placenta	Plasma	KLRB1	0.0	6
VT2018	Placenta	Plasma	ITGA1	0.0	6
VT2018	Placenta	Plasma	CD9	0.3333333333333333	6
VT2018	Placenta	Plasma	EOMES	0.0	6
VT2018	Placenta	Plasma	TBX21	0.0	6
VT2018	Placenta	Plasma	MKI67	0.16666666666666666	6
