dataset_id	donor_id	compartment	subset	gene	n_cells	n_detected	detection_rate	mean_cpm	depth_floor	cells_retained_frac	qc_flag
VT2018	D12	Decidua	Perivascular	CXCL16	20	1	0.05	23.39728591483388	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CCL1	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CCL3L1	20	1	0.05	23.39728591483388	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CCL4L2	20	1	0.05	23.39728591483388	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	PPBP	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CCR1	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CCR2	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CCR5	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CCR9	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CXCR3	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CXCR4	20	1	0.05	23.39728591483388	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CXCR6	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	CX3CR1	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	S1PR1	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	S1PR5	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	SELL	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	ACKR2	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	XCR1	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	KLRD1	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	NKG7	20	1	0.05	46.79457182966776	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	GNLY	20	6	0.3	304.16471689284043	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	PRF1	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	GZMB	20	1	0.05	23.39728591483388	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	NCR1	20	0	0.0	0.0	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	IGKC	20	1	0.05	70.19185774450163	2137	1.0	below_min_cells
VT2018	D12	Decidua	Perivascular	LYZ	20	0	0.0	0.0	2137	1.0	below_min_cells
