区室,队列,细胞类型,供体,状态,核数,值
灰质,Schirmer 2019,OPC,MS9,MS,373,7.971681594848633
灰质,Schirmer 2019,astrocyte,C1,Control,265,2.8959195613861084
灰质,Schirmer 2019,astrocyte,C2,Control,37,0.0
灰质,Schirmer 2019,astrocyte,C3,Control,356,1.3965482711791992
灰质,Schirmer 2019,astrocyte,C4,Control,291,3.7750794887542725
灰质,Schirmer 2019,astrocyte,C5,Control,301,5.945505142211914
灰质,Schirmer 2019,astrocyte,C6,Control,232,13.716959953308105
灰质,Schirmer 2019,astrocyte,C7,Control,21,0.0
灰质,Schirmer 2019,astrocyte,C8,Control,42,11.538006782531738
灰质,Schirmer 2019,astrocyte,C9,Control,26,0.0
灰质,Schirmer 2019,astrocyte,MS1,MS,391,4.93217658996582
灰质,Schirmer 2019,astrocyte,MS10,MS,231,3.6120095252990723
灰质,Schirmer 2019,astrocyte,MS11,MS,42,0.0
灰质,Schirmer 2019,astrocyte,MS12,MS,613,3.2052407264709473
灰质,Schirmer 2019,astrocyte,MS2,MS,464,2.7197089195251465
灰质,Schirmer 2019,astrocyte,MS3,MS,168,8.98464584350586
灰质,Schirmer 2019,astrocyte,MS4,MS,371,4.443048000335693
灰质,Schirmer 2019,astrocyte,MS5,MS,315,1.8458924293518066
灰质,Schirmer 2019,astrocyte,MS6,MS,335,4.913998603820801
灰质,Schirmer 2019,astrocyte,MS7,MS,222,17.580530166625977
灰质,Schirmer 2019,astrocyte,MS8,MS,156,2.3859832286834717
灰质,Schirmer 2019,astrocyte,MS9,MS,502,7.743904113769531
灰质,Schirmer 2019,endothelial,C6,Control,32,33.64948272705078
灰质,Schirmer 2019,endothelial,C8,Control,32,62.5372200012207
灰质,Schirmer 2019,endothelial,MS10,MS,63,19.415618896484375
灰质,Schirmer 2019,endothelial,MS11,MS,20,33.809017181396484
灰质,Schirmer 2019,endothelial,MS12,MS,21,17.330957412719727
灰质,Schirmer 2019,endothelial,MS5,MS,51,279.4735412597656
灰质,Schirmer 2019,endothelial,MS7,MS,92,55.36143112182617
灰质,Schirmer 2019,lymphocyte,MS7,MS,94,35.2486686706543
灰质,Schirmer 2019,microglia,C1,Control,90,10.547454833984375
灰质,Schirmer 2019,microglia,C5,Control,47,26.92852783203125
灰质,Schirmer 2019,microglia,MS1,MS,302,22.718788146972656
灰质,Schirmer 2019,microglia,MS10,MS,126,20.88798713684082
灰质,Schirmer 2019,microglia,MS11,MS,28,0.0
灰质,Schirmer 2019,microglia,MS12,MS,93,0.0
灰质,Schirmer 2019,microglia,MS2,MS,70,7.40375280380249
灰质,Schirmer 2019,microglia,MS3,MS,104,40.81999969482422
灰质,Schirmer 2019,microglia,MS4,MS,325,10.726020812988281
灰质,Schirmer 2019,microglia,MS5,MS,74,6.273797512054443
灰质,Schirmer 2019,microglia,MS6,MS,36,36.259708404541016
灰质,Schirmer 2019,microglia,MS7,MS,273,22.674766540527344
灰质,Schirmer 2019,microglia,MS8,MS,30,18.332019805908203
灰质,Schirmer 2019,microglia,MS9,MS,63,12.466869354248047
灰质,Schirmer 2019,neuron,C1,Control,1032,1.2024415731430054
