cell_type,gene,cp10k_ctrl,cp10k_MS,ratio,donor_MW_p
neurons,STAT1,0.14487605312578367,0.223400215990003,1.542009263574039,0.7857142857142857
neurons,MX1,0.05212004350256851,0.07601169174763588,1.4583965522570979,0.14285714285714285
neurons,ISG15,0.018992897208563102,0.009918598801215902,0.5222267404650629,1.0
neurons,IFIT3,0.022747307121883716,0.08620838210402607,3.78982802852697,0.39285714285714285
neurons,OAS1,0.010158991530161659,0.007971957914995957,0.7847194174074777,0.39285714285714285
neurons,BST2,0.00022084764196003608,0.003244401477033239,14.69067746541906,0.12663045794761718
neurons,IRF7,0.00044169528392007216,0.0016685493310456658,3.777602776822044,0.7326782613757068
neurons,XAF1,0.0006625429258801083,0.007230380434531218,10.913074688597016,0.34061689209800905
neurons,EIF2AK2,0.5567569053812509,0.8456764192849783,1.518932968969435,0.5714285714285714
endothelial/vascular,IFIH1,0.5600697174784317,0.5852958196967536,1.045041003701996,
endothelial/vascular,DDX58,0.8468254128273888,0.5939031111628824,0.7013288715320352,
endothelial/vascular,DHX58,0.0582472506177569,0.048057377352552076,0.825058296191951,
endothelial/vascular,MAVS,0.9453976831035927,0.5860130939855978,0.6198588218048181,
endothelial/vascular,STAT1,0.5959141793970514,0.4791392249478326,0.8040406513445071,
endothelial/vascular,MX1,1.3172839755092713,0.5451284595214863,0.4138275950033748,
endothelial/vascular,ISG15,0.5959141793970514,0.6469814085373429,1.08569561004902,
endothelial/vascular,IFIT3,0.26435290664981975,0.19151223512136425,0.7244567027782096,
endothelial/vascular,OAS1,0.11201394349568634,0.07531380032862639,0.6723609398817989,
endothelial/vascular,BST2,1.0618921843391065,2.6460248515457403,2.491801795483179,
endothelial/vascular,IRF7,0.15681952089396087,0.20083680087633704,1.28068750453676,
endothelial/vascular,XAF1,2.6659318551973348,1.6224744413652656,0.6085956166517125,
endothelial/vascular,EIF2AK2,1.3710506683872008,1.3384338229830175,0.9762103282130694,
