dataset,grp,n,umi,tot,CP10k
00476f9f-ebc1-4b72-b541-32f912ce36ea,neuron,9022,127.0,190993805.0,0.006649430330999479
00476f9f-ebc1-4b72-b541-32f912ce36ea,endothelial,16,5.0,46861.0,1.0669853396214335
00476f9f-ebc1-4b72-b541-32f912ce36ea,mural,9,0.0,25037.0,0.0
00476f9f-ebc1-4b72-b541-32f912ce36ea,astrocyte,141,10.0,561849.0,0.17798376432101864
00476f9f-ebc1-4b72-b541-32f912ce36ea,oligodendrocyte,635,11.0,2654351.0,0.04144139188826195
00476f9f-ebc1-4b72-b541-32f912ce36ea,OPC,113,8.0,506198.0,0.1580409246974504
00476f9f-ebc1-4b72-b541-32f912ce36ea,microglia,97,6.0,236416.0,0.2537899296155929
ca20e2ac-5676-4158-b5d0-0c2b15898b19,oligodendrocyte,10709,299.0,55498692.0,0.053875143579960406
ca20e2ac-5676-4158-b5d0-0c2b15898b19,neuron,1511,7.0,27618587.0,0.002534525028380344
ca20e2ac-5676-4158-b5d0-0c2b15898b19,astrocyte,8675,250.0,28447579.0,0.08788094058900407
ca20e2ac-5676-4158-b5d0-0c2b15898b19,OPC,1133,41.0,5177278.0,0.07919219327221756
ca20e2ac-5676-4158-b5d0-0c2b15898b19,mural,172,4.0,388516.0,0.10295586282160837
ca20e2ac-5676-4158-b5d0-0c2b15898b19,endothelial,37,12.0,97716.0,1.2280486307257767
ca20e2ac-5676-4158-b5d0-0c2b15898b19,microglia,11345,559.0,18701922.0,0.2988997601422998
f3c49918-4707-4d92-bb6d-2b5b4eb9d1b4,oligodendrocyte,6080,254.0,43301577.0,0.05865837172627685
f3c49918-4707-4d92-bb6d-2b5b4eb9d1b4,astrocyte,1638,212.0,19346789.0,0.10957890738354566
f3c49918-4707-4d92-bb6d-2b5b4eb9d1b4,neuron,443,7.0,21333039.0,0.003281295271620701
f3c49918-4707-4d92-bb6d-2b5b4eb9d1b4,microglia,1201,214.0,6759744.0,0.3165800361670501
f3c49918-4707-4d92-bb6d-2b5b4eb9d1b4,OPC,1459,143.0,19770946.0,0.07232835495074438
f3c49918-4707-4d92-bb6d-2b5b4eb9d1b4,endothelial,31,10.0,157720.0,0.63403499873193
fbf173f9-f809-4d84-9b65-ae205d35b523,microglia,650,78.0,2581074.0,0.30219978195123426
fbf173f9-f809-4d84-9b65-ae205d35b523,mural,67,8.0,314059.0,0.2547292069324554
fbf173f9-f809-4d84-9b65-ae205d35b523,endothelial,11,6.0,50825.0,1.1805213969503197
fbf173f9-f809-4d84-9b65-ae205d35b523,astrocyte,742,24.0,2739615.0,0.08760355013386918
fbf173f9-f809-4d84-9b65-ae205d35b523,oligodendrocyte,14037,564.0,111100236.0,0.050764968672073744
fbf173f9-f809-4d84-9b65-ae205d35b523,neuron,1461,23.0,69245902.0,0.0033214961948217527
fbf173f9-f809-4d84-9b65-ae205d35b523,OPC,573,49.0,5419095.0,0.09042100203078189
82f6af6d-5313-439a-9936-5e844be49a70,neuron,49968,28.0,113781278.0,0.0024608617948552133
a59ba9fa-1407-4f15-8c56-d3637421570d,neuron,24799,19.0,131441509.0,0.0014455098807485542
a59ba9fa-1407-4f15-8c56-d3637421570d,astrocyte,108,3.0,803596.0,0.03733219179786858
a59ba9fa-1407-4f15-8c56-d3637421570d,OPC,564,17.0,4286804.0,0.03965658331941465
a59ba9fa-1407-4f15-8c56-d3637421570d,oligodendrocyte,1105,44.0,6858203.0,0.06415674776614223
a59ba9fa-1407-4f15-8c56-d3637421570d,mural,25,3.0,96291.0,0.3115555970963018
a59ba9fa-1407-4f15-8c56-d3637421570d,endothelial,34,7.0,158635.0,0.4412645380905853
a59ba9fa-1407-4f15-8c56-d3637421570d,microglia,241,25.0,984635.0,0.2539011918121944
03d38670-1444-4001-bc53-9936e61d9b20,neuron,18002,40.0,181950312.0,0.0021984023858117926
03d38670-1444-4001-bc53-9936e61d9b20,microglia,151,7.0,357207.0,0.19596480472107208
03d38670-1444-4001-bc53-9936e61d9b20,endothelial,4,0.0,11016.0,0.0
03d38670-1444-4001-bc53-9936e61d9b20,mural,3,0.0,10723.0,0.0
03d38670-1444-4001-bc53-9936e61d9b20,astrocyte,491,9.0,1059577.0,0.08493955606812907
03d38670-1444-4001-bc53-9936e61d9b20,OPC,134,12.0,526547.0,0.2278998835811428
03d38670-1444-4001-bc53-9936e61d9b20,oligodendrocyte,1178,25.0,4646814.0,0.05380030274506361
22658f4f-9268-41ad-8828-cc53f4baa9fa,neuron,9535,101.0,359730493.0,0.00280765745371494
22658f4f-9268-41ad-8828-cc53f4baa9fa,oligodendrocyte,609,17.0,2715246.0,0.06260942839065042
22658f4f-9268-41ad-8828-cc53f4baa9fa,OPC,671,32.0,3826464.0,0.08362812246502253
22658f4f-9268-41ad-8828-cc53f4baa9fa,astrocyte,1428,55.0,6371571.0,0.08632094031440597
22658f4f-9268-41ad-8828-cc53f4baa9fa,mural,11,1.0,43362.0,0.23061666897283337
22658f4f-9268-41ad-8828-cc53f4baa9fa,endothelial,28,25.0,169025.0,1.4790711433219939
22658f4f-9268-41ad-8828-cc53f4baa9fa,microglia,240,13.0,719322.0,0.18072573895974264
2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,neuron,8288,143.0,401082959.0,0.003565347187936748
2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,oligodendrocyte,820,30.0,5210579.0,0.05757517542676159
2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,OPC,514,39.0,4904973.0,0.0795111410399201
2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,astrocyte,924,67.0,7288887.0,0.09192075552824457
2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,mural,11,1.0,52892.0,0.18906450881040612
2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,endothelial,19,11.0,101827.0,1.0802635843145727
2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,microglia,156,23.0,604419.0,0.38053072454704434
be884a28-0eac-4eca-9c23-1294a93cf56e,neuron,788,9.0,986943.0,0.09119067666521775
be884a28-0eac-4eca-9c23-1294a93cf56e,oligodendrocyte,86,2.0,124280.0,0.160926939169617
be884a28-0eac-4eca-9c23-1294a93cf56e,OPC,229,2.0,178203.0,0.11223155614664175
be884a28-0eac-4eca-9c23-1294a93cf56e,endothelial,10,0.0,6430.0,0.0
be884a28-0eac-4eca-9c23-1294a93cf56e,astrocyte,42,3.0,84638.0,0.35445071953496066
a24ce10f-5a87-4e1f-a34a-f4fe5fc84052,OPC,911,62.0,9343271.0,0.06635791683661964
a24ce10f-5a87-4e1f-a34a-f4fe5fc84052,oligodendrocyte,4584,130.0,26526744.0,0.049007145392589456
a24ce10f-5a87-4e1f-a34a-f4fe5fc84052,neuron,4183,118.0,185639277.0,0.006356413465238824
a24ce10f-5a87-4e1f-a34a-f4fe5fc84052,microglia,784,112.0,3480565.0,0.3217868363326069
a24ce10f-5a87-4e1f-a34a-f4fe5fc84052,astrocyte,907,53.0,6729724.0,0.07875508713284526
381aa407-317a-40ef-8048-7ce0eacc4266,neuron,12519,58.0,186041588.0,0.0031175825052622104
381aa407-317a-40ef-8048-7ce0eacc4266,oligodendrocyte,9102,93.0,21691702.0,0.04287353753983897
381aa407-317a-40ef-8048-7ce0eacc4266,OPC,1460,34.0,4523126.0,0.0751692524152544
381aa407-317a-40ef-8048-7ce0eacc4266,astrocyte,1851,31.0,5202269.0,0.05958938301729495
381aa407-317a-40ef-8048-7ce0eacc4266,mural,170,7.0,344912.0,0.2029503177622118
381aa407-317a-40ef-8048-7ce0eacc4266,endothelial,110,20.0,215106.0,0.9297741578570565
381aa407-317a-40ef-8048-7ce0eacc4266,microglia,639,38.0,1235302.0,0.3076170847290784
40569510-2282-461b-84df-6218ef208e0e,neuron,10976,304.0,365463809.0,0.008318197110455882
40569510-2282-461b-84df-6218ef208e0e,astrocyte,378,16.0,1229505.0,0.1301336716808797
40569510-2282-461b-84df-6218ef208e0e,oligodendrocyte,701,27.0,3344063.0,0.08074010567384646
40569510-2282-461b-84df-6218ef208e0e,OPC,613,48.0,3885795.0,0.12352684585779744
40569510-2282-461b-84df-6218ef208e0e,mural,10,0.0,33598.0,0.0
40569510-2282-461b-84df-6218ef208e0e,endothelial,33,10.0,126077.0,0.7931660810457102
40569510-2282-461b-84df-6218ef208e0e,microglia,296,29.0,1043716.0,0.27785336240893116
b8681124-aabf-4904-b9c9-66d834bf5bba,neuron,8918,55.0,369893601.0,0.0014869140707303018
b8681124-aabf-4904-b9c9-66d834bf5bba,OPC,379,44.0,3817359.0,0.11526293440045854
b8681124-aabf-4904-b9c9-66d834bf5bba,oligodendrocyte,2817,166.0,19832641.0,0.08370040076861171
b8681124-aabf-4904-b9c9-66d834bf5bba,astrocyte,564,22.0,3279398.0,0.06708548337225308
b8681124-aabf-4904-b9c9-66d834bf5bba,mural,54,6.0,257334.0,0.23316001772016134
b8681124-aabf-4904-b9c9-66d834bf5bba,endothelial,22,11.0,105492.0,1.0427330982444167
b8681124-aabf-4904-b9c9-66d834bf5bba,microglia,451,63.0,1752919.0,0.3594005199327522
35c8a04c-8639-4d15-8228-765d8d93fc96,neuron,15499,52.0,247523928.0,0.002100806997536012
35c8a04c-8639-4d15-8228-765d8d93fc96,microglia,175,12.0,499873.0,0.2400609754877739
35c8a04c-8639-4d15-8228-765d8d93fc96,oligodendrocyte,484,17.0,2440213.0,0.06966604964402698
35c8a04c-8639-4d15-8228-765d8d93fc96,OPC,192,4.0,833803.0,0.04797296243836974
35c8a04c-8639-4d15-8228-765d8d93fc96,astrocyte,382,15.0,1714586.0,0.08748467560099056
07b1d7c8-5c2e-42f7-9246-26f746cd6013,oligodendrocyte,5263,86.0,19993707.0,0.04301353420853872
07b1d7c8-5c2e-42f7-9246-26f746cd6013,OPC,779,36.0,2665650.0,0.13505148837994485
07b1d7c8-5c2e-42f7-9246-26f746cd6013,neuron,15537,136.0,182579877.0,0.007448794589778368
07b1d7c8-5c2e-42f7-9246-26f746cd6013,astrocyte,2614,88.0,7528919.0,0.11688264942151722
07b1d7c8-5c2e-42f7-9246-26f746cd6013,mural,57,4.0,138212.0,0.2894104708708361
07b1d7c8-5c2e-42f7-9246-26f746cd6013,endothelial,120,40.0,310417.0,1.2885892203068776
07b1d7c8-5c2e-42f7-9246-26f746cd6013,microglia,1006,51.0,2010270.0,0.25369726454655345
f20f44ef-a0d4-4d94-87de-037fd47141f0,neuron,16512,121.0,241758844.0,0.005004987532121059
f20f44ef-a0d4-4d94-87de-037fd47141f0,oligodendrocyte,1363,17.0,3246695.0,0.05236093935525203
f20f44ef-a0d4-4d94-87de-037fd47141f0,OPC,243,6.0,695233.0,0.0863020023502912
f20f44ef-a0d4-4d94-87de-037fd47141f0,astrocyte,227,6.0,641428.0,0.09354128600560001
f20f44ef-a0d4-4d94-87de-037fd47141f0,endothelial,11,1.0,21993.0,0.4546901286773064
f20f44ef-a0d4-4d94-87de-037fd47141f0,mural,10,1.0,21967.0,0.455228296990941
f20f44ef-a0d4-4d94-87de-037fd47141f0,microglia,313,11.0,489327.0,0.22479854984499117
64767efb-49b0-4562-a1bd-e619a5d9db41,neuron,13248,38.0,352576011.0,0.0010777817779553925
64767efb-49b0-4562-a1bd-e619a5d9db41,astrocyte,396,20.0,2303131.0,0.08683830837238525
64767efb-49b0-4562-a1bd-e619a5d9db41,oligodendrocyte,801,33.0,4272321.0,0.07724138705869714
64767efb-49b0-4562-a1bd-e619a5d9db41,OPC,314,33.0,2465128.0,0.1338672880272343
64767efb-49b0-4562-a1bd-e619a5d9db41,mural,7,0.0,26760.0,0.0
64767efb-49b0-4562-a1bd-e619a5d9db41,endothelial,1,0.0,2356.0,0.0
64767efb-49b0-4562-a1bd-e619a5d9db41,microglia,170,12.0,574811.0,0.2087642720824758
c4dd26a8-d956-4bee-a233-44b573f2ce27,neuron,9696,325.0,603941730.0,0.00538131385622252
c4dd26a8-d956-4bee-a233-44b573f2ce27,microglia,132,20.0,550734.0,0.36315172115758243
c4dd26a8-d956-4bee-a233-44b573f2ce27,endothelial,19,7.0,101987.0,0.6863619873121084
c4dd26a8-d956-4bee-a233-44b573f2ce27,mural,4,0.0,20998.0,0.0
c4dd26a8-d956-4bee-a233-44b573f2ce27,oligodendrocyte,866,37.0,6288552.0,0.058837074099093084
c4dd26a8-d956-4bee-a233-44b573f2ce27,OPC,265,11.0,2483821.0,0.04428660519417462
c4dd26a8-d956-4bee-a233-44b573f2ce27,astrocyte,261,17.0,2494904.0,0.06813889432218634
f9034091-2e8f-4ac6-9874-e7b7eb566824,microglia,1136,73.0,3524413.0,0.20712669031694073
f9034091-2e8f-4ac6-9874-e7b7eb566824,endothelial,54,20.0,196769.0,1.0164202694530133
f9034091-2e8f-4ac6-9874-e7b7eb566824,mural,45,4.0,178550.0,0.22402688322598713
f9034091-2e8f-4ac6-9874-e7b7eb566824,oligodendrocyte,5292,208.0,34712802.0,0.05992025650939962
f9034091-2e8f-4ac6-9874-e7b7eb566824,astrocyte,1282,95.0,6603108.0,0.14387164347455775
f9034091-2e8f-4ac6-9874-e7b7eb566824,OPC,799,58.0,4602834.0,0.12600932382093294
