dataset_id	comparison_id	gene	observed_diff_pp	null_mean_diff_pp	null_sd_diff_pp	n_null_genes	null_set_is_expression_matched	empirical_p	empirical_p_resolution_floor	empirical_p_at_resolution_floor	empirical_z	q_bh_empirical	q_bh_empirical_per_comparison
VT2018	A_decidua_dNK1_vs_dNK2	CCR1	5.121015867827022	0.3162821240482457	3.1100118902110223	399	False	0.08	0.0025	False	1.5449245576526598	0.405	0.28687500000000005
VT2018	A_decidua_dNK1_vs_dNK2	CCR2	0.2928835168193767	0.3162821240482457	3.1100118902110223	399	False	0.9875	0.0025	False	-0.007523639154730479	0.99	0.99
VT2018	A_decidua_dNK1_vs_dNK2	CCR5	0.7677355035423733	0.3162821240482457	3.1100118902110223	399	False	0.5025	0.0025	False	0.1451613033747904	0.7629910714285714	0.7639772727272728
VT2018	A_decidua_dNK1_vs_dNK2	CCR9	0.077827896963	0.3162821240482457	3.1100118902110223	399	False	0.7875	0.0025	False	-0.07667309177685039	0.91125	0.8859374999999999
VT2018	A_decidua_dNK1_vs_dNK2	CXCR3	6.171641556402744	0.3162821240482457	3.1100118902110223	399	False	0.0675	0.0025	False	1.8827450309063598	0.3905357142857143	0.28687500000000005
VT2018	A_decidua_dNK1_vs_dNK2	CXCR4	5.996655697195744	0.3162821240482457	3.1100118902110223	399	False	0.0675	0.0025	False	1.8264796964368104	0.3905357142857143	0.28687500000000005
VT2018	A_decidua_dNK1_vs_dNK2	CXCR6	-0.0502246309970383	0.3162821240482457	3.1100118902110223	399	False	0.5775	0.0025	False	-0.11784738064792914	0.800357142857143	0.7639772727272728
VT2018	A_decidua_dNK1_vs_dNK2	CX3CR1	-0.158019464147195	0.3162821240482457	3.1100118902110223	399	False	0.485	0.0025	False	-0.1525079661876335	0.7629910714285714	0.7639772727272728
VT2018	A_decidua_dNK1_vs_dNK2	S1PR1	-0.1056030730867882	0.3162821240482457	3.1100118902110223	399	False	0.5175	0.0025	False	-0.1356538855889737	0.7629910714285714	0.7639772727272728
VT2018	A_decidua_dNK1_vs_dNK2	S1PR5	-0.0166781694593316	0.3162821240482457	3.1100118902110223	399	False	0.6125	0.0025	False	-0.10706077830621576	0.800357142857143	0.7639772727272728
VT2018	A_decidua_dNK1_vs_dNK2	SELL	4.847046115004242	0.3162821240482457	3.1100118902110223	399	False	0.085	0.0025	False	1.4568317263406259	0.405	0.28687500000000005
VT2018	A_decidua_dNK1_vs_dNK2	ACKR2	0.2569687918770734	0.3162821240482457	3.1100118902110223	399	False	0.965	0.0025	False	-0.019071738072084263	0.99	0.99
