tissue,assay,donor,n_nk,ITGA1,ITGAE,CD69,NCAM1,FCGR3A
mesenteric lymph node,10x 5' v1,A37,3,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0
mesenteric lymph node,10x 5' v2,621B,50,0.0,0.16,0.94,0.3,0.22
mesenteric lymph node,10x 5' v2,637C,794,0.0025188916876574307,0.3350125944584383,0.9357682619647355,0.3261964735516373,0.4811083123425693
mesenteric lymph node,10x 5' v2,640C,106,0.0,0.25471698113207547,0.9245283018867925,0.5471698113207547,0.16037735849056603
omentum,10x 5' v1,A31,1,0.0,0.0,1.0,1.0,1.0
omentum,10x 5' v1,A35,11,0.0,0.18181818181818182,1.0,0.2727272727272727,0.6363636363636364
omentum,10x 5' v1,A36,18,0.0,0.2222222222222222,1.0,0.3333333333333333,0.7222222222222222
omentum,10x 5' v1,A37,3,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
thoracic lymph node,10x 3' v3,D496,37,0.02702702702702703,0.2972972972972973,0.9459459459459459,0.2972972972972973,0.5945945945945946
thoracic lymph node,10x 3' v3,D503,340,0.014705882352941176,0.3,0.9,0.3411764705882353,0.2
thoracic lymph node,10x 5' v1,A29,49,0.0,0.16326530612244897,0.9591836734693877,0.40816326530612246,0.20408163265306123
thoracic lymph node,10x 5' v1,A31,9,0.0,0.3333333333333333,0.7777777777777778,0.4444444444444444,0.2222222222222222
thoracic lymph node,10x 5' v1,A35,60,0.0,0.21666666666666667,0.8833333333333333,0.38333333333333336,0.26666666666666666
thoracic lymph node,10x 5' v1,A36,100,0.0,0.24,0.93,0.31,0.16
thoracic lymph node,10x 5' v1,A37,37,0.0,0.40540540540540543,0.8378378378378378,0.32432432432432434,0.35135135135135137
thoracic lymph node,10x 5' v1,A52,2,0.0,0.0,1.0,0.0,0.5
thoracic lymph node,10x 5' v2,582C,41,0.024390243902439025,0.14634146341463414,0.7073170731707317,0.5365853658536586,0.43902439024390244
thoracic lymph node,10x 5' v2,621B,9,0.0,0.1111111111111111,0.7777777777777778,0.5555555555555556,0.3333333333333333
thoracic lymph node,10x 5' v2,637C,58,0.0,0.39655172413793105,0.896551724137931,0.3275862068965517,0.6896551724137931
thoracic lymph node,10x 5' v2,640C,69,0.0,0.2753623188405797,0.9710144927536232,0.5217391304347826,0.2028985507246377
