gene,quadrant,reason,delta,equiv_key,change_key,NK_log2FC,NK_SE,NK_CI95_lo,NK_CI95_hi,NK_CI90_lo,NK_CI90_hi,NK_null_change,NK_null_equiv,NK_saturated,NK_changed,NK_equivalent,NK_TOST_p,CD8T_log2FC,CD8T_SE,CD8T_CI95_lo,CD8T_CI95_hi,CD8T_CI90_lo,CD8T_CI90_hi,CD8T_null_change,CD8T_null_equiv,CD8T_saturated,CD8T_changed,CD8T_equivalent,CD8T_TOST_p,CD4T_log2FC,CD4T_SE,CD4T_CI95_lo,CD4T_CI95_hi,CD4T_CI90_lo,CD4T_CI90_hi,CD4T_null_change,CD4T_null_equiv,CD4T_saturated,CD4T_changed,CD4T_equivalent,CD4T_TOST_p,B_log2FC,B_SE,B_CI95_lo,B_CI95_hi,B_CI90_lo,B_CI90_hi,B_null_change,B_null_equiv,B_saturated,B_changed,B_equivalent,B_TOST_p,Myeloid_log2FC,Myeloid_SE,Myeloid_CI95_lo,Myeloid_CI95_hi,Myeloid_CI90_lo,Myeloid_CI90_hi,Myeloid_null_change,Myeloid_null_equiv,Myeloid_saturated,Myeloid_changed,Myeloid_equivalent,Myeloid_TOST_p
ATP8A1,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.26887811643360837,0.32072469664331216,-0.39541774156717147,0.9331739744343882,-0.2813214572785343,0.819077690145751,0.791788051762671,0.7522707249706602,False,False,False,0.23928178812889186,-0.20966363157213563,0.29766360585471763,-0.8227039478585421,0.4033766847142708,-0.7181090849187862,0.29878182177451496,0.6158960715152804,0.5301587356437861,False,False,False,0.16935561690652928,0.05055079960431267,0.19666978562662452,-0.3569312641269189,0.45803286333554427,-0.2869174022226146,0.38801900143123996,0.2774297192099388,0.2314503200031729,False,False,True,0.01606240773388381,0.6098417530365704,0.3772695906182748,-0.19005547597869699,1.4097389820518378,-0.048902529724154764,1.2685860357972956,0.7891376156676337,0.7712718526561484,False,False,False,0.6126577140588612,0.3337093012954542,0.46001338652723145,-0.6627475923420895,1.330166194932998,-0.4825822236557241,1.1500008262466324,1.0926322135416346,0.8717136430526655,False,False,False,0.3618451573769473
ATPIF1,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.05344994675118952,0.14559540901424173,-0.35501209074677254,0.24811219724439348,-0.30321721697537746,0.1963173234729984,0.24154501502013911,0.22929905627436487,False,False,True,0.002774169874767004,0.122989533923454,0.17779684040747254,-0.24318432520569766,0.4891633930526057,-0.18070898126789087,0.4266880491147989,0.3634391706754803,0.32633240114851697,False,False,True,0.022031305812651024,0.09980153953236091,0.11472762815548827,-0.13790376196494708,0.33750684102966894,-0.0970610657231543,0.2966641447878761,0.20964897805098148,0.15759061680508404,False,False,True,0.0010224250749678965,0.7188442886902493,0.2023209340159617,0.28987795131349586,1.1478106260670027,0.36557500359518713,1.0721135737853116,0.7188442886902494,0.7179145084546581,False,False,False,0.8522685069326825,0.07022292336549717,0.10785968556069545,-0.16341707575259468,0.303862922483589,-0.12117356592315241,0.26161941265414673,0.1257876691457512,0.11663144641960138,False,False,True,0.0008171726504529665
ATRAID,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.13149763523666858,0.17049443586759094,-0.22163621676905582,0.48463148724239297,-0.16098363270561677,0.4239789031789539,0.24660255836605244,0.2252340470135745,False,False,True,0.020782357334461408,0.06480275193494447,0.23062547263393088,-0.4101720515222589,0.5397775553921479,-0.3291334588757131,0.4587389627456021,0.4629681233918688,0.3884422854788298,False,False,True,0.03540866875935886,-0.05754264511079909,0.13920935751258864,-0.34597188252106836,0.23088659229947017,-0.2964137630487815,0.1813284728271833,0.2209634538979427,0.17241537667474569,False,False,True,0.0021440704189773195,0.6852630535013889,0.29012110708029226,0.07014040539171063,1.3003857016110674,0.17868731734372068,1.1918387896590572,0.9604134829874175,0.8526245520551544,False,False,False,0.7339232760749803,-0.09688205178558919,0.1094579827363246,-0.3339841984962985,0.14022009492512016,-0.29111471166629227,0.09735060809511388,0.1935286789649095,0.18023861414011297,False,False,True,0.00143682560423916
ATRX,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.09737526094447115,0.18320169028383945,-0.47682880882526535,0.2820782869363231,-0.4116556794855243,0.21690515759658202,0.3634432290299526,0.2962384336854667,False,False,True,0.019272127126969567,-0.5276216463145225,0.19586732801526702,-0.9310118033740928,-0.12423148925495203,-0.862186740702064,-0.19305655192698096,0.5753460600551762,0.5276216463145156,False,False,False,0.5555088860426052,0.13907355811113895,0.1470582961144956,-0.16561797240843754,0.4437650886307154,-0.11326565401221142,0.3914127702344893,0.3192028594008155,0.2691560354442043,False,False,True,0.01117481621873809,0.24548495216946145,0.20158528082952656,-0.18192163334820002,0.672891537687123,-0.10649982088776408,0.597469725226687,0.34680253454371646,0.3229134777962714,False,False,False,0.11243500603431192,0.04911696216547247,0.14907544087060856,-0.2738024464391299,0.3720363707700748,-0.21541668516966794,0.31365060950061285,0.27504981701506054,0.2710387762891779,False,False,True,0.005009056642842628
ATXN1,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.3663325853961628,0.33571038178183465,-1.061667302178359,0.32900213138603324,-0.9422399317285384,0.2095747609362128,0.7663471444273313,0.6398508280193214,False,False,False,0.34713199264003963,-0.09437366148279396,0.24853483000609378,-0.6062329140025262,0.41748559103693833,-0.5189012215519193,0.3301538985863314,0.4412616389569852,0.380931351850699,False,False,False,0.05759756946048924,-0.3284795016348518,0.1954132837736469,-0.7333582068150883,0.07639920354538476,-0.6637916558535228,0.00683265258381921,0.3998389214194816,0.36067292822064556,False,False,False,0.1947104621254324,0.6455261313018259,0.4020148667674749,-0.20683670404689802,1.49788896665055,-0.056425474800032904,1.3474777374036848,0.9959050672003441,0.7540860506804676,False,False,False,0.6389483112880441,-0.05783919636950264,0.19659453498721954,-0.4836919766948108,0.3680135839558055,-0.40669524591467243,0.29101685317566717,0.43471502452063737,0.38911951846325404,False,False,True,0.02148889985667467
ATXN10,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.018732509127682612,0.29830060951313164,-0.6365828381251439,0.5991178198697786,-0.5304638161019182,0.4929987978465529,0.6800181979352666,0.46673200517156516,False,False,False,0.06030389285738434,0.012301801925867698,0.3287943818952688,-0.6648525693365959,0.6894561731883313,-0.5493187834343904,0.5739223872861259,0.5745379529697133,0.5565489793082526,False,False,False,0.07524570583580154,0.3914602993749298,0.24084222042704764,-0.1075430665998579,0.8904636653497175,-0.021803948575301657,0.8047245473251613,0.5229635096943738,0.4652591444441479,False,False,False,0.3282840267130561,0.0544852427882,0.23990079815500367,-0.4541589428411176,0.5631294284175176,-0.3644016305358763,0.4733721161122763,0.35025546866044305,0.3030135043667075,False,False,True,0.040920237966046956,0.1925042366953309,0.12423908990812368,-0.07661596985517105,0.46162444324583285,-0.02795742622552702,0.4129658996161888,0.24347476847546512,0.20050124255745527,False,False,True,0.014146938908078706
ATXN2,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.08828437945454569,0.348737537652145,-0.6340326239327944,0.8106013828418858,-0.5099709047870132,0.6865396636961046,0.59282951345754,0.5557933636194199,False,False,False,0.12504987825708128,-0.3103630482717081,0.4151920453685523,-1.1654540228014159,0.5447279262579998,-1.0195612961635605,0.3988351996201443,1.0233369727822494,0.7321348734663499,False,False,False,0.3258984342408454,-0.5128134051263237,0.3192755587642742,-1.17432357645076,0.14869676619811267,-1.0606624219957501,0.03503561174310266,0.7753660281345566,0.6801726777241762,False,False,False,0.5158282999333019,-0.5507872597136817,0.34698699705270547,-1.286478511669421,0.18490399224205767,-1.1566555994497023,0.05508108002233891,0.954655864208476,0.7775199765310686,False,False,False,0.5572681224502112,0.14452336773987268,0.22535021040076303,-0.3436184498965982,0.6326651853763435,-0.25535948846309203,0.5444062239428373,0.4740953307074325,0.4276440831827748,False,False,False,0.06966472131092952
ATXN2L,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.5324396008180041,0.2746207802709522,-1.1012434652046037,0.036364263568595456,-1.003548429726221,-0.06133077190978731,0.6127578769800275,0.5254377540243,False,False,False,0.5464914803057281,-0.17459189153363627,0.3700685346252312,-0.9367506743074596,0.587566891240187,-0.8067137235479017,0.4575299404806291,0.964745251912082,0.7563135356485462,False,False,False,0.19380011028961255,-0.5201760128146757,0.2206328121711992,-0.9773073069984557,-0.06304471863089572,-0.8987626785305156,-0.1415893470988358,0.556577518990145,0.5406416157992066,False,False,False,0.5360238806596967,-0.30445405334972986,0.24267588281602281,-0.8189820488217495,0.2100739421222898,-0.7281864567670943,0.11927835006763454,0.33843505086710224,0.3359406801427678,False,False,False,0.21609937488534062,0.24823215142875374,0.23115085861273077,-0.25247472641611035,0.7489390292736179,-0.16194392691367623,0.6584082297711837,0.4471789657030425,0.39338978993625834,False,False,False,0.14817820313142568
ATXN3,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.06959758522680706,0.327669082331404,-0.6090817196904094,0.7482768901440234,-0.49251500324618536,0.6317101736997994,0.5559243462933774,0.443917059200413,False,False,False,0.10112292503181675,-0.40351061355788254,0.3048674408201849,-1.0313872792630372,0.22436605214727212,-0.9242610886230402,0.11723986150727517,0.5764709974054053,0.5291877386482086,False,False,False,0.37712637411046884,-0.031140593659908452,0.2451332807329155,-0.5390346496990549,0.47675346237923805,-0.45176792689921086,0.38948673957939395,0.38381566761516106,0.3355012616846362,False,False,True,0.034340282355980065,-0.13289802269324213,0.27465640802480085,-0.7152319959940916,0.4494359506076073,-0.6124710999015763,0.346675054515092,0.3436517868072657,0.2973433753653931,False,False,False,0.1000444670296329,-0.048098189349830574,0.13302320439968643,-0.33624608443282916,0.24004970573316803,-0.2841472208640132,0.18795084216435204,0.20968146236489427,0.19697247074470242,False,False,True,0.002465929961774959
ATXN7,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.23736847221471657,0.2272563158339737,-0.23333250869826588,0.708069453127699,-0.15248715600433865,0.6272241004337717,0.38351130111029474,0.31832453384125675,False,False,False,0.12997370654018361,0.06427904105625942,0.2735852425541091,-0.4991717145209062,0.627729796633425,-0.40303765451340395,0.5315957366259227,0.5255110306665058,0.49110135161968216,False,False,False,0.06190268208272724,-0.6317221356832659,0.21102211057079417,-1.0689409226684417,-0.19450334869808994,-0.9938176755403465,-0.26962659582618514,0.7550145761058005,0.7333185125005299,False,False,False,0.7305973514234825,-0.5542340705866147,0.28501118940676273,-1.1585225325090258,0.05005439133579659,-1.051887462785155,-0.05658067838807418,0.6870438220208412,0.597062764615454,False,False,False,0.5742591945476752,0.0796865604646256,0.1719948751135189,-0.29287972564072184,0.4522528465699731,-0.22551751185619293,0.3848906327854441,0.3208184668683599,0.27256376015487765,False,False,True,0.014996375922366573
ATXN7L3B,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.011199195395021243,0.34937238707305507,-0.7348311204119662,0.7124327296219237,-0.610543556606367,0.5881451658163246,0.7355295567581116,0.5264627526107594,False,False,False,0.08771329068782123,-0.7169985587444848,0.37068485194679784,-1.4804266514316282,0.046429533942658585,-1.350173135312689,-0.08382398217628062,0.8389256779776294,0.7169985587444913,False,False,False,0.7182373622107172,-0.04021997952616911,0.30267147683897233,-0.667327990154049,0.5868880311017108,-0.5595778397470774,0.4791378806947392,0.6190634909948893,0.4987040027800428,False,False,False,0.0713775520533714,-1.0978740243225698,0.3861148728196339,-1.916525260813314,-0.2792227878318255,-1.7720629101587813,-0.42368513848635814,1.0980759244274747,1.044036545900554,False,False,False,0.9294477980960897,-0.34924915250648497,0.20096482894826917,-0.7845686346110307,0.08607032959806071,-0.7058602675050358,0.007361962492065832,0.40486890755468224,0.37817756699999455,False,False,False,0.2334389935708405
AUP1,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.08794109468122777,0.1795011300844994,-0.2838477275378627,0.4597299169003183,-0.21999105487560874,0.39587324423806425,0.22840974072227857,0.2056339795064152,False,False,True,0.015687333380452837,-0.3485411822618989,0.20400067056918997,-0.7686820162388086,0.07159965171501087,-0.6969990097908623,-8.335473293558104e-05,0.35360208178590197,0.2796559591446602,False,False,False,0.2323681710917192,-0.07546030576001839,0.15068856982103326,-0.38767343608780114,0.23675282456776436,-0.33402875099094265,0.18310813947090587,0.23505949032656925,0.21809563997426024,False,False,True,0.004967229263444505,0.275977230058432,0.18680294626249397,-0.12008744836523849,0.6720419084821025,-0.05019634956035457,0.6021508096772186,0.3239297473706741,0.29957496487012397,False,False,False,0.12396175134254116,0.11993277849975721,0.09630253111859184,-0.08867271824959504,0.32853827524910945,-0.05095559624278974,0.2908211532423042,0.13113267117457714,0.13017517493928904,False,False,True,0.0008769847157805776
AURKAIP1,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.14339132422005532,0.16084570837993847,-0.47654040494964023,0.1897577565095296,-0.41932030976521983,0.13253766132510922,0.24153277435521464,0.21056224598249404,False,False,True,0.018508325503708747,0.030558959205225757,0.1856017353814184,-0.35168913671102325,0.4128070551214748,-0.28647126092181674,0.3475891793322683,0.2539256072325466,0.217899886812929,False,False,True,0.009053459258784926,-0.1337121551248362,0.12477477651117796,-0.39223424214690583,0.12480993189723344,-0.3478147908114618,0.08039048056178943,0.20972769037042524,0.16078187665045504,False,False,True,0.0037843211791946684,0.3298574486683898,0.17798870867293554,-0.0475190439086145,0.7072339412453941,0.019074265634445364,0.6406406317023342,0.36631302793314074,0.33008432017908745,False,False,False,0.17668065552103918,0.2074126306318167,0.10728500444767106,-0.024982524371977732,0.4398077856356111,0.017035910193053727,0.39778935107057967,0.22687971500697224,0.19035580329241628,False,False,False,0.008806998289311266
AZI2,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.2395091662572028,0.3155108295055373,-0.8930058859937968,0.41398755347939115,-0.7807644101231603,0.30174607760875466,0.41869381438438097,0.3667654533605019,False,False,False,0.208846263510101,-0.014503184113402696,0.4376598508829878,-0.9158667641209652,0.8868603958941599,-0.7620791622208433,0.7330727939940379,1.221170105560694,0.9255057379703716,False,False,False,0.13892709071295062,-0.15967531915744493,0.27193085483814056,-0.7230915326271097,0.4037408943122198,-0.6262849527170558,0.3069343144021659,0.4861071389940547,0.4221397299748232,False,False,False,0.11184001852771656,0.08077035829505304,0.3636487967881164,-0.6902476938327353,0.8517884104228415,-0.5541908783750107,0.7157315949651168,0.7439671794019626,0.6698087821568313,False,False,False,0.13296970677471553,-0.25101355363535716,0.1787838812149351,-0.6382858290202211,0.13625872174950676,-0.5682646843804197,0.06623757710970535,0.4561835742983384,0.4175558172754927,False,False,False,0.09384132780800497
AZIN1,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.14287505538855425,0.2647291884789854,-0.40544100894644597,0.6911911197235545,-0.31126486016738875,0.5970149709444973,0.4696045905629333,0.4272643894797212,False,False,False,0.09537740022471136,0.6605571739860233,0.3154497543912373,0.01088615811161675,1.31022818986043,0.1217308269793147,1.199383520992732,0.8871328966969612,0.68016939382896,False,False,False,0.6923855524481157,0.10722991644971511,0.19963142395952285,-0.3063883948808608,0.520848227780291,-0.23532019849101585,0.4497800313904461,0.33957971940085985,0.3021235461036116,False,False,True,0.030826065361013538,0.07218227726691483,0.2349095539971203,-0.4258793369850314,0.570243891518861,-0.3379894659893492,0.4823540205231789,0.32659523983045524,0.29276176241409646,False,False,True,0.043681271306200156,0.10793089480059488,0.12703412906853684,-0.16724377912183802,0.38310556872302776,-0.11749055156434081,0.3333523411655306,0.26123422041996425,0.21203317165957988,False,False,True,0.004453299496413653
B2M,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.13472642643010993,0.0471062910613433,-0.23229457246106833,-0.03715828039915153,-0.21553673362617615,-0.05391611923404373,0.1392678989213796,0.11812168029236678,False,False,False,4.243311851556193e-08,-0.05141156772548309,0.056038575120047576,-0.1668234123048329,0.06400027685386672,-0.14713223418048615,0.04430909872951997,0.12753009949478514,0.11419105320666656,False,False,True,1.1590536383129721e-08,0.022643851658115895,0.05930624750050219,-0.10023334600934464,0.1455210493255764,-0.07912049733595627,0.12440820065218805,0.08479499240820486,0.06709913232528172,False,False,True,2.3662763844745762e-08,0.5489190741825207,0.17550209517558896,0.1768147670549184,0.9210233813101231,0.24247772644499727,0.8553604219200441,0.5489629140415394,0.4319064160038272,False,False,False,0.6079884680272267,-0.08081640911901916,0.1590887994855471,-0.42542623046496836,0.26379341222693004,-0.363118712786919,0.20148589454888066,0.37504751856553836,0.2994354780148949,False,False,True,0.010482456654874215
