dataset,comparison,group,gene,role,symbol_used,present,unit,ortholog_note,n,log2FC,ci_lo,ci_hi,p,test,note,mean_log2,linear_cpm,pct_all_genes,pct_expressed_genes,below_1_cpm,near_floor,q_BH,max_effect_still_compatible,informative_null
GSE133383,"CD56bright vs CD56dim (5 tissues, donor+tissue fixed)",1,ITGAE,state_residency,ITGAE,True,log2(CPM+1) from deposited filtered counts,,30.0,0.28213186966605586,-0.19351755507238788,0.7577812944044996,0.23100886596471853,ols(+2 fixed effects),,5.903322681324228,58.851797950420796,71.11278573222808,71.11036677273489,False,False,0.2640101325311069,0.7577812944044996,False
GSE133383,"CD56bright vs CD56dim (5 tissues, donor+tissue fixed)",1,KLF2,state_egress,KLF2,True,log2(CPM+1) from deposited filtered counts,,30.0,-0.9119171141301721,-1.4769692687560418,-0.3468649595043024,0.002989799304352002,ols(+2 fixed effects),,7.511396122427049,181.45490458588196,92.56468224064307,92.56405962150393,False,False,0.009567357773926406,1.4769692687560418,False
GSE133383,"CD56bright vs CD56dim (5 tissues, donor+tissue fixed)",1,S1PR1,state_egress,S1PR1,True,log2(CPM+1) from deposited filtered counts,,30.0,-1.4549800010552825,-2.380913849435653,-0.5290461526749118,0.0036755274677809915,ols(+2 fixed effects),,5.947760171488948,60.72402217776697,71.92497697395964,71.92262602579133,False,False,0.00980140658074931,2.380913849435653,False
GSE133383,"CD56bright vs CD56dim (5 tissues, donor+tissue fixed)",1,SELL,state_egress,SELL,True,log2(CPM+1) from deposited filtered counts,,30.0,1.099782174242518,0.4440700284799072,1.7554943200051287,0.0021935533431823896,ols(+2 fixed effects),,8.13484199709085,280.08097486025656,96.0060286360211,96.00569418857813,False,False,0.008774213372729558,1.7554943200051287,False
GSE140035 (human),IL2IL15 vs UNSTIM,2,PIEZO1,channel,PIEZO1,True,log2(CPM+1) from deposited raw counts,,6.0,-0.0705476800722975,-0.5161530810956203,0.37505772095102524,0.7008655251419565,paired_t,,5.927802810367328,59.876048490728934,85.70285622849828,83.39990710636322,False,False,0.8009891715908075,0.5161530810956203,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,PIEZO2,channel,PIEZO2,True,log2(CPM+1) from deposited raw counts,,6.0,0.0024477795756386402,-0.2104837555623586,0.21537931471363586,0.9775688380637189,paired_t,,0.17113734721989396,0.12594577314182898,33.698695895671655,23.019043195541105,True,True,0.977568838063719,0.21537931471363586,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,TRPV2,channel,TRPV2,True,log2(CPM+1) from deposited raw counts,,6.0,0.46380551022708544,0.010696278737501008,0.9169147417166699,0.04646244030120668,paired_t,,6.313042396996171,78.50878655307513,88.99111928954316,87.21783557826289,False,False,0.13938732090362005,0.9169147417166699,False
GSE140035 (human),IL2IL15 vs UNSTIM,2,TRPV4,channel,TRPV4,True,log2(CPM+1) from deposited raw counts,,6.0,-0.030552282007557986,-0.11269877822195708,0.05159421420684111,0.3829481109520599,paired_t,,0.06134274327900552,0.04343645488916037,27.502200176014078,15.824431026474686,True,True,0.5406326272264375,0.11269877822195708,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,TRPM7,channel,TRPM7,True,log2(CPM+1) from deposited raw counts,,6.0,-0.5138860274623448,-0.6395347665582997,-0.38823728836638993,0.00013440027989794194,paired_t,,7.404429154822243,168.4163326587425,95.44763581086487,94.71435206688342,False,False,0.0027293014340445225,0.6395347665582997,False
GSE140035 (human),IL2IL15 vs UNSTIM,2,TRPC1,channel,TRPC1,True,log2(CPM+1) from deposited raw counts,,6.0,0.01876675251098253,-0.31563540260615647,0.35316890762812153,0.8909280861773646,paired_t,,0.22990981334058117,0.17276163452774207,35.790863269061525,25.448211797491872,True,True,0.9296640899242066,0.35316890762812153,True
GSE140035 (human),IL2IL15 vs UNSTIM,2,TRPC6,channel,TRPC6,True,log2(CPM+1) from deposited raw counts,,6.0,-0.09880801369187948,-0.36422945828675235,0.1666134309029934,0.3825425330175342,paired_t,,0.1657277217349734,0.12173175733815267,33.510680854468355,22.800743149094288,True,True,0.5406326272264375,0.36422945828675235,True
