tissue,assay,IL15_nonNK,IL15RA_nonNK,IL2RB_NK,IL2RG_NK,CISH_NK,BCL2_NK,SOCS1_NK,PIM1_NK,CCL3_NK,CCL4_NK,CCL5_NK,XCL1_NK
lung,10x 5' v2,0.022727272727272728,0.04879679144385027,0.6736842105263158,0.8026315789473684,0.025,0.34342105263157896,0.5592105263157895,0.5302631578947368,0.7921052631578948,0.8236842105263158,0.9118421052631579,0.12894736842105264
mesenteric lymph node,10x 5' v1,0.009399855386840203,0.032079646017699116,0.8,0.875,0.0,0.125,0.25,0.3333333333333333,0.6428571428571429,0.7142857142857143,0.7272727272727273,0.6666666666666666
mesenteric lymph node,10x 5' v2,0.011970889555222389,0.015086206896551723,0.6961712846347607,0.7931738035264484,0.014150943396226415,0.12919395465994962,0.42042916211206693,0.400176322418136,0.6024528301886792,0.5954716981132075,0.6813207547169811,0.3924433249370277
omentum,10x 5' v1,0.017857142857142856,0.01507537688442211,0.5606060606060606,0.9128787878787878,0.0,0.125,0.4431818181818182,0.13636363636363635,0.5,0.9128787878787878,0.8863636363636364,0.3181818181818182
sigmoid colon,10x 5' v1,0.013888888888888888,0.041666666666666664,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
skeletal muscle tissue,10x 5' v1,0.0,0.0,0.8763779527559055,0.9724409448818898,0.17480314960629922,0.07480314960629922,0.247244094488189,0.34448818897637795,0.55,0.9763779527559056,0.8488188976377953,0.39921259842519685
spleen,10x 3' v3,0.01826953026034255,0.031155797555707063,0.6365287068862737,0.807472254822245,0.026056113601394988,0.15767273319030134,0.2964376101486806,0.3597948204481155,0.6098562221279223,0.829466251772126,0.6804891547870426,0.15848225595045373
spleen,10x 5' v1,0.03261749676718254,0.0574591522371406,0.7174090269028385,0.8587906289573659,0.0495187520743445,0.10962165567331209,0.39407169117647056,0.3537705780171796,0.6995417732310315,0.8758152173913043,0.7607627974854063,0.47405373513660704
spleen,10x 5' v2,0.01343820371825085,0.03361508248232522,0.748159605704698,0.8341128355704698,0.02557716718211974,0.12424522942921461,0.39013946541490474,0.3960757190044392,0.5796979865771812,0.7331147922566629,0.7576639401565995,0.362965137283237
thoracic lymph node,10x 3' v3,0.007207697294926674,0.01942876640709318,0.7321740858505564,0.7409379968203498,0.0022058823529411764,0.22466216216216217,0.39294515103338634,0.4257551669316375,0.6327106518282989,0.7907790143084261,0.7166732909379968,0.49932432432432433
thoracic lymph node,10x 5' v1,0.009323741187686595,0.02383778843077607,0.8708708708708709,0.8172917815774959,0.0,0.11833333333333333,0.47,0.24416666666666664,0.5154591836734694,0.6466836734693877,0.7120748299319728,0.7941666666666667
thoracic lymph node,10x 5' v2,0.005813640742084391,0.022402954826926204,0.8151340996168582,0.7886178861788617,0.01293103448275862,0.11924119241192412,0.37142099681866386,0.33943089430894313,0.5760869565217391,0.6065747613997878,0.6460763520678685,0.5895593869731801
thymus,10x 5' v1,0.0,0.010380622837370242,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5
transverse colon,10x 5' v1,0.016,0.048,1.0,0.75,0.5,0.5,0.25,0.75,0.5,0.75,0.75,0.75
