gene,direction,green,red,delta_pp,cd8t_green,cd8t_red,cd8t_delta_pp,T_diff_pp,cosynchronous_with_CD8T,n_pos_green,n_pos_red,ceiling_touched,f,green_24h,red_24h,f_24h,dir_24h,green_72h,red_72h,f_72h,dir_72h,dir_stable,f_lo,f_hi
Sin3a,rise,0.14805194805194807,0.15692307692307722,-0.8871128871129147,0.1671087533156499,0.13238289205702658,3.4725861258623314,-4.359699012975246,False,57,102,False,0.056531703590528726,0.13402061855670105,0.12663755458515277,0.008453608247422782,fall,0.1527777777777777,0.17339667458432306,0.11891171993911775,rise,False,0.0016932945,0.314159
Commd4,fall,0.29090909090909095,0.26923076923076994,2.167832167832101,0.23076923076923062,0.2566191446028502,-2.5849913833619564,4.752823551194057,False,112,175,False,0.029665071770334044,0.268041237113402,0.28820960698689985,0.06997813183380308,rise,0.29861111111111055,0.25890736342042786,0.05357460826210711,fall,False,0.002361275,0.13816313
1700017B05Rik,rise,0.17142857142857146,0.2369230769230775,-6.549450549450605,0.20689655172413784,0.3564154786150717,-14.951892689093388,8.402442139642783,True,66,154,False,0.276437847866421,0.10309278350515465,0.20960698689956345,0.5081615120274916,rise,0.19444444444444423,0.2517814726840858,0.22772536687631206,rise,True,0.06600804,0.45323133
Ppcdc,rise,0.1194805194805195,0.15538461538461568,-3.590409590409617,0.11936339522546432,0.10997963340122216,0.9383761824242165,-4.528785772833833,False,46,101,False,0.23106596373923238,0.12371134020618559,0.18340611353711797,0.3254786450662741,rise,0.1180555555555556,0.14014251781472675,0.15760357815442483,rise,True,0.006507756,0.46087527
Cox5a,fall,0.6961038961038962,0.6861538461538417,0.9950049950054551,0.6896551724137956,0.7403258655804414,-5.067069316664585,6.06207431167004,False,268,446,False,0.031703590527134146,0.649484536082474,0.6812227074235819,0.04659000793021606,rise,0.7118055555555536,0.6888361045130659,0.07381785411364412,fall,False,0.0016939582,0.20218094
Fam219b,fall,0.06493506493506494,0.05846153846153843,0.647352647352651,0.07161803713527853,0.06924643584521392,0.23716012900646122,0.41019251834618975,False,25,38,False,0.006875477463712796,0.05154639175257732,0.056768558951965045,0.09199048374306074,rise,0.06944444444444446,0.059382422802850374,0.010697250280583614,fall,False,0.00096311694,0.34540728
Scamp2,fall,0.2467532467532468,0.23846153846153906,0.829170829170775,0.2387267904509282,0.2342158859470458,0.4510904503882418,0.3780803787825332,True,95,155,False,0.010888101797192004,0.2577319587628865,0.20960698689956345,0.06088739534088942,fall,0.24305555555555516,0.2541567695961998,0.04367860851505978,rise,False,0.002361275,0.17484824
Csk,fall,0.4883116883116884,0.34000000000000097,14.831168831168744,0.4694960212201583,0.36761710794297414,10.187891327718418,4.643277503450326,True,188,221,False,0.22471467926013283,0.5154639175257735,0.36244541484716203,0.2400084733794661,fall,0.47916666666666546,0.3277909738717345,0.22519140164899643,fall,True,0.1317137,0.3037118
Edc3,rise,0.07272727272727274,0.08461538461538466,-1.1888111888111923,0.07161803713527853,0.07433808553971495,-0.27200484044364176,-0.9168063483675506,False,28,55,False,0.14049586776859535,0.09278350515463918,0.08733624454148467,0.0059685295713511125,fall,0.06597222222222224,0.08313539192399047,0.2064484126984122,rise,False,0.0013177074,0.46684894
Clk3,fall,0.18701298701298705,0.14307692307692332,4.3936063936063725,0.19098143236074266,0.14663951120162927,4.4341921159113395,-0.04058572230496704,True,72,93,False,0.051271887896663246,0.24742268041237106,0.148471615720524,0.11620407084324604,fall,0.16666666666666655,0.14014251781472675,0.030847145488029425,fall,True,0.0074168076,0.10618793
Arid3b,fall,0.19480519480519484,0.09538461538461547,9.942057942057938,0.1671087533156499,0.10997963340122216,5.712911991442773,4.229145950615164,True,75,62,False,0.1099037017404364,0.2371134020618556,0.07423580786026197,0.1759385333592686,fall,0.18055555555555539,0.10688836104513055,0.08248374704491716,fall,True,0.061385624,0.15873535
Ubl7,fall,0.10649350649350652,0.0753846153846154,3.110889110889112,0.10079575596816985,0.10794297352342175,-0.7147217555251897,3.8256108664143014,False,41,49,False,0.033645223329083575,0.13402061855670105,0.04366812227074235,0.09447818104787463,fall,0.09722222222222225,0.0926365795724465,0.005053810354857565,fall,True,0.004037979,0.08219762
Pml,fall,0.3896103896103897,0.3476923076923087,4.1918081918081,0.5092838196286464,0.3971486761710805,11.213514345756593,-7.021706153948493,True,150,226,False,0.06426121048762426,0.46391752577319617,0.34497816593886504,0.18158075601374565,fall,0.36458333333333254,0.3491686460807607,0.023684610705593974,fall,True,0.0047057075,0.15770805
Nptn,fall,0.45454545454545464,0.3523076923076933,10.223776223776133,0.4058355437665776,0.2830957230142559,12.27398207523217,-2.050205851456038,True,175,229,False,0.15784927661412104,0.47422680412371165,0.3493449781659393,0.19193247076731468,fall,0.4479166666666656,0.35391923990498875,0.14548866421568377,fall,True,0.059247606,0.24754873
Arih1,fall,0.42597402597402606,0.3415384615384625,8.443556443556355,0.4031830238726784,0.3503054989816704,5.2877524891008,3.155803954455555,True,164,222,False,0.12823158150260838,0.46391752577319617,0.3493449781659393,0.176088009409811,fall,0.4131944444444435,0.3372921615201906,0.11453355236957165,fall,True,0.040530693,0.21392827
Hexa,rise,0.06753246753246754,0.10153846153846165,-3.4005994005994107,0.0636604774535809,0.08553971486761722,-2.1879237414036314,-1.2126756591957792,True,26,66,False,0.3349075167256992,0.05154639175257732,0.0786026200873362,0.3442153493699882,rise,0.07291666666666669,0.11401425178147258,0.36046006944444364,rise,True,0.012496937,0.59482896
Pkm,rise,0.6597402597402598,0.7184615384615329,-5.872127872127308,0.6816976127320978,0.787169042769849,-10.547143003775117,4.675015131647809,True,254,467,False,0.08173197252425657,0.5463917525773198,0.7205240174672501,0.24167447672602416,rise,0.6979166666666647,0.7173396674584341,0.027076434878592348,rise,True,0.012985547,0.16265537
Tle3,fall,0.3584415584415585,0.25230769230769295,10.613386613386556,0.3315649867374001,0.23828920570264656,9.327578103475354,1.2858085099112024,True,138,164,False,0.14194858639303018,0.3814432989690723,0.27947598253275135,0.14151827553889398,fall,0.3506944444444437,0.23752969121140166,0.14841857043959725,fall,True,0.06203937,0.21864569
Rplp1,fall,0.9844155844155846,0.9646153846153711,1.9800199800213525,0.9681697612732171,0.948065173116075,2.010458815714211,-0.030438835692858657,True,379,627,True,0.5595708639188642,0.9896907216494831,0.9432314410480367,0.8183980967485818,fall,0.982638888888886,0.9762470308788626,0.26909722222201565,fall,True,0.05020998,0.8750515
Anp32a,fall,0.6935064935064936,0.6215384615384592,7.196803196803447,0.6790450928381986,0.5397148676171091,13.933022522108951,-6.736219325305504,True,267,404,False,0.19015943406187852,0.6701030927835049,0.5851528384279485,0.20477482365707844,fall,0.701388888888887,0.6413301662707854,0.16744849153788643,fall,True,0.034228485,0.32731462
Fem1b,fall,0.07532467532467534,0.05999999999999997,1.5324675324675365,0.10610079575596827,0.05193482688391042,5.4165968872057855,-3.884129354738249,True,29,39,False,0.016302846090080175,0.05154639175257732,0.056768558951965045,0.09199048374306074,rise,0.08333333333333336,0.06175771971496439,0.022995780590717305,fall,False,0.0014762832,0.24205051
Pias1,fall,0.22597402597402602,0.17076923076923112,5.5204795204794905,0.22281167108753303,0.182281059063136,4.053061202439704,1.4674183180397868,True,87,111,False,0.06657350071079166,0.20618556701030924,0.19213973799126646,0.01738645862357187,fall,0.23263888888888853,0.15914489311163893,0.08740387633396068,fall,True,0.0140229855,0.12630647
Map2k5,rise,0.07792207792207793,0.09846153846153856,-2.0539460539460626,0.11671087533156511,0.0824847250509166,3.4226150280648513,-5.476561082010914,False,30,64,False,0.20860389610389674,0.07216494845360824,0.10917030567685583,0.3389690721649481,rise,0.07986111111111113,0.0926365795724465,0.13790954415954348,rise,True,0.0024915661,0.5048052
2300009A05Rik,rise,0.11168831168831171,0.113846153846154,-0.2157842157842288,0.13527851458885953,0.11507128309572319,2.020723149313634,-2.236507365097863,False,43,74,False,0.018954018954020047,0.07216494845360824,0.0917030567685589,0.21305841924398594,rise,0.12500000000000003,0.12589073634204262,0.007075471698111957,rise,True,0.0015642882,0.32467532
Aagab,rise,0.10649350649350652,0.10923076923076937,-0.2737262737262852,0.07957559681697617,0.08553971486761722,-0.5964118050641052,0.32268553133781996,True,41,71,False,0.025059447594659834,0.12371134020618559,0.12663755458515277,0.023107003199430598,rise,0.10069444444444448,0.09976247030878853,0.001035253591322305,fall,False,0.0014430014,0.32930085
Smad3,fall,0.17922077922077925,0.07692307692307694,10.229770229770232,0.12997347480106114,0.02443991853360488,10.553355626745626,-0.32358539697539435,True,69,50,False,0.11082251082251085,0.1443298969072165,0.08296943231441044,0.06691212567501233,fall,0.19097222222222202,0.07363420427553444,0.12666488603988582,fall,True,0.06453227,0.15864912
Rpl4,fall,0.9350649350649353,0.8999999999999886,3.506493506494668,0.9230769230769298,0.867617107942962,5.5459815133967805,-2.0394880069021126,True,360,585,True,0.35064935064942676,0.9278350515463906,0.877729257641923,0.40979381443297225,fall,0.9374999999999972,0.912114014251784,0.2888513513512997,fall,True,0.013275009,0.59156096
Snapc5,rise,0.21818181818181823,0.22461538461538516,-0.6433566433566934,0.2440318302387266,0.2769857433808546,-3.2953913142127975,2.652034670856104,True,84,146,False,0.028642590286428016,0.19587628865979378,0.18340611353711797,0.01527096311814311,fall,0.22569444444444411,0.24703087885985775,0.08637152777778012,rise,False,0.002050581,0.2520353
Map2k1,fall,0.23636363636363641,0.1769230769230773,5.944055944055912,0.27851458885941616,0.22301425661914367,5.550033224027248,0.3940227200286639,True,91,115,False,0.07221750212404382,0.24742268041237106,0.21834061135371194,0.037205552035938214,fall,0.23263888888888853,0.15439429928741089,0.09253082084893845,fall,True,0.013570699,0.13226439
Gm48855,fall,0.09610389610389612,0.07076923076923076,2.5334665334665356,0.09283819628647222,0.05906313645621186,3.377505983026036,-0.8440394495595003,True,37,46,False,0.027264126601874973,0.13402061855670105,0.04803493449781658,0.09032441123616763,fall,0.08333333333333336,0.08313539192399047,0.000215889464594184,fall,True,0.0027443438,0.102067515
Tipin,fall,0.11688311688311691,0.08769230769230775,2.919080919080916,0.1140583554376659,0.11914460285132401,-0.5086247413658109,3.427705660446727,False,45,57,False,0.03199667111977395,0.07216494845360824,0.07423580786026197,0.027895694360217993,rise,0.13194444444444445,0.09501187648456051,0.0408100029163022,fall,False,0.0031436114,0.0984784
Rab11a,fall,0.3896103896103897,0.2923076923076931,9.730269730269658,0.3103448275862065,0.32179226069246425,-1.1447433106257732,10.875013040895432,False,150,190,False,0.13749294184076705,0.3814432989690723,0.3231441048034938,0.08613235783172568,fall,0.3923611111111102,0.275534441805226,0.16125910746812222,fall,True,0.05515342,0.22025016
Dennd4a,fall,0.9324675324675327,0.9153846153846035,1.7082917082929194,0.7506631299734784,0.8360488798370569,-8.53857498635785,10.24686669465077,False,359,595,True,0.20188902007095297,0.938144329896906,0.9344978165938882,0.055670103092739814,fall,0.9305555555555528,0.9049881235154419,0.26909722222217436,fall,True,0.0017185494,0.5212355
Hacd3,rise,0.06493506493506494,0.13230769230769251,-6.737262737262757,0.10610079575596827,0.13340122199592677,-2.73004262399585,-4.007220113266907,False,25,86,False,0.5092117185140448,0.10309278350515465,0.10917030567685583,0.05567010309278286,rise,0.05208333333333335,0.1448931116389548,0.6405396174863385,rise,True,0.26991928,0.69791186
Dpp8,fall,0.29090909090909095,0.2507692307692314,4.013986013985954,0.28647214854111375,0.24847250509164848,3.799964344946527,0.21402166903942677,True,112,163,False,0.05357476199365241,0.28865979381443296,0.2532751091703059,0.0473865075058778,fall,0.29166666666666613,0.24940617577197177,0.05630274261603269,fall,True,0.005100493,0.12874801
Clpx,fall,0.15324675324675327,0.113846153846154,3.940059940059927,0.08488063660477459,0.11405295315682298,-2.91723165520484,6.857291595264767,False,59,74,False,0.04446248196248183,0.15463917525773196,0.10917030567685583,0.05104103497068938,fall,0.1527777777777777,0.11638954869358659,0.04118130227001199,fall,True,0.0056384895,0.0972273
Pdcd7,fall,0.17662337662337665,0.17538461538461575,0.12387612387609048,0.18037135278514588,0.15784114052953138,2.2530212255614495,-2.129145101685359,True,68,114,False,0.0015022291141690083,0.13402061855670105,0.165938864628821,0.1923494302767227,rise,0.19097222222222202,0.18052256532066513,0.012751610305957825,fall,False,0.0015022291,0.22785477
Mtfmt,fall,0.07272727272727274,0.052307692307692284,2.041958041958045,0.06896551724137932,0.05906313645621186,0.9902380785167462,1.051719963441299,False,28,34,False,0.021546635182998854,0.05154639175257732,0.056768558951965045,0.09199048374306074,rise,0.07986111111111113,0.04988123515439431,0.03155381944444446,fall,False,0.0019801906,0.15584415
Spg21,fall,0.22597402597402602,0.18923076923076965,3.6743256743256376,0.21220159151193624,0.19959266802443926,1.2608923487496981,2.4134333255759395,False,87,123,False,0.0453190073683428,0.24742268041237106,0.17903930131004372,0.08329677560868597,fall,0.2187499999999997,0.19477434679334926,0.02977507374631219,fall,True,0.0032467532,0.11448006
Plekho2,fall,0.28831168831168835,0.23230769230769288,5.600399600399547,0.14588859416445632,0.14663951120162927,-0.0750917037172949,5.675491304116842,False,111,151,False,0.07295109699919256,0.29896907216494845,0.24890829694323166,0.06665068328937876,fall,0.2847222222222217,0.22327790973871753,0.07910720353380815,fall,True,0.011374156,0.14270681
Oaz2,fall,0.07792207792207793,0.0753846153846154,0.2537462537462537,0.07161803713527853,0.056008146639511244,1.560989049576729,-1.3072427958304753,True,30,49,False,0.002744343842513559,0.07216494845360824,0.08733624454148467,0.17371134020618517,rise,0.07986111111111113,0.06888361045130642,0.01178961167800455,fall,False,0.00096597616,0.35064936
Trip4,rise,0.14805194805194807,0.17230769230769266,-2.425574425574459,0.12466843501326275,0.129327902240326,-0.46594672270632576,-1.9596277028681333,False,57,112,False,0.14076994434137458,0.18556701030927833,0.18777292576419222,0.011747782306401833,rise,0.13541666666666666,0.16389548693586697,0.17376207729468596,rise,True,0.0026455026,0.37003797
Csnk1g1,fall,0.3584415584415585,0.2923076923076931,6.61338661338654,0.36604774535808965,0.2892057026476572,7.684204271043243,-1.0708176576567032,True,138,190,False,0.093450028232636,0.4020618556701033,0.3231441048034938,0.11659461257066822,fall,0.3437499999999993,0.275534441805226,0.09415983606557232,fall,True,0.017556306,0.17034082
Ppib,fall,0.8259740259740261,0.8169230769230682,0.9050949050957935,0.8010610079575642,0.8411405295315577,-4.007952157399353,4.913047062495146,False,318,531,False,0.04943795700102838,0.8041237113402054,0.7947598253275123,0.045624040359717816,fall,0.8333333333333309,0.8289786223277932,0.025462962962936327,fall,True,0.0015022291,0.27842775
Snx1,fall,0.22337662337662342,0.201538461538462,2.1838161838161425,0.22546419098143222,0.16395112016293253,6.151307081849969,-3.967490898033826,True,86,131,False,0.027350299026599103,0.2577319587628865,0.20087336244541495,0.0711509210748688,fall,0.21180555555555527,0.20190023752969133,0.01241112764550215,fall,True,0.0028100554,0.13027322
Fam96a,rise,0.29090909090909095,0.3446153846153856,-5.370629370629465,0.37135278514588804,0.31670061099796315,5.465217414792489,-10.835846785421953,False,112,224,False,0.15584415584415812,0.24742268041237106,0.27947598253275135,0.11469072164948568,rise,0.30555555555555497,0.380047505938243,0.19600694444444744,rise,True,0.011905005,0.30607772
Dapk2,rise,0.2415584415584416,0.25538461538461604,-1.3826173826174433,0.09283819628647222,0.1955193482688385,-10.268115198236627,8.885497815619184,True,93,166,False,0.05413863245188766,0.15463917525773196,0.29694323144104834,0.4792298362644032,rise,0.27083333333333287,0.23277909738717362,0.04960010319917353,fall,False,0.0018754643,0.25188583
Herc1,fall,0.42077922077922086,0.3830769230769242,3.7702297702296663,0.44031830238726716,0.4002036659877812,4.011463639948598,-0.2412338697189318,True,162,249,False,0.06111345014087999,0.42268041237113424,0.3668122270742363,0.08823320298613546,fall,0.4201388888888879,0.3919239904988131,0.04640028211805275,fall,True,0.003983199,0.15584415
Usp3,rise,0.3974025974025975,0.40923076923077045,-1.1828171828172973,0.3872679045092832,0.31568228105906293,7.1585623450220295,-8.341379527839326,False,153,266,False,0.028903427399670667,0.3814432989690723,0.4454148471615727,0.1436223974125742,rise,0.40277777777777685,0.3895486935866991,0.02167099005620135,fall,False,0.00196158,0.16479765
Rab8b,fall,0.5402597402597403,0.393846153846155,14.641358641358531,0.5119363395225457,0.5244399185336066,-1.2503579011060917,15.891716542464623,False,208,256,False,0.24154525677368185,0.5670103092783506,0.379912663755459,0.30172789313198745,fall,0.5312499999999987,0.4014251781472692,0.2168898809523777,fall,True,0.14304733,0.33718133
