batch,condition,lineage,n_cells,n_empty_droplets,total_counts,rho,removed_frac,val_before,val_after,est_before,est_after
54,Normal,CD4T,753,306398,1501063.0,0.034956088000690604,0.03459379081540903,0.0003424240021904477,6.818513856937643e-05,0.00010525873997293918,1.7899553720402217e-06
54,Normal,B,254,306398,400891.0,0.6939386959991064,0.5769503209378886,0.00044650540920100477,0.0,0.0003192887842331207,5.091814882680448e-05
54,Normal,Myeloid,1391,306398,5345660.0,0.03907634809691262,0.038927312419797855,1.8519696351806885e-05,0.0,0.00011766554550794476,4.744702501108626e-06
53,Tumor,NK,122,386886,246195.0,0.04693842296130214,0.04611612049828129,0.0003899348077743252,0.00024173223280968072,8.123641828631775e-05,1.286043812832216e-05
53,Tumor,CD8T,172,386886,239327.0,0.060356776716363914,0.05872728085234624,0.0003050219991893936,0.00010636446217922686,0.00010445958876349096,8.178869389682304e-06
53,Tumor,CD4T,205,386886,328315.0,0.03343802381526854,0.0327041454081749,0.0001401093462071486,2.6660932704347532e-05,5.787125169425704e-05,9.464363250706104e-07
53,Tumor,B,134,386886,591721.0,0.15812902585191746,0.15385663865509702,0.00011660900998950519,0.0,3.3799713040436286e-05,1.5978244153195655e-05
53,Tumor,Myeloid,1092,386886,5028038.0,0.034359779174763364,0.03424672329185974,6.1654267529402124e-06,0.0,5.9466535455778176e-05,6.775042515033311e-06
53,Normal,NK,618,386886,1159166.0,0.046356969959827736,0.046190214908015115,0.00036664291395710366,0.00021706859363968507,8.023009646590739e-05,1.1130582906113438e-05
53,Normal,CD8T,1238,386886,1500168.0,0.04968525692734259,0.04945367353891006,0.00018331280229947578,1.4144759325508272e-05,8.599036907866319e-05,1.337322699866235e-05
53,Normal,CD4T,1805,386886,2619835.0,0.04300692568399856,0.04281118686737584,0.00014581070945307624,1.3146775731051699e-06,7.443216843808865e-05,3.5105811112103095e-06
53,Normal,B,735,386886,2534758.0,0.11074224676216322,0.10921938673660936,0.00011283128409102565,0.0,2.367089876035503e-05,5.3146416542758545e-06
53,Normal,Myeloid,2406,386886,8353779.0,0.04184563088022473,0.041809394341613015,7.661203390704974e-06,0.0,7.242231330275796e-05,6.79492270188447e-06
55,Tumor,NK,176,408403,308097.0,1.0,0.7551448105166276,0.00039273345732025955,0.0,0.024505269444363303,0.08924421767357886
55,Tumor,CD8T,574,408403,1006760.0,0.035777439808905215,0.03532037879279393,0.0002791131948031308,2.1221379570650812e-05,0.00012416067384480908,8.544473103016913e-06
55,Tumor,CD4T,780,408403,1776961.0,0.14918842530748777,0.1382231225614009,0.00025099031436255496,2.4738613372023972e-06,0.0005177378681918174,0.00011647038966085247
55,Tumor,B,511,408403,1527058.0,0.2010937479840298,0.19500130610511823,0.0008847077190257344,0.0,0.00010412178188385772,2.8120104948397625e-06
55,Tumor,Myeloid,1254,408403,7401150.0,0.08475872627630376,0.08423081465827675,0.0003735905906514528,0.00032207110404452896,0.00029414347770278945,0.00011167535233991972
55,Normal,NK,262,408403,410106.0,0.061831779814529524,0.06056378851104338,0.0005096243410240279,7.274092198646947e-05,0.00021457866990485386,2.8463081643110236e-05
55,Normal,CD8T,508,408403,847333.0,0.037067865294229896,0.03653613953023427,0.00027852095929227353,1.0950992629635455e-05,0.00012863891763922802,1.628198921494619e-05
55,Normal,CD4T,665,408403,1254547.0,0.0310078768879719,0.030681943041843462,0.0002789851635690014,5.665997723525772e-05,0.00010760856309090054,4.1097455062351985e-06
55,Normal,B,204,408403,393399.0,0.3829290619310219,0.3520047367143413,0.00043213124588522086,3.1762372282177672e-06,0.00019827198340616016,2.4066105152265357e-05
55,Normal,Myeloid,1323,408403,5130747.0,0.03689860679300354,0.03676273860119805,1.9100532534541265e-05,0.0,0.00012805152933871033,2.9969499114334013e-06
89,Tumor,NK,104,597241,140308.0,0.18306711718249188,0.17847605683884327,0.0015038344214157425,0.00037709776620763706,0.0004846480599823246,8.953822081548236e-05
89,Tumor,CD8T,320,597241,881197.0,0.0878748739584842,0.08726840750526554,0.0008238793368565712,0.00026501687155842615,0.00023263810475977563,1.780425627183148e-05
89,Tumor,CD4T,708,597241,2171789.0,0.07235350352323175,0.07200841049598095,0.0006625873876329606,0.00019762510526856266,0.00019154715306137014,1.2284270731281492e-05
89,Tumor,B,556,597241,1853073.0,0.17019181847469778,0.16819145742738784,0.000700997748064971,0.0,6.097978870773035e-05,1.0880458441913533e-07
89,Tumor,Myeloid,1387,597241,20857277.0,0.05476562418985399,0.05466731188662155,1.8410840494662846e-05,0.0,0.00014498536889546993,3.730672382815383e-06
89,Normal,NK,282,597241,646344.0,0.14142803533478848,0.14018850971207397,0.0011170522198705333,0.00021913097362604358,0.0003744136249427549,0.00011596690969916132
89,Normal,CD8T,192,597241,501567.0,0.17170769413663942,0.16863737337384044,0.0008792444479002805,0.0,0.00045457536081919264,0.00023610966627760232
89,Normal,CD4T,346,597241,1123842.0,0.06419659192501946,0.06378368455997352,0.0006486676952810092,0.00024058492338735574,0.00016995271577321366,1.2458974433927587e-05
89,Normal,B,263,597241,731767.0,0.5110751223967589,0.4658133361933606,0.0008131003447818773,0.0,0.00018311839697608665,0.0001271961657826115
89,Normal,Myeloid,1130,597241,12172358.0,0.049558033312025,0.04945316028965352,1.2980229467454047e-05,0.0,0.00013119890164255767,2.836558843242513e-06
56,Tumor,NK,521,509722,913082.0,0.1229707683636892,0.12144087535405923,0.0005607382469482478,0.00010375937330207848,0.0013865129309306283,0.00017322706736836845
56,Tumor,CD8T,673,509722,1303615.0,0.28030176306033444,0.26392040716575627,0.00042957468270923545,0.0,0.003160442308503661,0.0019519840750716099
56,Tumor,CD4T,1220,509722,2848091.0,0.09827908297824393,0.09734767206179795,0.00036937022026332727,0.0,0.0011081106607899818,0.00014044048760759648
56,Tumor,B,911,509722,6335843.0,0.3292900843834742,0.3083154977538576,0.00045802902628742535,0.0,0.0001669864609965872,2.308533357521517e-05
56,Tumor,Myeloid,1999,509722,10677570.0,0.11226741378190955,0.11144030420714024,0.00027777855823000926,0.0,0.00126583108328955,0.00018097316439197761
56,Normal,NK,498,509722,820848.0,0.1136660996589664,0.11243363873423162,0.0005457770500750444,0.0001270225363353848,0.0012816014658012201,0.00015283609661528608
56,Normal,CD8T,777,509722,1358158.0,0.11212383960244239,0.1109216679059537,0.00042189494889401677,3.675058245075448e-07,0.0012642122639633974,0.00018378474874812076
56,Normal,CD4T,1092,509722,2164346.0,0.10523162865562612,0.10412306649496339,0.00041767813464205813,1.872466528355869e-05,0.0011865016037177051,0.00014983096005870072
56,Normal,B,832,509722,2246610.0,0.7083424019520342,0.6348600663174453,0.0008888948237566823,0.0,0.0003592078731956147,2.629466956077212e-05
56,Normal,Myeloid,3096,509722,30016037.0,0.06778256885848374,0.06730643723532215,0.00016614451801215464,0.0,0.0007642581197511184,0.00010817663156865224
88,Tumor,NK,161,597292,325416.0,0.14889133792700485,0.14735790034476126,0.0018530127590530275,0.0005987822526512188,0.00047324040612631215,0.00020191523557004952
88,Tumor,CD8T,693,597292,1404331.0,0.0638503072249647,0.06355107918039249,0.0008559235678768039,0.0002971212159054056,0.00020294360802403422,1.1000192472829224e-05
88,Tumor,CD4T,1404,597292,3076107.0,0.05819671118672654,0.05799787919196686,0.0007168151172894831,0.00020199659333975485,0.00018497405974499586,2.6248217331322526e-06
88,Tumor,B,1303,597292,3594711.0,0.2633384701629115,0.2559319793295508,0.0008782347176170769,0.0,7.956133330328919e-05,7.088459043012643e-06
88,Tumor,Myeloid,3827,597292,46013721.0,0.04469703800982269,0.04466428098757047,1.4517408839854529e-05,0.0,0.00014206631973971416,9.911203970864342e-06
88,Normal,NK,603,597292,1142462.0,0.06581785905807704,0.065499972038084,0.0009479527546649254,0.0003771713447165972,0.0002091973299768395,2.0739205530421024e-05
88,Normal,CD8T,426,597292,867466.0,0.575225771533265,0.4737390799284331,0.000753920038364616,0.0,0.0018283137321808579,0.0002738172985201939
88,Normal,CD4T,855,597292,2021117.0,0.05277106479080749,0.05254924070215394,0.0006387556979630571,0.00017025714029090584,0.00016772903300501653,6.572682409965645e-06
88,Normal,B,557,597292,1177387.0,1.0,0.7316805630694074,0.000946162986341789,0.0,0.0005206444440103382,0.0011624437875585964
