gene,p_green,p_red,drop_ratio,null_drop,resid,mean_umi,n_pos_green,resid_pct,drop_pct
Trdc,0.33246753246753247,0.2692307692307692,0.19020432692307696,0.08749999999999973,0.10270432692307722,0.5532467532467532,128,0.7028595109821799,0.6780632684072385
Trac,0.07532467532467532,0.12615384615384614,-0.6748010610079574,0.11586206896551736,-0.7906631299734748,0.08831168831168831,29,0.013537781461527836,0.01381406271584473
Dad1,0.7688311688311689,0.7707692307692308,-0.002520790020789967,0.04959459459459473,-0.0521153846153847,1.8051948051948052,296,0.35875120873048766,0.27738637933416216
Oxa1l,0.19220779220779222,0.18307692307692308,0.04750519750519752,0.1005405405405407,-0.05303534303534317,0.22857142857142856,74,0.35709352120458626,0.37933416217709626
Mrpl52,0.6623376623376623,0.7107692307692308,-0.07312217194570143,0.06792156862745102,-0.14104374057315244,1.2727272727272727,255,0.23138555049039922,0.19477828429341068
Lrp10,0.6,0.5646153846153846,0.05897435897435892,0.07393939393939397,-0.014965034965035054,1.0493506493506493,231,0.4304461942257218,0.4008841000138141
Prmt5,0.12467532467532468,0.1476923076923077,-0.18461538461538474,0.1158333333333334,-0.30044871794871814,0.14545454545454545,48,0.11189390799834231,0.11355159552424368
Haus4,0.09610389610389611,0.06615384615384616,0.31164241164241163,0.1275675675675676,0.18407484407484404,0.1038961038961039,37,0.8262190910346733,0.8514297554910899
Psmb5,0.5246753246753246,0.48307692307692307,0.07928408225437922,0.08752475247524742,-0.008240670220868204,0.7896103896103897,202,0.44439839756872496,0.44053046000828844
Acin1,0.6857142857142857,0.6353846153846154,0.07339743589743583,0.07257575757575761,0.0008216783216782181,1.238961038961039,264,0.46387622599806605,0.42878850669982044
1700123O20Rik,0.2623376623376623,0.19076923076923077,0.2728103579588727,0.1223762376237624,0.1504341203351103,0.2987012987012987,101,0.7793894184279596,0.8041165906893217
Pabpn1,0.34285714285714286,0.2676923076923077,0.21923076923076928,0.09515151515151528,0.124079254079254,0.43636363636363634,132,0.7378090896532671,0.7280011051250173
Ngdn,0.2571428571428571,0.2153846153846154,0.16239316239316226,0.11757575757575733,0.04481740481740493,0.3012987012987013,99,0.5790855090482111,0.6221853847216466
Zfhx2,0.12727272727272726,0.08461538461538462,0.3351648351648351,0.10693877551020424,0.22822605965463083,0.15064935064935064,49,0.8738776074043376,0.8736013261500207
Ap1g2,0.1012987012987013,0.07538461538461538,0.2558185404339251,0.13846153846153844,0.11735700197238666,0.11168831168831168,39,0.7268959801077497,0.7822213012847078
Dhrs4,0.06233766233766234,0.033846153846153845,0.4570512820512821,0.14000000000000015,0.31705128205128197,0.06493506493506493,24,0.9378367177786987,0.9531012570797072
Dcaf11,0.22077922077922077,0.2153846153846154,0.024434389140271396,0.12094117647058797,-0.09650678733031658,0.2597402597402597,85,0.2874706451167288,0.3330570520790164
