tissue,assay,IL15_nonNK,IL15RA_nonNK,IL2RB_NK,IL2RG_NK,CISH_NK,BCL2_NK,SOCS1_NK,PIM1_NK,CCL3_NK,CCL4_NK,CCL5_NK,XCL1_NK
jejunal epithelium,10x 5' v2,0.05692500014574831,0.046136513568054274,0.8851648351648351,0.8615384615384616,0.1576923076923077,0.2010989010989011,0.37142857142857144,0.37747252747252746,0.6428571428571428,0.7428571428571429,0.9571428571428571,0.8615384615384616
jejunum lamina propria,10x 3' v3,0.04861362714111882,0.039268580535155834,0.905909090909091,0.8086363636363637,0.0,0.12772727272727274,0.3190909090909091,0.5281818181818182,0.6272727272727272,0.8004545454545454,0.8618181818181818,0.3790909090909091
jejunum lamina propria,10x 5' v2,0.10051883501918382,0.06168250784792466,0.7424242424242424,0.8348484848484848,0.08712121212121213,0.27045454545454545,0.45833333333333337,0.5045454545454545,0.55,0.7840909090909092,0.7462121212121212,0.625
liver,10x 5' v1,0.031496062992125984,0.09515260323159784,0.890625,0.9122257053291536,0.2222222222222222,0.19435736677115986,0.23404255319148937,0.59375,0.7931034482758621,0.8808777429467085,0.8014184397163121,0.7777777777777778
liver,10x 5' v2,0.03864452172941415,0.06525996964469866,0.8292664063708419,0.9143475183621049,0.09936324391718655,0.27286064486493833,0.4141968248909054,0.6309861399504094,0.7898140119148618,0.8669250094915795,0.8566021551744342,0.4327272002887315
lung,10x 3' v3,0.02030990195516312,0.03307966859698412,0.7327437497610765,0.809480006880997,0.04270638212469896,0.3195219618486945,0.3583111930884208,0.5306514966168432,0.7910828968997287,0.9236197389043924,0.8175568160097864,0.23551167858098554
lung,10x 5' v1,0.03719975087949637,0.10797606423269202,0.8563333333333334,0.8647843137254903,0.16099999999999998,0.18663793103448276,0.4466911764705882,0.5073529411764706,0.7097701149425287,0.9269636015325671,0.8854166666666666,0.6215277777777778
lung,10x 5' v2,0.06818181818181818,0.05548128342245989,0.7578947368421053,0.9342105263157895,0.07500000000000001,0.4302631578947368,0.6776315789473684,0.6434210526315789,0.7973684210526316,0.8710526315789474,0.9355263157894737,0.1763157894736842
mesenteric lymph node,10x 5' v1,0.014933628318584071,0.06048387096774194,0.875,0.9285714285714286,0.14285714285714285,0.2,0.5454545454545454,0.5714285714285714,0.8,0.8181818181818182,1.0,0.8571428571428571
mesenteric lymph node,10x 5' v2,0.023851975371985634,0.030738673121110047,0.859001473314006,0.8665700299415426,0.02863457060025664,0.16905660377358492,0.491183879093199,0.4647169811320755,0.6953904282115869,0.7385699348890262,0.7579093198992444,0.6622546456917447
omentum,10x 5' v1,0.03337910482645787,0.08485603543743078,0.9166666666666666,1.0,0.0,0.4393939393939394,1.0,0.6666666666666666,0.7045454545454546,1.0,1.0,0.5
sigmoid colon,10x 5' v1,0.013888888888888888,0.041666666666666664,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
skeletal muscle tissue,10x 5' v1,0.0,0.0,0.9763779527559056,1.0,0.35,0.17480314960629922,0.45,0.65,0.626771653543307,1.0,0.9488188976377953,0.7992125984251969
spleen,10x 3' v3,0.030100964360339127,0.03432421056172501,0.7183592529412064,0.8522051678742644,0.026505796149059922,0.16359253317903807,0.37526211077503424,0.38084090542238985,0.6191505717984345,0.887409472546386,0.7993679864825897,0.3082089337183934
spleen,10x 5' v1,0.04424773164232469,0.06734028738152259,0.9123662578288101,0.9214154411764706,0.10717536407766991,0.1878509963768116,0.6126183189087298,0.5832448422330097,0.7562575849514563,0.9113617524253961,0.8734646411415368,0.8314534551684751
spleen,10x 5' v2,0.024581704324113118,0.04714912387900213,0.7913480529834924,0.8886082773116857,0.040778540462427744,0.2137057442196532,0.49060295846394986,0.5508941473988439,0.7435932601880877,0.8303560932601881,0.8166008299055937,0.5013876908403638
thoracic lymph node,10x 3' v3,0.008481282593826477,0.0198218137412397,0.7911168521462639,0.7875198728139905,0.006617647058823529,0.24155405405405406,0.4553060413354531,0.4302066772655008,0.7089427662957075,0.8047694753577106,0.7794316375198729,0.633108108108108
thoracic lymph node,10x 5' v1,0.01850734272552893,0.04751946147485999,0.9374149659863946,0.8875,0.047704081632653064,0.2058673469387755,0.5229591836734694,0.4798469387755102,0.7324324324324324,0.8836336336336337,0.8031081081081082,0.9270546056260343
thoracic lymph node,10x 5' v2,0.008406922144687802,0.0373589875512068,0.9342523860021209,0.8618815592203898,0.02553905973842347,0.20389805097451275,0.5526819923371648,0.4609570214892553,0.7001682085786376,0.7911877394636015,0.7945402298850575,0.8576352067868505
thymus,10x 5' v1,0.0,0.010380622837370242,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5
