library,lineage,n_cells,cd3_triple_pos_n,cd3_triple_pos_pct,cd3_any_pos_pct,batch,patient,probe_pos_frac
GSE154826_amp_batch_ID_43,NK,185,0,0.0,0.0,43,571,0.4648648648648649
GSE154826_amp_batch_ID_43,CD8T,605,107,17.68595041322314,84.46280991735537,43,571,0.7421487603305785
GSE154826_amp_batch_ID_43,CD4T,1525,276,18.098360655737704,90.49180327868852,43,571,
GSE154826_amp_batch_ID_43,B,1251,8,0.6394884092725819,11.031175059952037,43,571,0.15347721822541965
GSE154826_amp_batch_ID_43,Myeloid,1759,26,1.4781125639567936,14.04206935758954,43,571,0.20409323479249575
GSE154826_amp_batch_ID_44,NK,386,0,0.0,0.0,44,572,0.5699481865284974
GSE154826_amp_batch_ID_44,CD8T,712,162,22.752808988764045,88.90449438202246,44,572,0.8651685393258427
GSE154826_amp_batch_ID_44,CD4T,701,183,26.105563480741793,90.29957203994294,44,572,
GSE154826_amp_batch_ID_44,B,791,7,0.8849557522123894,9.355246523388116,44,572,0.21997471554993678
GSE154826_amp_batch_ID_44,Myeloid,2139,5,0.23375409069658717,10.191678354371202,44,572,0.11453950444132772
GSE154826_amp_batch_ID_45,NK,143,0,0.0,0.0,45,572,0.5874125874125874
GSE154826_amp_batch_ID_45,CD8T,713,243,34.081346423562415,93.12762973352034,45,572,0.9116409537166901
GSE154826_amp_batch_ID_45,CD4T,1124,384,34.16370106761566,95.90747330960853,45,572,
GSE154826_amp_batch_ID_45,B,1332,37,2.7777777777777777,23.4984984984985,45,572,0.28378378378378377
GSE154826_amp_batch_ID_45,Myeloid,1650,38,2.3030303030303028,16.969696969696972,45,572,0.20909090909090908
GSE154826_amp_batch_ID_46,NK,262,0,0.0,0.0,46,578,0.7290076335877863
GSE154826_amp_batch_ID_46,CD8T,459,116,25.272331154684096,93.24618736383442,46,578,0.8736383442265795
GSE154826_amp_batch_ID_46,CD4T,721,241,33.42579750346741,97.64216366158114,46,578,
GSE154826_amp_batch_ID_46,B,549,41,7.468123861566485,28.415300546448087,46,578,0.37340619307832423
GSE154826_amp_batch_ID_46,Myeloid,1185,8,0.6751054852320675,19.156118143459917,46,578,0.18059071729957807
GSE154826_amp_batch_ID_47,NK,330,0,0.0,0.0,47,578,0.603030303030303
GSE154826_amp_batch_ID_47,CD8T,886,321,36.230248306997744,95.93679458239278,47,578,0.9006772009029346
GSE154826_amp_batch_ID_47,CD4T,1297,375,28.91287586738628,96.68465690053971,47,578,
GSE154826_amp_batch_ID_47,B,1085,38,3.5023041474654377,19.53917050691244,47,578,0.27557603686635945
GSE154826_amp_batch_ID_47,Myeloid,1873,47,2.5093432995194873,18.900160170848906,47,578,0.19594233849439402
GSE154826_amp_batch_ID_48,NK,183,0,0.0,0.0,48,581,0.31693989071038253
GSE154826_amp_batch_ID_48,CD8T,515,78,15.145631067961165,85.24271844660194,48,581,0.8155339805825242
GSE154826_amp_batch_ID_48,CD4T,729,136,18.655692729766805,88.06584362139918,48,581,
GSE154826_amp_batch_ID_48,B,633,18,2.843601895734597,19.11532385466035,48,581,0.23380726698262244
GSE154826_amp_batch_ID_48,Myeloid,2195,4,0.18223234624145787,8.656036446469248,48,581,0.1275626423690205
GSE154826_amp_batch_ID_49,NK,285,0,0.0,0.0,49,581,0.5017543859649123
GSE154826_amp_batch_ID_49,CD8T,574,105,18.29268292682927,89.37282229965156,49,581,0.8432055749128919
GSE154826_amp_batch_ID_49,CD4T,1092,223,20.42124542124542,91.94139194139194,49,581,
GSE154826_amp_batch_ID_49,B,1158,6,0.5181347150259068,6.822107081174439,49,581,0.16839378238341968
GSE154826_amp_batch_ID_49,Myeloid,2177,15,0.6890215893431328,15.893431327514929,49,581,0.14745062011943041
GSE154826_amp_batch_ID_50,NK,149,0,0.0,0.0,50,581,0.4697986577181208
GSE154826_amp_batch_ID_50,CD8T,602,129,21.428571428571427,91.86046511627907,50,581,0.867109634551495
GSE154826_amp_batch_ID_50,CD4T,1143,281,24.58442694663167,93.35083114610674,50,581,
GSE154826_amp_batch_ID_50,B,757,8,1.0568031704095113,18.229854689564068,50,581,0.20343461030383092
GSE154826_amp_batch_ID_50,Myeloid,1637,15,0.916310323762981,15.271838729383017,50,581,0.20403176542455712
GSE154826_amp_batch_ID_51,NK,271,0,0.0,0.0,51,584,0.6383763837638377
GSE154826_amp_batch_ID_51,CD8T,519,123,23.699421965317917,93.44894026974951,51,584,0.8477842003853564
GSE154826_amp_batch_ID_51,CD4T,956,287,30.020920502092054,95.7112970711297,51,584,
GSE154826_amp_batch_ID_51,B,607,8,1.3179571663920924,12.355848434925864,51,584,0.28171334431630973
GSE154826_amp_batch_ID_51,Myeloid,1776,13,0.7319819819819819,8.164414414414415,51,584,0.11204954954954954
GSE154826_amp_batch_ID_52,NK,276,0,0.0,0.0,52,584,0.6231884057971014
GSE154826_amp_batch_ID_52,CD8T,426,135,31.690140845070424,94.83568075117371,52,584,0.8967136150234741
GSE154826_amp_batch_ID_52,CD4T,891,312,35.01683501683502,97.08193041526376,52,584,
GSE154826_amp_batch_ID_52,B,574,7,1.2195121951219512,11.846689895470384,52,584,0.2770034843205575
GSE154826_amp_batch_ID_52,Myeloid,1623,8,0.49291435613062234,5.976586568083795,52,584,0.09550215650030808
GSE154826_amp_batch_ID_53,NK,1020,0,0.0,0.0,53,593,0.46372549019607845
GSE154826_amp_batch_ID_53,CD8T,1901,162,8.521830615465545,83.64018937401367,53,593,0.7127827459231983
GSE154826_amp_batch_ID_53,CD4T,2655,233,8.775894538606403,87.45762711864407,53,593,
GSE154826_amp_batch_ID_53,B,1063,4,0.37629350893697083,13.170272812793979,53,593,0.1636876763875823
GSE154826_amp_batch_ID_53,Myeloid,4464,8,0.17921146953405018,9.13978494623656,53,593,0.10551075268817205
GSE154826_amp_batch_ID_54,NK,470,0,0.0,0.0,54,596,0.674468085106383
GSE154826_amp_batch_ID_54,CD8T,1224,250,20.424836601307188,94.28104575163398,54,596,0.8823529411764706
GSE154826_amp_batch_ID_54,CD4T,1662,356,21.41997593261131,95.78820697954272,54,596,
GSE154826_amp_batch_ID_54,B,854,13,1.5222482435597189,16.978922716627633,54,596,0.2529274004683841
GSE154826_amp_batch_ID_54,Myeloid,2977,25,0.8397715821296607,11.252939200537455,54,596,0.12663755458515283
GSE154826_amp_batch_ID_55,NK,476,0,0.0,0.0,55,596,0.6302521008403361
GSE154826_amp_batch_ID_55,CD8T,1135,182,16.0352422907489,94.97797356828194,55,596,0.8748898678414097
GSE154826_amp_batch_ID_55,CD4T,1538,318,20.676202860858258,95.05851755526658,55,596,
GSE154826_amp_batch_ID_55,B,755,10,1.3245033112582782,21.059602649006624,55,596,0.31920529801324504
GSE154826_amp_batch_ID_55,Myeloid,2720,20,0.7352941176470588,11.838235294117647,55,596,0.12058823529411765
GSE154826_amp_batch_ID_56,NK,1245,0,0.0,0.0,56,630,0.5759036144578313
GSE154826_amp_batch_ID_56,CD8T,1673,392,23.430962343096233,94.14225941422593,56,630,0.8463837417812313
GSE154826_amp_batch_ID_56,CD4T,2694,677,25.129918337045286,96.39940608760207,56,630,
GSE154826_amp_batch_ID_56,B,2138,93,4.349859681945744,24.883068288119738,56,630,0.3269410664172123
GSE154826_amp_batch_ID_56,Myeloid,6139,90,1.4660368138133246,24.90633653689526,56,630,0.22202313080306238
GSE154826_amp_batch_ID_88,NK,914,0,0.0,0.0,88,626,0.5328227571115973
GSE154826_amp_batch_ID_88,CD8T,1307,343,26.243305279265495,93.03749043611323,88,626,0.827850038255547
GSE154826_amp_batch_ID_88,CD4T,2603,649,24.932769880906648,93.73799462159047,88,626,
GSE154826_amp_batch_ID_88,B,2170,26,1.19815668202765,10.09216589861751,88,626,0.1967741935483871
GSE154826_amp_batch_ID_88,Myeloid,8325,74,0.8888888888888888,25.237237237237238,88,626,0.17069069069069068
GSE154826_amp_batch_ID_89,NK,472,0,0.0,0.0,89,626,0.5021186440677966
GSE154826_amp_batch_ID_89,CD8T,577,218,37.78162911611785,92.5476603119584,89,626,0.8613518197573656
GSE154826_amp_batch_ID_89,CD4T,1192,438,36.74496644295302,95.63758389261746,89,626,
GSE154826_amp_batch_ID_89,B,926,17,1.8358531317494602,10.043196544276457,89,626,0.22462203023758098
GSE154826_amp_batch_ID_89,Myeloid,3179,55,1.7301038062283738,28.75117961623152,89,626,0.2393834539163259
GSE154826_amp_batch_ID_90,NK,1297,0,0.0,0.0,90,695|mouse_a20,0.5104086353122591
GSE154826_amp_batch_ID_90,CD8T,1162,390,33.56282271944922,93.71772805507746,90,695|mouse_a20,0.8287435456110155
GSE154826_amp_batch_ID_90,CD4T,3021,1031,34.127772260840786,96.75604104601125,90,695|mouse_a20,
GSE154826_amp_batch_ID_90,B,2979,40,1.342732460557234,25.579053373615306,90,695|mouse_a20,0.2648539778449144
GSE154826_amp_batch_ID_90,Myeloid,3930,38,0.9669211195928753,16.361323155216283,90,695|mouse_a20,0.1984732824427481
GSE154826_amp_batch_ID_91,NK,1300,0,0.0,0.0,91,695|mouse_a20,0.5284615384615384
GSE154826_amp_batch_ID_91,CD8T,1251,383,30.61550759392486,90.40767386091127,91,695|mouse_a20,0.78017585931255
GSE154826_amp_batch_ID_91,CD4T,2878,923,32.07088255733148,96.38637943015983,91,695|mouse_a20,
