gene,p_green,p_red,drop_ratio,null_drop,resid,n_pos_green,resid_pct
Ppox,0.15706340378197997,0.14840261078667125,0.05514201772508884,0.14169971671388104,-0.0865576989887922,706,0.1608662859605646
Usp21,0.14771968854282536,0.12572998969426313,0.14886098844019155,0.14698795180722898,0.0018730366329625658,664,0.47387135007003556
Ufc1,0.3968854282536151,0.3376846444520783,0.14916340985869284,0.10829596412556045,0.04086744573313239,1784,0.6483137592931796
Dedd,0.18776418242491658,0.15802129852284438,0.1584055250471736,0.13251184834123217,0.02589367670594142,844,0.5830190712207737
Nit1,0.20311457174638486,0.18773617313637925,0.07571292634389404,0.13629791894852122,-0.060584992604627186,913,0.22195884064217217
Pfdn2,0.4402669632925473,0.4472689797320508,-0.01590402420190421,0.11421930267812008,-0.1301233268800243,1979,0.10483784074991918
Arhgap30,0.7025583982202447,0.6246994160082446,0.11082207886096904,0.06870170994300212,0.042120368917966916,3158,0.6534856157741623
Usf1,0.24805339265850945,0.23136379251116454,0.0672822893832425,0.13377578475336344,-0.06649349537012093,1115,0.20579678913910138
Alyref2,0.08097886540600667,0.06183442116111302,0.23641284857361802,0.14890109890109887,0.08751174967251915,364,0.8082103221635599
Ly9,0.4522803114571746,0.41205771212641706,0.08893289915974187,0.10939498278406291,-0.020462083624321045,2033,0.3758215709514061
Slamf7,0.07563959955506118,0.07385778083132943,0.023556691656394697,0.08988235294117611,-0.06632566128478141,340,0.20601228315914233
Cd48,0.6509454949944382,0.5989350738577809,0.07989980964090045,0.07357484620642506,0.006324963434475389,2926,0.49434328197392524
Slamf1,0.282091212458287,0.36791480590862247,-0.30424057772812135,0.10088328075709777,-0.40512385848521915,1268,0.019825449843766836
Cd84,0.6518353726362626,0.6094125729989694,0.0650820765766664,0.07482593856655287,-0.009743861989886471,2930,0.42323025536041375
Gm37065,0.07096774193548387,0.04706286499484713,0.33684144779988134,0.1421943573667712,0.19464709043311015,319,0.9467729770498868
Slamf6,0.6941045606229144,0.5972174510477499,0.13958575562191158,0.050051282051282064,0.08953447357062952,3120,0.8126279495743993
Ncstn,0.403559510567297,0.36636894537959463,0.09215633435431209,0.1127894156560091,-0.020633081301697012,1814,0.37452860683116046
Copa,0.5012235817575084,0.44331844726897973,0.11552755416153404,0.09773635153129168,0.017791202630242364,2253,0.5447688826635061
Pex19,0.16129032258064516,0.15235314324974236,0.05541051185159733,0.14102068965517242,-0.08561017780357509,725,0.16302122616097403
Dcaf8,0.41868743047830925,0.4031260735142563,0.03716700295080665,0.10873538788522848,-0.07156838493442183,1882,0.19351362999676758
Pea15a,0.19043381535038933,0.15269666781174854,0.19816411003059622,0.13705607476635548,0.061108035264240745,856,0.7223359551772438
Igsf8,0.11457174638487208,0.10254208175884576,0.1049967815417249,0.148349514563107,-0.043352733021382095,515,0.27841827389289947
Pigm,0.16440489432703004,0.1307110958433528,0.20494401107459967,0.14024357239512839,0.06470043867947128,739,0.7353733433897209
Tagln2,0.5733036707452726,0.43816557883888696,0.23571816962328412,0.06842064415987618,0.16729752546340793,2577,0.9297489494666523
Dusp23,0.060511679644048945,0.042597045688766745,0.29605249863600547,0.15367647058823516,0.1423760280477703,272,0.9052903781920052
Aim2,0.43337041156840933,0.4024390243902439,0.07137401712826155,0.09837782340862403,-0.027003806280362475,1948,0.34414395000538733
Ifi206,0.28231368186874306,0.19529371350051528,0.30823857983860037,0.10288416075650114,0.20535441908209923,1269,0.9530223036310742
Ifi214,0.12436040044493882,0.07299896942631398,0.41300470917480975,0.11806797853309488,0.2949367306417149,559,0.9802822971662536
Ifi213,0.2040044493882091,0.12212298179319821,0.40137098891992806,0.10630316248636863,0.29506782643355944,917,0.9803900441762741
Ifi209,0.42313681868743047,0.36499484713156993,0.13740702531208893,0.09299684542586774,0.04441017988622119,1902,0.6626441116259024
