gene,axis,lineage,detected,frac_ge_floor,detection_rate,mean_CPM,soup_frac
CCR7,receptor_homing,CD8T,True,0.9137931034482759,1.0,71.95942398801982,0.03041962543398587
CCR8,receptor_homing,CD8T,False,0.034482758620689655,0.4482758620689655,0.867918058900112,0.019510538447099265
CCR9,receptor_homing,CD8T,False,0.0,0.15517241379310345,0.24380600648599246,0.034382053651836504
CCR10,receptor_homing,CD8T,False,0.08620689655172414,0.6379310344827587,1.4793488137705664,0.13975461643452305
CXCR4,receptor_homing,CD8T,True,1.0,1.0,3076.2365181683076,0.024103186917468655
CXCR5,receptor_homing,CD8T,False,0.15517241379310345,0.7068965517241379,3.2521484677922765,0.06036489331205489
XCR1,receptor_homing,CD8T,False,0.0,0.10344827586206896,0.08333178592368148,0.36527001854446145
ACKR1,receptor_atypical,CD8T,False,0.1206896551724138,0.41379310344827586,20.71583611839513,0.17411287079990628
ACKR2,receptor_atypical,CD8T,False,0.0,0.06896551724137931,0.06880140863823929,0.29942056934341515
ACKR3,receptor_atypical,CD8T,False,0.034482758620689655,0.29310344827586204,0.36950386674505215,0.4333637214948404
ACKR4,receptor_atypical,CD8T,False,0.0,0.41379310344827586,0.6827784110712363,0.1314123374960705
CCRL2,receptor_atypical,CD8T,False,0.4482758620689655,0.9310344827586207,7.785950977816338,0.23305531932898393
S1PR1,retention_egress,CD8T,False,0.4482758620689655,0.9310344827586207,7.995475020491992,0.05596304996339194
S1PR5,retention_egress,CD8T,False,0.43103448275862066,0.8103448275862069,10.424272850433185,0.06011122537050546
SELL,retention_egress,CD8T,True,0.9482758620689655,1.0,99.29997123719758,0.032674859661699106
SELPLG,retention_egress,CD8T,True,0.9137931034482759,1.0,75.55662117963301,0.03497163317021564
CD69,retention_egress,CD8T,True,1.0,1.0,1481.1985220348145,0.025737708501697893
ITGAE,retention_egress,CD8T,True,0.9310344827586207,1.0,82.02343424014845,0.03457034110948379
ITGA1,retention_egress,CD8T,True,0.8620689655172413,0.9827586206896551,51.32698810397256,0.012805500437799737
KLRG1,retention_egress,CD8T,True,0.9482758620689655,1.0,81.24105802423477,0.01866151295292603
CCL3,ligand_lymphoid,CD8T,True,0.9310344827586207,1.0,293.26593770133087,0.13908661525096197
CCL3L3,ligand_lymphoid,CD8T,True,0.8103448275862069,0.9482758620689655,70.14182538302764,0.12427387017162421
CCL4,ligand_lymphoid,CD8T,True,1.0,1.0,2881.3281051046115,0.026518848909226424
CCL4L2,ligand_lymphoid,CD8T,True,0.9827586206896551,1.0,415.4408196885872,0.04201979206928401
