labelling,tissue,assay,donors,n_nk,n_bright,n_unclass,median_umi,bright_frac,stress,CCL3,CCL3_bright,CCL4,CCL4_bright,CCL5,CCL5_bright,XCL1,XCL1_bright,XCL2,XCL2_bright,reportable
clean_strict,thymus,10x 5' v1,1,2,0,0,5870.0,0.0,0.9769119639211494,0.5,,0.5,,1.0,,0.5,,0.0,,False
clean_strict,transverse colon,10x 5' v1,1,4,1,1,4185.5,0.25,2.2813043756543125,0.5,0.0,0.75,0.0,0.75,0.0,0.75,1.0,0.75,1.0,False
original,blood,10x 3' v3,2,3511,400,0,3863.75,0.08173636942806059,1.2135720009742093,0.4804332189317495,0.276933863052115,0.7025195750015414,0.23101191867258705,0.7852711728559978,0.6006076186024772,0.16075648903594403,0.5407805562047208,0.3701387204833638,0.5867025005842487,False
original,blood,10x 5' v1,2,206,24,0,4461.0,0.11555555555555555,0.5696168881631081,0.2056296296296296,0.08888888888888888,0.7001975308641976,0.4222222222222222,0.9171358024691358,0.788888888888889,0.24918518518518518,0.9,0.26790123456790127,0.6666666666666666,False
original,blood,10x 5' v2,2,267,21,0,4030.75,0.16302281368821292,1.1521296055539405,0.6625475285171103,0.35,0.9315589353612168,0.8,0.9258555133079848,0.85,0.3431558935361217,0.9,0.43441064638783267,0.925,False
original,bone marrow,10x 3' v3,2,6872,630,0,4276.75,0.06430762918052157,1.562895189801006,0.7351299168960921,0.5040128410914928,0.9370989312779545,0.7319422150882825,0.7923849510587618,0.7576243980738363,0.1535351510291366,0.5401284109149278,0.42667433687984924,0.9125200642054574,False
original,bone marrow,10x 5' v1,5,601,60,0,4302.0,0.11320754716981132,1.212909246358372,0.8170731707317073,0.7142857142857143,0.9024390243902439,0.9047619047619048,0.8378378378378378,0.8888888888888888,0.3157894736842105,0.8,0.37735849056603776,0.5,True
original,bone marrow,10x 5' v2,3,753,142,0,4549.0,0.21212121212121213,1.707079113749755,0.6363636363636364,0.42105263157894735,0.84375,0.7142857142857143,0.8645833333333334,0.8041237113402062,0.2786458333333333,0.7894736842105263,0.4401041666666667,0.8157894736842105,True
original,caecum,10x 5' v1,1,2,1,0,5145.5,0.5,2.887111925630573,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,False
original,duodenum,10x 5' v1,2,5,3,0,4190.75,0.375,2.8845811715596557,0.75,0.6666666666666666,0.875,0.6666666666666666,1.0,1.0,0.25,0.3333333333333333,0.125,0.0,False
original,ileum,10x 5' v1,1,1,1,0,3902.0,1.0,3.6995907300742954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
original,jejunal epithelium,10x 3' v3,2,60,43,0,3881.0,0.7321428571428572,1.5442312763008543,0.29464285714285715,0.3125,0.9464285714285714,0.9375,0.8660714285714286,0.8625,0.5,0.6458333333333333,0.5803571428571428,0.6958333333333333,False
original,jejunal epithelium,10x 5' v2,3,66,56,0,2947.0,1.0,1.5903527891332048,0.6,0.6,0.6,0.6,0.9142857142857143,0.88,0.8,0.84,0.8,0.8,False
