gene,quadrant_a,NK_log2FC_a,quadrant_b,NK_log2FC_b,same_quadrant,same_sign,within_fold,replicated
PPIE,unclassified,-0.1658961367532706,unclassified,-0.08997522936625663,True,True,True,True
CAP1,unclassified,-0.3465547533707286,unclassified,-0.08401148512668233,True,True,False,False
PPT1,unclassified,0.2007247924397436,unclassified,-0.2793906059310539,True,False,True,False
ZMPSTE24,unclassified,-0.019507577075694,unclassified,-0.33670405811898885,True,True,False,False
SMAP2,unclassified,0.0767245324329814,unclassified,-0.008044637132532093,True,False,False,False
NFYC,unclassified,0.0515972994878393,unclassified,-0.16482863671120054,True,False,False,False
PPCS,unclassified,0.0267905286576939,unclassified,0.7228509805212884,True,True,False,False
PPIH,unclassified,-0.0203827076341483,unclassified,-0.4831133238190815,True,True,False,False
YBX1,unclassified,0.0778084615593635,unclassified,-0.07670894328043687,True,False,True,False
P3H1,unclassified,0.1990434697263869,unclassified,-0.004775102093337736,True,False,False,False
SVBP,unclassified,0.2684868228316692,unclassified,0.3668990885417945,True,True,True,True
EBNA1BP2,unclassified,0.2874078908558856,unclassified,-0.061759062970653894,True,False,False,False
ELOVL1,unclassified,-0.156170682520053,unclassified,-0.21612998266441757,True,True,True,True
MED8,unclassified,0.1004904797221854,unclassified,-0.31827977176291994,True,False,False,False
ATP6V0B,unclassified,0.1763470573270458,unclassified,-0.1454114806175292,True,False,True,False
DMAP1,unclassified,-0.0767604487842367,unclassified,-0.09039776965209446,True,True,True,True
ERI3,unclassified,0.1076436816745458,unclassified,-0.07558877399700883,True,False,True,False
RPS8,unclassified,0.2229890424272927,unclassified,0.11394276913483209,True,True,True,True
PLK3,unclassified,0.7654707720972553,unclassified,0.2123767779456953,True,True,False,False
UROD,unclassified,0.0676488079813796,unclassified,-0.5538382271551634,True,False,False,False
PRDX1,Q1,0.5621663637486921,unclassified,0.2352514247958046,False,True,False,False
AKR1A1,unclassified,0.4147286320693539,unclassified,-0.09073421771376124,True,False,False,False
NASP,unclassified,0.0322704800392174,unclassified,-0.18737058025421183,True,False,False,False
GPBP1L1,unclassified,0.0114347610975761,unclassified,-0.32942747784309057,True,False,False,False
UQCRH,unclassified,0.2535812700811239,unclassified,0.07416577372102096,True,True,False,False
MKNK1,unclassified,0.03612732124001,unclassified,0.3904320559443594,True,True,False,False
EFCAB14,unclassified,-0.2148973013494018,unclassified,-0.6023674848267384,True,True,False,False
CMPK1,unclassified,-0.0937863141134542,unclassified,-0.10502759519956278,True,True,True,True
CDKN2C,Q4,0.1750285753868288,unclassified,0.35870035766081165,False,True,False,False
RNF11,unclassified,-0.0069525482103623,unclassified,0.08859833704848226,True,False,False,False
EPS15,unclassified,0.1098477965049689,unclassified,-0.15372953069899786,True,False,True,False
NRDC,unclassified,0.1978515035851347,unclassified,-0.03569931769181153,True,False,False,False
TXNDC12,unclassified,-0.1064930260076614,unclassified,0.19078237461899317,True,False,True,False
BTF3L4,unclassified,-0.0103362896866155,unclassified,0.5479806267214401,True,False,False,False
PRPF38A,unclassified,-0.0753748240447742,unclassified,-0.06447959713471525,True,True,True,True
ZCCHC11,unclassified,0.1761589205205007,unclassified,-0.1309842485076591,True,False,True,False
ECHDC2,unclassified,0.0707127358418645,unclassified,-0.43452642832083127,True,False,False,False
SCP2,unclassified,-0.3456330265090663,unclassified,-0.0766863664460003,True,True,False,False
C1orf123,unclassified,-0.1389080557726815,unclassified,-0.42819940141842977,True,True,False,False
MAGOH,unclassified,-0.0886428525820576,unclassified,0.18096426778457766,True,False,False,False
HSPB11,unclassified,-0.0381660796108953,unclassified,-0.13263212421403778,True,True,False,False
TMEM59,unclassified,0.0344146665429098,unclassified,0.028683387192361263,True,True,True,True
MRPL37,unclassified,0.2695806898823397,unclassified,0.04003366303370022,True,True,False,False
SSBP3,unclassified,-0.2543963168094896,unclassified,-0.6133880468005714,True,True,False,False
JUN,unclassified,1.1853035186354477,unclassified,0.9224821696088592,True,True,True,True
TM2D1,unclassified,-0.049446072160799,unclassified,-0.3736099586013769,True,True,False,False
USP1,unclassified,-0.1162431485670225,unclassified,-0.16621047806858508,True,True,True,True
ITGB3BP,unclassified,0.211758650213166,unclassified,0.42995027862820284,True,True,False,False
PGM1,unclassified,-0.081070165611029,unclassified,0.06001066446028124,True,False,True,False
JAK1,unclassified,-0.3799241038951275,unclassified,0.11018348271742832,True,False,False,False
LEPROT,unclassified,0.1448817933262516,unclassified,-0.4213514195655542,True,False,False,False
PDE4B,unclassified,0.7450079466757756,unclassified,1.0744875599746948,True,True,True,True
MIER1,unclassified,-0.2907137382920785,unclassified,-0.2624112056590359,True,True,True,True
SERBP1,unclassified,-0.1255098552629518,unclassified,0.29547813188907196,True,False,False,False
GADD45A,Q3,1.030222672873241,unclassified,0.5793988166944578,False,True,True,False
SRSF11,unclassified,0.064888868416335,unclassified,-0.07528956493639656,True,False,True,False
ZRANB2,unclassified,0.2844803411722325,unclassified,-0.3679011812395607,True,False,True,False
ACADM,unclassified,0.2051387601725245,unclassified,0.3665642416082331,True,True,True,True
RABGGTB,unclassified,0.0253582543357098,unclassified,-0.3515857889601665,True,False,False,False
PIGK,unclassified,-0.2222665912220967,unclassified,0.23821837551713104,True,False,True,False
USP33,unclassified,-0.0403899705598946,unclassified,0.0916000956704124,True,False,False,False
FUBP1,unclassified,0.081735769354623,unclassified,0.23053030119734877,True,True,False,False
IFI44,unclassified,0.4586470705639069,unclassified,0.3955161699305031,True,True,True,True
PRKACB,unclassified,-0.3262471384185378,unclassified,-0.08168666770836956,True,True,False,False
RPF1,unclassified,-0.181994611650603,unclassified,-0.44494896133125617,True,True,False,False
GNG5,unclassified,0.0650127808361829,unclassified,-0.07979700800481666,True,False,True,False
CTBS,unclassified,0.0049046333700527,unclassified,0.7366443321100551,True,True,False,False
C1orf52,unclassified,-0.1387283095850416,unclassified,0.24072940356351152,True,False,True,False
ODF2L,unclassified,0.122391992035759,unclassified,-0.10439878191268552,True,False,True,False
SH3GLB1,unclassified,-0.0340747174606031,unclassified,0.0799936718622726,True,False,False,False
SEP15,unclassified,-0.0814983331948819,unclassified,0.012682256460322281,True,False,False,False
LMO4,unclassified,0.2154659003718106,unclassified,-0.11931325697992122,True,False,True,False
PKN2,unclassified,0.0100346492628799,unclassified,-0.13576059576444038,True,False,False,False
GTF2B,unclassified,-0.0628906509143961,unclassified,-0.11916654163811796,True,True,True,True
GBP3,unclassified,-0.0204135967304692,unclassified,-0.522990656807467,True,True,False,False
GBP1,Q4,-0.0488655148245749,unclassified,0.2858622872534435,False,False,False,False
GBP2,Q4,-0.1450840217925414,unclassified,0.22532437974297737,False,False,True,False
GBP4,unclassified,-0.4117139866820333,unclassified,0.18925180814896522,True,False,False,False
GBP5,unclassified,0.0525441371972328,unclassified,-0.1067905990011203,True,False,False,False
ZNF326,unclassified,0.152036586910846,unclassified,0.7981857471699921,True,True,False,False
ZNF644,unclassified,0.114358456905582,unclassified,0.42603572783842153,True,True,False,False
GLMN,unclassified,-0.2344001581794479,unclassified,0.5107270268346263,True,False,False,False
RPAP2,unclassified,0.2900283559641552,unclassified,0.2617031070714742,True,True,True,True
RPL5,unclassified,0.0263768486310458,unclassified,0.020759945598327945,True,True,True,True
MTF2,unclassified,-0.0842102672200355,unclassified,-0.1459807104476723,True,True,True,True
TMED5,unclassified,-0.083221772118925,unclassified,0.0418801539993724,True,False,True,False
DR1,unclassified,-0.1759716773909443,unclassified,0.18835343829936776,True,False,True,False
DNTTIP2,unclassified,-0.2488289180074184,unclassified,0.00907886391130601,True,False,False,False
GCLM,unclassified,0.0094620601861103,unclassified,0.057796443457102865,True,True,False,False
SLC35A3,unclassified,-0.0337911818677993,unclassified,-0.03518150985709615,True,True,True,True
MFSD14A,unclassified,-0.2277614197152933,unclassified,0.5079584696040181,True,False,False,False
TRMT13,unclassified,-0.0560568988220526,unclassified,-0.4533392263385139,True,True,False,False
RTCA,unclassified,0.0667122280985958,unclassified,0.04839726050234956,True,True,True,True
SLC30A7,unclassified,0.0924962909987197,unclassified,0.18774481587805514,True,True,False,False
VAV3,unclassified,-0.3386970524109672,unclassified,0.034228931625783804,True,False,False,False
HENMT1,unclassified,-0.7040563405742839,unclassified,-0.760386172464886,True,True,True,True
PRPF38B,unclassified,-0.1624421475477778,unclassified,-0.10801897305557087,True,True,True,True
STXBP3,unclassified,-0.1147535675130195,unclassified,-0.3873957999856451,True,True,False,False
TMEM167B,unclassified,-0.1606116711724264,unclassified,-0.548999900674946,True,True,False,False
SARS,unclassified,-0.2645966151589806,unclassified,-0.14245262673239487,True,True,True,True
PSMA5,unclassified,-0.0936057032143382,unclassified,0.16885840163391583,True,False,True,False
GNAI3,unclassified,-0.1808473364430068,unclassified,0.27987834736843464,True,False,True,False
AHCYL1,unclassified,0.3313792940995788,unclassified,0.5140829082754372,True,True,True,True
LAMTOR5,unclassified,0.1623785621561151,unclassified,-0.2477779958813536,True,False,True,False
CD53,unclassified,-0.4779312439183001,unclassified,-0.1280157529347874,True,True,False,False
LRIF1,unclassified,0.035719125708938,unclassified,-0.07724937749463624,True,False,False,False
DRAM2,unclassified,0.1118586461234521,unclassified,0.10732427147601135,True,True,True,True
DENND2D,unclassified,-0.4734289300640393,unclassified,-0.32840944340172706,True,True,True,True
ATP5F1,unclassified,-0.198337924334743,unclassified,-0.2233773182387085,True,True,True,True
C1orf162,Q3,-0.7695417449009293,unclassified,-0.05570713165581742,False,True,False,False
RAP1A,unclassified,-0.113806289193939,unclassified,0.21922749602029748,True,False,True,False
CAPZA1,unclassified,-0.0160016958263207,unclassified,0.0039884469119351685,True,False,False,False
RHOC,unclassified,-0.4349733373774216,unclassified,-0.0821873688472702,True,True,False,False
RSBN1,unclassified,0.0233481784224293,unclassified,-0.1803528977356653,True,False,False,False
PTPN22,unclassified,-0.125981440208083,unclassified,-0.021770385055792152,True,True,False,False
HIPK1,unclassified,-0.2265529852023992,unclassified,0.2470720244144532,True,False,True,False
TRIM33,unclassified,-0.0199586086930409,unclassified,0.2853147143435341,True,False,False,False
BCAS2,unclassified,0.2447283348171719,unclassified,0.05758809263964587,True,True,False,False
CSDE1,unclassified,0.0768118826718337,unclassified,-0.10079279341841492,True,False,True,False
SIKE1,unclassified,0.132169256221037,unclassified,-0.21039632421950713,True,False,True,False
ATP1A1,unclassified,0.4092932697203376,unclassified,-0.22997884971065286,True,False,True,False
CD58,unclassified,-0.2210716895820641,unclassified,0.3808078932875866,True,False,True,False
MAN1A2,unclassified,0.2301645370979539,unclassified,-0.2006245300303211,True,False,True,False
FAM46C,unclassified,0.6780602114254733,unclassified,0.40179983152008264,True,True,True,True
SEC22B,unclassified,0.2352718623985155,unclassified,0.0024880486172914815,True,True,False,False
CH17-373J23.1,unclassified,0.6978875840025065,unclassified,-0.0058178391650897665,True,False,False,False
RNF115,unclassified,-0.3240057029083064,unclassified,-0.32632204761870615,True,True,True,True
RBM8A,unclassified,0.040003213032095,unclassified,-0.03443758815811524,True,False,True,False
LIX1L,unclassified,-0.0067627304019369,unclassified,0.008344763700313375,True,False,True,False
POLR3GL,unclassified,-0.4299869064645569,unclassified,-0.03081273903458883,True,True,False,False
TXNIP,unclassified,-0.4982786470603019,unclassified,-0.7668802494053572,True,True,True,True
CH17-189H20.1,unclassified,-0.2408239231133997,unclassified,-0.39542835568101886,True,True,True,True
LINC00869,unclassified,-0.200976433846815,unclassified,-0.46220152682911286,True,True,False,False
SF3B4,unclassified,-0.1000156039988577,unclassified,-0.3983927575843314,True,True,False,False
ANP32E,unclassified,0.2202048370740576,unclassified,-0.2649204986078104,True,False,True,False
APH1A,unclassified,-0.0201803204610863,unclassified,-0.029644369750843808,True,True,True,True
MRPS21,unclassified,0.2717267454626731,unclassified,0.17097421422579734,True,True,True,True
RPRD2,unclassified,0.2463552877030741,unclassified,-0.13518901630734784,True,False,True,False
MCL1,unclassified,0.4863791806934973,unclassified,0.46326015316433056,True,True,True,True
ENSA,unclassified,-0.0046670033255767,unclassified,-0.2164959214516492,True,True,False,False
CTSS,unclassified,-0.2830290380977798,unclassified,-0.1951467509374466,True,True,True,True
CERS2,unclassified,0.0160586823668655,unclassified,-0.4541763400512669,True,False,False,False
C1orf56,unclassified,-0.3151843647514719,unclassified,-0.4886645777379646,True,True,True,True
CDC42SE1,unclassified,-0.2824733476083723,unclassified,-0.06357215491960246,True,True,False,False
SCNM1,unclassified,-0.0562775818789021,unclassified,-0.013647504973722602,True,True,False,False
VPS72,unclassified,-0.0045924377338436,unclassified,-0.19994598920744328,True,True,False,False
PSMD4,unclassified,-0.0085414683896648,unclassified,-0.4145751660438906,True,True,False,False
PI4KB,unclassified,-0.0992787935908641,unclassified,-1.0396046293521966,True,True,False,False
PSMB4,unclassified,0.1624486385279538,unclassified,-0.008225960405126234,True,False,False,False
POGZ,unclassified,0.1340059862511992,unclassified,-0.44789264766508785,True,False,False,False
MRPL9,unclassified,0.0831140675205678,unclassified,-0.15754594177042983,True,False,True,False
THEM4,unclassified,0.1925919617590066,unclassified,-0.6724872381233562,True,False,False,False
S100A10,Q4,0.1585769040901139,unclassified,0.2305554657617763,False,True,True,False
S100A11,unclassified,0.3937813177870352,unclassified,-0.07490841612273602,True,False,False,False
S100A9,unclassified,-0.193552927072421,unclassified,-0.2346790991724815,True,True,True,True
S100A8,Q3,-0.6730355507925472,unclassified,-0.7789732334046047,False,True,True,False
S100A6,Q4,0.1040724537637221,unclassified,-0.030584310676555655,False,False,False,False
S100A4,Q3,-0.5965077421095173,unclassified,-0.37855745863468654,False,True,True,False
S100A13,unclassified,0.7971036833376476,unclassified,0.8743553309050339,True,True,True,True
CHTOP,unclassified,0.0647591793428868,unclassified,-0.2397334608599028,True,False,False,False
SNAPIN,unclassified,0.086767375662044,unclassified,-0.2476182853511393,True,False,False,False
ILF2,unclassified,0.2537567576595245,unclassified,-0.17893049070718714,True,False,True,False
SLC27A3,unclassified,-0.4498935629987917,unclassified,0.1869453058149653,True,False,False,False
GATAD2B,unclassified,0.3491083385819475,unclassified,-0.2797380418332221,True,False,True,False
SLC39A1,unclassified,0.2334674725120485,unclassified,-0.02275915650668465,True,False,False,False
JTB,unclassified,0.1426729478906334,unclassified,-0.06493516999840104,True,False,False,False
RPS27,unclassified,0.0779006636735017,unclassified,0.061486969348512964,True,True,True,True
TPM3,unclassified,-0.179781254320276,unclassified,-0.11099337795399576,True,True,True,True
C1orf43,unclassified,0.4031156308617091,unclassified,-0.06762738034481906,True,False,False,False
HAX1,unclassified,0.182568867961223,unclassified,-0.28218143654168465,True,False,True,False
ADAR,unclassified,0.1541803075591522,unclassified,0.04632842198478391,True,True,False,False
PMVK,unclassified,0.4112249238006595,unclassified,0.3180724328240312,True,True,True,True
PBXIP1,unclassified,0.0923770807442916,unclassified,-0.16900621798914417,True,False,True,False
CKS1B,unclassified,0.5449774424703419,unclassified,0.7305692438703194,True,True,True,True
FLAD1,unclassified,-0.1221698391558197,unclassified,0.12235908019410077,True,False,True,False
SLC50A1,unclassified,0.2229874917548956,unclassified,0.630062179418223,True,True,False,False
DPM3,unclassified,0.1389588603776464,unclassified,0.3940253917560557,True,True,False,False
KRTCAP2,unclassified,0.1746884961258117,unclassified,-0.13138471435368662,True,False,True,False
MUC1,unclassified,1.0060106000486937,unclassified,1.231860743081284,True,True,True,True
MTX1,unclassified,0.0255343772902508,unclassified,-0.07783719903518257,True,False,False,False
SCAMP3,unclassified,0.0066937687296892,unclassified,-0.5512297597080327,True,False,False,False
FDPS,unclassified,-0.0901529054446107,unclassified,-0.40775272759854536,True,True,False,False
ASH1L,unclassified,0.2286962331993944,unclassified,0.21811374900293054,True,True,True,True
DAP3,unclassified,0.0810891556606247,unclassified,-0.3143916121988841,True,False,False,False
GON4L,unclassified,0.1454509378904502,unclassified,-0.21628170651934384,True,False,True,False
RIT1,unclassified,0.2093151970932087,unclassified,-0.43654442363472895,True,False,False,False
KIAA0907,unclassified,0.4180999298523813,unclassified,0.3871935455104503,True,True,True,True
ARHGEF2,unclassified,0.2034539172998083,unclassified,0.2134151941203286,True,True,True,True
SSR2,unclassified,-0.1246060787650138,unclassified,0.09243407720562824,True,False,True,False
LAMTOR2,unclassified,0.1954745615552855,unclassified,0.11781244737868761,True,True,True,True
