gene,p_green,p_red,n_pos_green,drop,d_null,resid
Smap1,0.412987012987013,0.3476923076923077,159,0.1581035316884374,0.08855345911949702,0.06955007256894039
Sdhaf4,0.13506493506493505,0.14923076923076922,52,-0.10488165680473376,0.10692307692307688,-0.21180473372781064
Lmbrd1,0.2961038961038961,0.17692307692307693,114,0.40249662618083665,0.09614035087719319,0.30635627530364345
Phf3,0.6285714285714286,0.6030769230769231,242,0.04055944055944056,0.08016528925619823,-0.03960584869675767
Ptp4a1,0.35064935064935066,0.26,135,0.2585185185185185,0.0974814814814817,0.16103703703703678
Prim2,0.12727272727272726,0.052307692307692305,49,0.589010989010989,0.11591836734693858,0.4730926216640504
Zfp451,0.2649350649350649,0.24,102,0.09411764705882349,0.12196078431372522,-0.02784313725490173
Ccdc115,0.12467532467532468,0.15846153846153846,48,-0.2709935897435897,0.10333333333333357,-0.3743269230769233
Imp4,0.19480519480519481,0.17076923076923076,75,0.1233846153846155,0.12266666666666676,0.0007179487179487382
Ptpn18,0.9116883116883117,0.8261538461538461,351,0.0938198553583169,0.0221082621082621,0.0717115932500548
Fam168b,0.2571428571428571,0.19692307692307692,99,0.2341880341880341,0.09777777777777753,0.13641025641025656
Plekhb2,0.15324675324675324,0.1476923076923077,59,0.03624511082138189,0.11050847457627105,-0.07426336375488916
Uggt1,0.22077922077922077,0.19846153846153847,85,0.10108597285067866,0.11717647058823508,-0.016090497737556414
Neurl3,0.8493506493506493,0.74,327,0.12874617737003055,0.03633027522935748,0.09241590214067308
Arid5a,0.638961038961039,0.5307692307692308,246,0.1693245778611632,0.07008130081300817,0.09924327704815503
Kansl3,0.2831168831168831,0.2230769230769231,109,0.21206774876499637,0.11119266055045879,0.10087508821453758
Lman2l,0.13246753246753246,0.1,51,0.24509803921568618,0.11137254901960786,0.13372549019607832
Cnnm3,0.05714285714285714,0.05076923076923077,22,0.11153846153846153,0.11272727272727275,-0.0011888111888112146
Ankrd39,0.0987012987012987,0.14461538461538462,38,-0.4651821862348178,0.11789473684210529,-0.583076923076923
Sema4c,0.14285714285714285,0.1646153846153846,55,-0.1523076923076923,0.09672727272727269,-0.249034965034965
Cox5b,0.7324675324675325,0.703076923076923,282,0.04012547735951999,0.0553191489361702,-0.015193671576650213
Actr1b,0.18441558441558442,0.13384615384615384,71,0.27421451787648976,0.10591549295774667,0.1682990249187431
Zap70,0.34285714285714286,0.32,132,0.06666666666666665,0.11060606060606074,-0.043939393939394084
Tmem131,0.15324675324675324,0.15692307692307692,59,-0.023989569752281593,0.10644067796610165,-0.13043024771838324
Inpp4a,0.07532467532467532,0.02,29,0.7344827586206896,0.10482758620689643,0.6296551724137931
Coa5,0.14545454545454545,0.16615384615384615,56,-0.14230769230769236,0.11500000000000002,-0.25730769230769235
Unc50,0.2779220779220779,0.19846153846153847,107,0.28590941768511857,0.11738317757009331,0.16852624011502526
Mgat4a,0.34285714285714286,0.3076923076923077,132,0.10256410256410252,0.09393939393939403,0.008624708624708488
Tsga10,0.05194805194805195,0.04153846153846154,20,0.20038461538461544,0.11199999999999989,0.08838461538461555
Mitd1,0.2961038961038961,0.36153846153846153,114,-0.22098515519568154,0.08350877192982468,-0.3044939271255062
Mrpl30,0.5272727272727272,0.5323076923076923,203,-0.009549071618037133,0.07763546798029568,-0.0871845395983328
Txndc9,0.36623376623376624,0.32461538461538464,141,0.11363884342607743,0.10695035460992912,0.006688488816148308
Eif5b,0.5454545454545454,0.6,210,-0.10000000000000005,0.06495238095238084,-0.1649523809523809
Aff3,0.09350649350649351,0.0876923076923077,36,0.062179487179487195,0.10555555555555561,-0.043376068376068416
Pdcl3,0.3038961038961039,0.24461538461538462,117,0.19506903353057195,0.1066666666666666,0.08840236686390535
Rpl31,0.8519480519480519,0.8753846153846154,328,-0.02750938086303951,0.02865853658536589,-0.0561679174484054
Cnot11,0.14285714285714285,0.10923076923076923,55,0.23538461538461536,0.11927272727272714,0.11611188811188822
Rnf149,0.3038961038961039,0.3646153846153846,117,-0.19980276134122293,0.09743589743589737,-0.2972386587771203
Map4k4,0.625974025974026,0.5415384615384615,241,0.13488669007341206,0.08265560165975105,0.052231088413661
Il18r1,0.6337662337662338,0.5738461538461539,244,0.09454602774274896,0.05311475409836076,0.04143127364438821
Il18rap,0.6935064935064935,0.56,267,0.1925093632958801,0.061423220973782826,0.13108614232209725
Mrps9,0.18181818181818182,0.19846153846153847,70,-0.09153846153846154,0.12342857142857151,-0.21496703296703307
Tgfbrap1,0.05974025974025974,0.06,23,-0.0043478260869565,0.11999999999999994,-0.12434782608695644
Fhl2,0.2805194805194805,0.2753846153846154,108,0.018304843304843207,0.09592592592592604,-0.07762108262108283
Nck2,0.07012987012987013,0.026153846153846153,27,0.6270655270655271,0.10074074074074076,0.5263247863247863
Uxs1,0.08051948051948052,0.1,31,-0.24193548387096783,0.11870967741935483,-0.36064516129032265
Tpp2,0.5116883116883116,0.4153846153846154,197,0.18820773135493934,0.08609137055837578,0.10211636079656357
Tex30,0.11168831168831168,0.06923076923076923,43,0.3801431127012522,0.13209302325581396,0.24805008944543822
Ercc5,0.07792207792207792,0.05384615384615385,30,0.30897435897435893,0.11999999999999994,0.188974358974359
Wdr75,0.08051948051948052,0.10923076923076923,31,-0.356575682382134,0.11741935483870965,-0.47399503722084363
Slc39a10,0.09350649350649351,0.13076923076923078,36,-0.39850427350427353,0.09777777777777782,-0.4962820512820514
Nabp1,0.8779220779220779,0.7938461538461539,338,0.0957669549385525,0.03159763313609466,0.06416932180245784
Stat4,0.7194805194805195,0.6169230769230769,277,0.1425437378505971,0.0581949458483754,0.0843487920022217
Stat1,0.7012987012987013,0.7861538461538462,270,-0.12099715099715105,0.03629629629629637,-0.1572934472934474
Gls,0.6077922077922078,0.47846153846153844,234,0.21278763971071665,0.07418803418803416,0.1385996055226825
Nab1,0.44935064935064933,0.3384615384615385,173,0.2467763450422409,0.0841618497109824,0.16261449533125852
Nemp2,0.08311688311688312,0.06615384615384616,32,0.20408653846153837,0.12625000000000006,0.07783653846153832
Mfsd6,0.22337662337662337,0.18,86,0.1941860465116279,0.08697674418604628,0.10720930232558162
Inpp1,0.32987012987012987,0.1753846153846154,127,0.4683222289521502,0.09322834645669309,0.3750938824954571
Hibch,0.06493506493506493,0.06923076923076923,25,-0.06615384615384631,0.12960000000000005,-0.19575384615384636
Ormdl1,0.17922077922077922,0.14153846153846153,69,0.21025641025641031,0.12405797101449297,0.08619843924191735
Asnsd1,0.13506493506493505,0.14461538461538462,52,-0.07071005917159774,0.11076923076923072,-0.18147928994082846
Stk17b,0.9142857142857143,0.8015384615384615,352,0.12331730769230767,0.026477272727272877,0.0968400349650348
Gtf3c3,0.08311688311688312,0.06923076923076923,32,0.16706730769230765,0.12375000000000001,0.04331730769230764
Ankrd44,0.7506493506493507,0.5938461538461538,289,0.2088900718658505,0.050380622837370444,0.15850944902848008
Sf3b1,0.8597402597402597,0.7953846153846154,331,0.07485475249825702,0.043867069486404946,0.03098768301185207
Coq10b,0.43896103896103894,0.30615384615384617,169,0.3025489303595812,0.07597633136094688,0.2265725989986343
Hspd1,0.4,0.49846153846153846,154,-0.24615384615384608,0.07766233766233768,-0.32381618381618377
Hspe1,0.5246753246753246,0.66,202,-0.2579207920792081,0.07445544554455438,-0.33237623762376245
Mob4,0.4779220779220779,0.3415384615384615,184,0.28536789297658866,0.1067391304347826,0.17862876254180604
Tyw5,0.05454545454545454,0.04461538461538461,21,0.18205128205128207,0.11999999999999994,0.06205128205128213
Maip1,0.09350649350649351,0.08307692307692308,36,0.11153846153846159,0.12333333333333334,-0.01179487179487175
Kctd18,0.09350649350649351,0.08153846153846153,36,0.1279914529914531,0.12111111111111121,0.006880341880341881
Bzw1,0.6649350649350649,0.5753846153846154,256,0.13467548076923078,0.061718750000000086,0.07295673076923069
Clk1,0.8363636363636363,0.7184615384615385,322,0.14096989966555176,0.03751552795031045,0.10345437171524131
Ppil3,0.14545454545454545,0.13384615384615384,56,0.07980769230769233,0.10214285714285708,-0.022335164835164747
Orc2,0.05454545454545454,0.06769230769230769,21,-0.24102564102564106,0.1028571428571428,-0.34388278388278387
Fam126b,0.14545454545454545,0.11538461538461539,56,0.20673076923076913,0.09214285714285723,0.1145879120879119
Ndufb3,0.43896103896103894,0.44769230769230767,169,-0.01989076012744651,0.09727810650887558,-0.11716886663632209
Cflar,0.5012987012987012,0.4753846153846154,193,0.05169390195296916,0.07689119170984446,-0.025197289756875296
Casp8,0.5194805194805194,0.4,200,0.22999999999999987,0.08239999999999988,0.1476
Trak2,0.12727272727272726,0.07692307692307693,49,0.39560439560439553,0.11836734693877536,0.27723704866562016
Stradb,0.06493506493506493,0.033846153846153845,25,0.4787692307692307,0.11519999999999994,0.36356923076923076
Sumo1,0.6207792207792208,0.47384615384615386,239,0.23669134213067264,0.07966527196652715,0.1570260701641455
Nop58,0.22857142857142856,0.3169230769230769,88,-0.38653846153846155,0.09954545454545465,-0.4860839160839162
Bmpr2,0.07012987012987013,0.05846153846153846,27,0.16638176638176636,0.11407407407407419,0.052307692307692166
Fam117b,0.11688311688311688,0.08615384615384615,45,0.26290598290598294,0.11822222222222242,0.14468376068376052
Wdr12,0.05974025974025974,0.09846153846153846,23,-0.6481605351170568,0.12521739130434786,-0.7733779264214047
Nbeal1,0.18961038961038962,0.2153846153846154,73,-0.13593256059009484,0.10027397260273956,-0.2362065331928344
Cyp20a1,0.06233766233766234,0.04461538461538461,24,0.28429487179487184,0.11166666666666675,0.1726282051282051
Abi2,0.06493506493506493,0.08,25,-0.23200000000000015,0.11840000000000002,-0.35040000000000016
Raph1,0.22337662337662337,0.25076923076923074,86,-0.12262969588550977,0.0986046511627906,-0.22123434704830036
Cd28,0.32987012987012987,0.4015384615384615,127,-0.21726226529376128,0.07181102362204712,-0.2890732889158084
Ctla4,0.1038961038961039,0.23076923076923078,40,-1.221153846153846,0.08999999999999982,-1.311153846153846
Icos,0.33766233766233766,0.32,130,0.05230769230769229,0.08369230769230754,-0.03138461538461525
Ino80d,0.36623376623376624,0.2723076923076923,141,0.25646481178396074,0.09560283687943273,0.16086197490452803
Gm20342,0.11168831168831168,0.09230769230769231,43,0.17352415026833623,0.12372093023255809,0.04980322003577814
Ndufs1,0.19220779220779222,0.13538461538461538,74,0.2956340956340957,0.12486486486486496,0.17076923076923073
Eef1b2,0.9194805194805195,0.916923076923077,354,0.002781399391568823,0.016723163841807668,-0.013941764450238845
Klf7,0.2753246753246753,0.18461538461538463,106,0.3294629898403482,0.08754716981132064,0.24191582002902756
Creb1,0.2727272727272727,0.3153846153846154,105,-0.15641025641025647,0.09828571428571409,-0.25469597069597055
Ccnyl1,0.07792207792207792,0.046153846153846156,30,0.40769230769230763,0.11333333333333348,0.2943589743589742
