tissue,assay,donor,n_nk,n_nonnk,IL15_nonNK,IL15RA_nonNK,IL2RB_NK,IL2RG_NK,CISH_NK,BCL2_NK,SOCS1_NK,PIM1_NK,CCL3_NK,CCL4_NK,CCL5_NK,XCL1_NK
jejunal epithelium,10x 5' v2,637C,5,1891,0.0375462718138551,0.02538339502908514,0.6,0.8,0.2,0.0,0.4,0.2,0.6,0.6,1.0,0.8
jejunal epithelium,10x 5' v2,640C,35,8073,0.07630372847764152,0.06688963210702341,0.8857142857142857,0.8,0.11428571428571428,0.17142857142857143,0.34285714285714286,0.4857142857142857,0.6857142857142857,0.8857142857142857,0.9142857142857143,0.6857142857142857
skeletal muscle tissue,10x 5' v1,A29,2,6,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0
skeletal muscle tissue,10x 5' v1,A31,0,2,0.0,0.0,,,,,,,,,,
skeletal muscle tissue,10x 5' v1,A35,127,409,0.04156479217603912,0.034229828850855744,0.952755905511811,0.9448818897637795,0.14960629921259844,0.14960629921259844,0.09448818897637795,0.1889763779527559,0.6535433070866141,0.952755905511811,0.8976377952755905,0.5984251968503937
skeletal muscle tissue,10x 5' v1,A36,0,1,0.0,0.0,,,,,,,,,,
skeletal muscle tissue,10x 5' v1,A37,5,11,0.0,0.0,0.8,1.0,0.2,0.2,0.4,0.8,0.6,1.0,0.8,0.2
caecum,10x 5' v1,A29,2,69,0.043478260869565216,0.11594202898550725,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
caecum,10x 5' v1,A31,0,65,0.03076923076923077,0.015384615384615385,,,,,,,,,,
caecum,10x 5' v1,A35,0,56,0.0,0.05357142857142857,,,,,,,,,,
caecum,10x 5' v1,A36,0,10,0.0,0.2,,,,,,,,,,
transverse colon,10x 5' v1,A29,4,125,0.016,0.048,1.0,0.75,0.5,0.5,0.25,0.75,0.5,0.75,0.75,0.75
sigmoid colon,10x 5' v1,A29,1,72,0.013888888888888888,0.041666666666666664,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
