lineage,hours,colour,n_cells,gene,module,detection,band
CD4T,72,Green,109,Ccl4,regulatory,0.12844036697247707,MEASURABLE
CD4T,72,Green,109,Ccl5,regulatory,0.8256880733944955,MEASURABLE
CD4T,72,Green,109,Xcl1,regulatory,0.3669724770642202,MEASURABLE
CD4T,72,Green,109,Xcl2,regulatory,,ABSENT
CD4T,72,Green,109,Flt3l,regulatory,0.1926605504587156,MEASURABLE
CD4T,72,Green,109,Prf1,killing,0.1651376146788991,MEASURABLE
CD4T,72,Green,109,Gzma,killing,0.11926605504587157,MEASURABLE
CD4T,72,Green,109,Gzmb,killing,0.43119266055045874,MEASURABLE
CD4T,72,Green,109,Gzmk,killing,0.045871559633027525,FLOOR
CD4T,72,Green,109,Nkg7,killing,0.8623853211009175,CEILING
CD4T,72,Red,151,Ccl3,regulatory,0.026490066225165563,FLOOR
CD4T,72,Red,151,Ccl4,regulatory,0.06622516556291391,MEASURABLE
CD4T,72,Red,151,Ccl5,regulatory,0.7417218543046358,MEASURABLE
CD4T,72,Red,151,Xcl1,regulatory,0.5165562913907285,MEASURABLE
CD4T,72,Red,151,Xcl2,regulatory,,ABSENT
CD4T,72,Red,151,Flt3l,regulatory,0.18543046357615894,MEASURABLE
CD4T,72,Red,151,Prf1,killing,0.271523178807947,MEASURABLE
CD4T,72,Red,151,Gzma,killing,0.11258278145695365,MEASURABLE
CD4T,72,Red,151,Gzmb,killing,0.4966887417218543,MEASURABLE
CD4T,72,Red,151,Gzmk,killing,0.0,FLOOR
CD4T,72,Red,151,Nkg7,killing,0.8543046357615894,CEILING
Treg,24,Green,61,Ccl3,regulatory,0.03278688524590164,FLOOR
Treg,24,Green,61,Ccl4,regulatory,0.14754098360655737,MEASURABLE
Treg,24,Green,61,Ccl5,regulatory,0.29508196721311475,MEASURABLE
Treg,24,Green,61,Xcl1,regulatory,0.01639344262295082,FLOOR
Treg,24,Green,61,Xcl2,regulatory,,ABSENT
Treg,24,Green,61,Flt3l,regulatory,0.14754098360655737,MEASURABLE
Treg,24,Green,61,Prf1,killing,0.14754098360655737,MEASURABLE
Treg,24,Green,61,Gzma,killing,0.06557377049180328,MEASURABLE
Treg,24,Green,61,Gzmb,killing,0.7377049180327869,MEASURABLE
Treg,24,Green,61,Gzmk,killing,0.0,FLOOR
Treg,24,Green,61,Nkg7,killing,0.26229508196721313,MEASURABLE
Treg,24,Red,848,Ccl3,regulatory,0.13797169811320756,MEASURABLE
Treg,24,Red,848,Ccl4,regulatory,0.25589622641509435,MEASURABLE
Treg,24,Red,848,Ccl5,regulatory,0.3785377358490566,MEASURABLE
Treg,24,Red,848,Xcl1,regulatory,0.02358490566037736,FLOOR
Treg,24,Red,848,Xcl2,regulatory,,ABSENT
Treg,24,Red,848,Flt3l,regulatory,0.12971698113207547,MEASURABLE
Treg,24,Red,848,Prf1,killing,0.18985849056603774,MEASURABLE
Treg,24,Red,848,Gzma,killing,0.09080188679245282,MEASURABLE
Treg,24,Red,848,Gzmb,killing,0.9764150943396226,CEILING
Treg,24,Red,848,Gzmk,killing,0.0011792452830188679,FLOOR
Treg,24,Red,848,Nkg7,killing,0.44693396226415094,MEASURABLE
Treg,72,Green,128,Ccl3,regulatory,0.1875,MEASURABLE
Treg,72,Green,128,Ccl4,regulatory,0.2578125,MEASURABLE
Treg,72,Green,128,Ccl5,regulatory,0.2890625,MEASURABLE
Treg,72,Green,128,Xcl1,regulatory,0.015625,FLOOR
Treg,72,Green,128,Xcl2,regulatory,,ABSENT
Treg,72,Green,128,Flt3l,regulatory,0.1953125,MEASURABLE
Treg,72,Green,128,Prf1,killing,0.1484375,MEASURABLE
Treg,72,Green,128,Gzma,killing,0.0625,MEASURABLE
Treg,72,Green,128,Gzmb,killing,0.84375,MEASURABLE
Treg,72,Green,128,Gzmk,killing,0.0,FLOOR
Treg,72,Green,128,Nkg7,killing,0.46875,MEASURABLE
Treg,72,Red,712,Ccl3,regulatory,0.16573033707865167,MEASURABLE
Treg,72,Red,712,Ccl4,regulatory,0.3047752808988764,MEASURABLE
Treg,72,Red,712,Ccl5,regulatory,0.36797752808988765,MEASURABLE
Treg,72,Red,712,Xcl1,regulatory,0.02247191011235955,FLOOR
Treg,72,Red,712,Xcl2,regulatory,,ABSENT
Treg,72,Red,712,Flt3l,regulatory,0.09550561797752809,MEASURABLE
Treg,72,Red,712,Prf1,killing,0.1853932584269663,MEASURABLE
Treg,72,Red,712,Gzma,killing,0.05337078651685393,MEASURABLE
Treg,72,Red,712,Gzmb,killing,0.9480337078651685,CEILING
Treg,72,Red,712,Gzmk,killing,0.007022471910112359,FLOOR
Treg,72,Red,712,Nkg7,killing,0.5126404494382022,MEASURABLE
