gene,quadrant,reason,delta,equiv_key,change_key,NK_log2FC,NK_SE,NK_CI95_lo,NK_CI95_hi,NK_CI90_lo,NK_CI90_hi,NK_null_change,NK_null_equiv,NK_saturated,NK_changed,NK_equivalent,NK_TOST_p,CD8T_log2FC,CD8T_SE,CD8T_CI95_lo,CD8T_CI95_hi,CD8T_CI90_lo,CD8T_CI90_hi,CD8T_null_change,CD8T_null_equiv,CD8T_saturated,CD8T_changed,CD8T_equivalent,CD8T_TOST_p,CD4T_log2FC,CD4T_SE,CD4T_CI95_lo,CD4T_CI95_hi,CD4T_CI90_lo,CD4T_CI90_hi,CD4T_null_change,CD4T_null_equiv,CD4T_saturated,CD4T_changed,CD4T_equivalent,CD4T_TOST_p,B_log2FC,B_SE,B_CI95_lo,B_CI95_hi,B_CI90_lo,B_CI90_hi,B_null_change,B_null_equiv,B_saturated,B_changed,B_equivalent,B_TOST_p,Myeloid_log2FC,Myeloid_SE,Myeloid_CI95_lo,Myeloid_CI95_hi,Myeloid_CI90_lo,Myeloid_CI90_hi,Myeloid_null_change,Myeloid_null_equiv,Myeloid_saturated,Myeloid_changed,Myeloid_equivalent,Myeloid_TOST_p,wit_mean
XCL2,Q4,NK indistinguishable from no change; CD4T+B moved concordantly,0.5,p95,p99,0.0521540865003895,0.2119426050908956,-0.3797906591990273,0.4840988321998064,-0.3069995659873645,0.4113077389881436,0.5562187570610526,0.4085273548642851,False,False,True,0.0212990745363219,-0.2722512542807299,0.1016779378162533,-0.4793429677824897,-0.06515954077897,-0.4444700660642836,-0.1000324424971761,0.3245903180266293,0.2602070814265811,False,False,False,0.016077284167277,-1.283700858827562,0.1780745982784369,-1.6468034598404613,-0.9205982578146628,-1.585577299361233,-0.9818244182938912,1.0369996880879693,0.8567461003859376,False,True,False,0.9999413145681868,-1.141506696662216,0.2537226475039394,-1.65951252319133,-0.6235008701331018,-1.572036092843808,-0.7109773004806241,0.8921711049128948,0.7370522378103794,False,True,False,0.9915442375054369,-0.3288037138182885,0.2539945627209877,-0.8475721757058297,0.1899647480692525,-0.7599254910970228,0.1023180634604457,0.7357184093960625,0.6794889006533035,False,False,False,0.2527360414116962,-0.7565656308971991
ORMDL3,Q4,NK indistinguishable from no change; B+Myeloid moved concordantly,0.5,p95,p99,0.008946483423854,0.1582295517665593,-0.3135296108500063,0.3314225776977144,-0.2591861151354958,0.2770790819832041,0.3319959131604529,0.2788900282371159,False,False,True,0.0020078685966627,0.3646659567018879,0.0773104876028593,0.2072044493858592,0.5221274640179167,0.2337199461973035,0.4956119672064724,0.2023262451489485,0.1786632889798758,False,False,False,0.0447939833457623,0.2343268854045924,0.0696099970320427,0.0923887806822438,0.376264990126941,0.1163223056793267,0.3523314651298581,0.170025172419443,0.1500631081787527,False,False,False,0.0003012691881133,0.7288192198708988,0.17749411383671,0.3664432709891178,1.0911951687526795,0.4276382476255298,1.0300001921162678,0.6198567316748734,0.4940864833121037,False,True,False,0.8964407763602341,1.327045667267214,0.1868414085451605,0.9454334426214874,1.7086578919129405,1.009907381871171,1.644183952663257,0.9410804093338782,0.8083908572521773,False,True,False,0.9999413172700048,0.6637144323111482
ANXA2,Q4,NK indistinguishable from no change; CD8T+CD4T+B moved concordantly,0.5,p95,p99,0.0637457515532055,0.1292682945400545,-0.1997065193488839,0.3271980224552949,-0.1553096861914245,0.2828011892978355,0.3067520941816646,0.2573001008934371,False,False,True,0.0009856624008454,-0.629134340359279,0.0785556021025752,-0.7891318245134498,-0.4691368562051082,-0.762189285646383,-0.4960793950721749,0.3202066618336496,0.2633042573620305,False,True,False,0.9450136438725114,-0.6868827896226313,0.087009308215357,-0.8642989198891726,-0.5094666593560899,-0.8343831097765454,-0.5393824694687172,0.4030296411136588,0.3159622341392261,False,True,False,0.9801961440329404,-0.8797358223006244,0.1660031066973931,-1.2186514742423722,-0.5408201703588766,-1.1614182735669718,-0.598053371034277,0.5843713421120741,0.4730497643635243,False,True,False,0.9853344022195109,-0.4560123149340283,0.1168538411003767,-0.6946791854523731,-0.2173454444156835,-0.6543560712623147,-0.257668558605742,0.344454512839958,0.2475854330410433,False,False,False,0.3546245810857225,-0.6629413168041407
AAED1,Q4,NK indistinguishable from no change; CD8T+CD4T moved concordantly,0.5,p95,p99,-0.0905486334620903,0.1323177372556444,-0.3602157508682392,0.1791184839440585,-0.3147715951639095,0.1336743282397288,0.284537497526206,0.2419051216864116,False,False,True,0.0020548461810652,-0.8398274053509682,0.1380841709166394,-1.1210692182432984,-0.5585855924586379,-1.073709920595877,-0.6059448901060591,0.5863007436319164,0.5268377237387972,False,True,False,0.9902904591029243,-1.000109852678757,0.1319137400535843,-1.2690882616481398,-0.7311314437093743,-1.2237332705600372,-0.7764864347974769,0.6920251374514567,0.5730200292542161,False,True,False,0.9996769226445692,-0.2775652374315617,0.1228257381079563,-0.5283290088708953,-0.0268014659922281,-0.4859821500855878,-0.0691483247775355,0.3224514242708109,0.2500576137967155,False,False,False,0.0400464653295497,-0.3536338318829788,0.0974223112747424,-0.552612983373891,-0.1546546803920667,-0.5189951669187485,-0.1882724968472093,0.301682057089811,0.2323744150673742,False,False,False,0.0717355666948453,-0.6177840818360665
TAGLN2,Q4,NK indistinguishable from no change; CD8T+CD4T+B+Myeloid moved concordantly,0.5,p95,p99,-0.0351005421504855,0.1065421767331409,-0.2522363719923532,0.1820352876913821,-0.2156447602480817,0.1454436759471106,0.2993371426347256,0.2400658261518068,False,False,True,6.38848661171019e-05,-0.6887061672385807,0.0821984598126433,-0.8561232122279092,-0.5212891222492522,-0.8279312674265268,-0.5494810670506346,0.3137335427699945,0.2715559570823451,False,True,False,0.9858129907124517,-0.5380578776134741,0.0659118315825784,-0.6724552465618359,-0.4036605086651124,-0.6497932362753105,-0.4263225189516377,0.3326836146979892,0.2360119796504452,False,True,False,0.7160938669889382,-0.6116978263565178,0.142778811714421,-0.9031982387185048,-0.3201974139945306,-0.8539721215353921,-0.3694235311776435,0.4284124769284606,0.3544522788891025,False,True,False,0.7799422356140537,-0.5291701316980055,0.0934285478460701,-0.7199922640431536,-0.3383479993528574,-0.6877525878122943,-0.3705876755837167,0.3561300684469363,0.2521080116821693,False,True,False,0.6214807942839415,-0.5919080007266445
ISG20,Q4,NK indistinguishable from no change; B+Myeloid moved concordantly,0.5,p95,p99,0.0594000456514796,0.1048306234048737,-0.1542475923432967,0.2730476836462561,-0.1182438087886485,0.2370439000916079,0.2454046875137809,0.1848785946280837,False,False,True,0.0001007407495815,0.1754798975143676,0.0559383292034008,0.0615479601250351,0.2894118349037001,0.0807333596176576,0.2702264354110775,0.1377050746817767,0.1082221272961549,False,False,False,9.569995254472658e-07,0.2634363166633806,0.0664696286777198,0.1279015728280819,0.3989710604986793,0.1507553666412424,0.3761172666855188,0.1715500410197059,0.154492183729529,False,False,False,0.0006082216989664,1.0605908974050655,0.1954532416502617,0.6615491918857878,1.4596326029243434,0.7289359705104712,1.3922458242996598,0.6646002639709824,0.5528518380472651,False,True,False,0.9962707282804656,0.8469876660973593,0.1782108657044347,0.4830028008201721,1.2109725313745463,0.544498572119092,1.1494767600756266,0.639077022119761,0.4853007923516703,False,True,False,0.9695196081280886,0.5866236944200433
IFNGR1,Q4,NK indistinguishable from no change; CD8T+CD4T+B moved concordantly,0.5,p95,p99,-0.132815558020594,0.0809385537458386,-0.2977705136324268,0.0321393975912386,-0.2699723943840397,0.0043412783428515,0.1934109434585164,0.155983884752403,False,False,True,3.8979323364440944e-05,-0.5763383067812969,0.1313998058858205,-0.8439657935215261,-0.3087108200410677,-0.7988990601193555,-0.3537775534432383,0.3777206861912845,0.3171194437039035,False,True,False,0.7173370072181429,-0.5683522208527285,0.1266693006691692,-0.8266369677291152,-0.3100674739763417,-0.7830851360499236,-0.3536193056555335,0.4015157244717149,0.3633571742583723,False,True,False,0.7033507340880534,-0.8675351791148294,0.1392514617226796,-1.151834074915702,-0.5832362833139568,-1.1038240887673998,-0.6312462694622589,0.6940331949051244,0.4428155771670964,False,True,False,0.9934953484201332,-0.1773670696125384,0.0995680889001708,-0.3807288415279632,0.0259947023028863,-0.3463705749908906,-0.0083635642341862,0.238944793308296,0.1864858048875848,False,False,True,0.0014612230025179,-0.5473981940903483
PLA2G16,Q4,NK indistinguishable from no change; B+Myeloid moved concordantly,0.5,p95,p99,-0.2188164725452185,0.1374105456199548,-0.4988628707612569,0.0612299256708199,-0.4516696043097196,0.0140366592192826,0.3453761394026205,0.271435413184236,False,False,True,0.0245657454377198,-0.145198034417133,0.0806892423756689,-0.3095411930572461,0.01914512422298,-0.2818668707852084,-0.0085291980490576,0.2171818643280322,0.178175524521492,False,False,True,5.647465063869714e-05,-0.3835455860249487,0.1058165925085698,-0.5993106661747116,-0.1677805058751858,-0.5629284772666414,-0.204162694783256,0.2915406288222201,0.2700837503551173,False,False,False,0.1397631092365914,-0.7118610668455425,0.158770995219377,-1.0360114783935952,-0.3877106552974899,-0.9812717062796414,-0.4424504274114435,0.5442495628646453,0.4423774151485924,False,True,False,0.9039780253286498,-0.9450876538473344,0.1402350280413184,-1.2315091780736862,-0.6586661296209828,-1.1831178458255764,-0.7070574618690925,0.5549578589787373,0.4455689053624684,False,True,False,0.99826572737938,-0.5464230852837396
RNF149,Q4,NK indistinguishable from no change; B+Myeloid moved concordantly,0.5,p95,p99,-0.0327376039984335,0.0814609341438364,-0.19875718495105,0.1332819769541829,-0.1707796556202668,0.1053044476233997,0.1594572320225218,0.1393194053391944,False,False,True,1.223059353853476e-06,-0.2892590522833316,0.0625777301754371,-0.4167137356434665,-0.1618043689231968,-0.3952511934142947,-0.1832669111523685,0.2022352539040815,0.1579736145832697,False,False,False,0.0009918304770702,-0.367404506005735,0.0706550618675237,-0.5114735477828842,-0.2233354642285858,-0.4871807053539669,-0.2476283066575031,0.2618547988488295,0.2115772359746314,False,False,False,0.0349761792631988,-0.58361277170099,0.1084499258198463,-0.8050265635480832,-0.3621989798538968,-0.7676360803748125,-0.3995894630271676,0.3608325011761886,0.2925862784795711,False,True,False,0.7766484520681602,-0.8656642905825976,0.1009420089070328,-1.0718322106339544,-0.659496370531241,-1.0369998412962975,-0.6943287398688978,0.4715911081792057,0.4136292476896871,False,True,False,0.9994664652059112,-0.5264851551431635
HECA,Q4,NK indistinguishable from no change; CD8T+CD4T+B moved concordantly,0.5,p95,p99,-0.1718074081935355,0.1427860782446476,-0.4628092868877723,0.1191944705007014,-0.4137698088348511,0.0701549924477801,0.2912136776404977,0.2558873140083049,False,False,True,0.0141549263453248,-0.554205433733085,0.0791732732238865,-0.7154609545237192,-0.3929499129424507,-0.6883065704445024,-0.4201042970216675,0.3369040080683417,0.2744982369084157,False,True,False,0.7507567040165442,-0.5201952623619019,0.089888920209088,-0.7034830588567549,-0.336907465867049,-0.6725771716205482,-0.3678133531032557,0.3376395255598113,0.2904559672832781,False,True,False,0.588148609179499,-0.5051767795424792,0.0866416449629876,-0.6820662978902556,-0.3282872611947028,-0.6521946963782862,-0.3581588627066722,0.2687781063138439,0.2185306937340624,False,True,False,0.5236257272467826,-0.4835278321935843,0.0845395198661213,-0.6561946649786434,-0.3108609994085252,-0.6270223529601955,-0.3400333114269732,0.3491293756149067,0.2745688429069227,False,False,False,0.4234149017079396,-0.5157763269577625
TSPO,Q4,NK indistinguishable from no change; B+Myeloid moved concordantly,0.5,p95,p99,-0.224784250316207,0.1502097570745507,-0.53091578669754,0.0813472860651259,-0.4793266669741808,0.0297581663417666,0.3983290753604753,0.332613648638051,False,False,True,0.0381846266877379,-0.2585937097165947,0.0637353322888713,-0.3884061297733331,-0.1287812896598563,-0.3665465599726194,-0.15064085946057,0.186011699473639,0.1737564754140974,False,False,False,0.0003158968266195,-0.3149923786597386,0.0726825240861963,-0.4631955126216941,-0.166789244697783,-0.4382055818468471,-0.1917791754726301,0.2414158274690976,0.1955483724675686,False,False,False,0.0080380128349753,-0.6083385543712823,0.1268704048664934,-0.8673600078421668,-0.3493171009003976,-0.823618661755616,-0.3930584469869485,0.4228357726689106,0.3369911810307734,False,True,False,0.8000701121751032,-0.8253571047339854,0.1289537912372634,-1.088737388225363,-0.5619768212426077,-1.0442389070429214,-0.6064753024250493,0.4410557356873814,0.3816934737294553,False,True,False,0.9914100276390512,-0.5018204368704002
GPCPD1,Q4,NK indistinguishable from no change; B+Myeloid moved concordantly,0.5,p95,p99,0.0240870170412018,0.1683689641302488,-0.3190534731104815,0.3672275071928851,-0.2612276246610867,0.3094016587434903,0.3774655461062254,0.337146566529276,False,False,True,0.0040471607348344,-0.4189542757655746,0.1048656027107833,-0.632538439834837,-0.2053701116963122,-0.5965722515397689,-0.2413362999913803,0.3081099671584347,0.2812354836524942,False,False,False,0.2226335557456584,-0.320902520111903,0.1184583199244783,-0.5624446855415955,-0.0793603546822105,-0.5217159787192137,-0.1200890615045923,0.3946316536025928,0.2954140777701053,False,False,False,0.0703150727865732,-0.5545256278943802,0.1547711414351028,-0.8705098485804745,-0.2385414072082859,-0.8171491135150559,-0.2919021422737045,0.4508184781606753,0.3437482193693633,False,True,False,0.6364705829003231,-0.6907162973250941,0.1169995717662675,-0.9296808138740632,-0.4517517807761251,-0.8893074119551087,-0.4921251826950795,0.4504063800901749,0.3331252259036376,False,True,False,0.9432171967656852,-0.49627468027423793
PECAM1,Q4,NK indistinguishable from no change; CD4T+Myeloid moved concordantly,0.5,p95,p99,-0.0238443144333666,0.1904588246446895,-0.4120045361220554,0.3643159072553222,-0.3465919870418474,0.2989033581751142,0.5141930776111332,0.4216454427172106,False,False,True,0.0089065691621482,-0.0418751990366247,0.1375252628102642,-0.3219786603855905,0.2382282623123409,-0.2748110537567101,0.1910606556834606,0.3134364157565565,0.2677499137423185,False,False,True,0.0010930718053265,-0.7141879512943048,0.1490347461271903,-1.0180769084125234,-0.4102989941760862,-0.9668353199345484,-0.4615405826540613,0.6275362071327241,0.4998531104874889,False,True,False,0.919684115624718,-0.3514975038604369,0.215550246245503,-0.7915697030251657,0.0885746953042918,-0.7172540426472593,0.0142590349263854,0.5247605595227178,0.449131696906294,False,False,False,0.2480557031233548,-0.8696169680775406,0.1167560897954918,-1.108084187494935,-0.6311497486601462,-1.0677948046481682,-0.671439131506913,0.4485435267283486,0.4121892454354705,False,True,False,0.998229059295404,-0.4942944055672267
EPSTI1,Q4,NK indistinguishable from no change; CD8T+CD4T moved concordantly,0.5,p95,p99,0.1338276129275818,0.1481461348033299,-0.168098205604903,0.4357534314600667,-0.1172178311620583,0.3848730570172219,0.3811198159573739,0.2697579967785493,False,False,True,0.0095171380261118,0.7545513944237251,0.1212796102069438,0.5075361339847324,1.0015666548627178,0.5491319021327075,0.9599708867147428,0.4831366973267415,0.3725574762736749,False,True,False,0.9781067524666618,0.5536370403814818,0.1060031189930074,0.3374916238316265,0.769782456931337,0.3739379448538793,0.7333361359090842,0.3746911334766779,0.3333270787637292,False,True,False,0.6917901564555144,0.4000378767445754,0.1531853889723948,0.0872911637196878,0.712784589769463,0.1401051759512673,0.6599705775378835,0.4551959414894466,0.3682079852013717,False,False,False,0.259487096125791,0.2623813967780737,0.165979398439421,-0.0766214397827379,0.6013842333388854,-0.0193464184959245,0.544109212052072,0.4226567060011558,0.3556647114211222,False,False,False,0.0813052674698083,0.492651927081964
ADAM17,Q4,NK indistinguishable from no change; B+Myeloid moved concordantly,0.5,p95,p99,-0.0105853074392415,0.1568396245095792,-0.3302286924742044,0.3090580775957213,-0.2763625633773068,0.2551919484988236,0.3595800936378248,0.3268946709189808,False,False,True,0.0019213493892726,-0.131218990939728,0.1052676605606734,-0.3456220430671946,0.0831840611877385,-0.309517959333004,0.0470799774535479,0.2391156722073727,0.1948761191702226,False,False,True,0.0006887497071697,-0.2674854216446763,0.1003319578135235,-0.4720670700044486,-0.062903773284904,-0.4375706252016875,-0.0974002180876651,0.2735397641881712,0.2266523354880841,False,False,False,0.0136059599527211,-0.547446662869128,0.131347217026,-0.815608076078391,-0.2792852496598649,-0.7703232511147962,-0.3245700746234599,0.3315505003049427,0.3133941262221543,False,True,False,0.6397803169682716,-0.9425022097607576,0.1089773042749104,-1.1650817323840363,-0.7199226871374789,-1.1274765989710296,-0.7575278205504856,0.6088956466827302,0.4206383820603297,False,True,False,0.9998379172394898,-0.47216332130357247
