batch,patient,condition,lineage,n_cells,mode
48,581,ambiguous,unassigned,163,hashed
49,581,Normal,NK,285,single
49,581,Normal,CD8T,574,single
49,581,Normal,CD4T,1092,single
49,581,Normal,B,1158,single
49,581,Normal,Myeloid,2177,single
49,581,Normal,unassigned,722,single
50,581,Tumor,NK,149,single
50,581,Tumor,CD8T,602,single
50,581,Tumor,CD4T,1143,single
50,581,Tumor,B,757,single
50,581,Tumor,Myeloid,1637,single
50,581,Tumor,unassigned,955,single
51,584,Normal,NK,158,hashed
51,584,Normal,CD8T,190,hashed
51,584,Normal,CD4T,252,hashed
51,584,Normal,B,148,hashed
51,584,Normal,Myeloid,712,hashed
51,584,Normal,unassigned,256,hashed
51,584,Tumor,NK,82,hashed
51,584,Tumor,CD8T,306,hashed
51,584,Tumor,CD4T,650,hashed
51,584,Tumor,B,409,hashed
51,584,Tumor,Myeloid,997,hashed
51,584,Tumor,unassigned,294,hashed
51,584,ambiguous,NK,31,hashed
51,584,ambiguous,CD8T,23,hashed
51,584,ambiguous,CD4T,54,hashed
51,584,ambiguous,B,50,hashed
51,584,ambiguous,Myeloid,67,hashed
51,584,ambiguous,unassigned,48,hashed
52,584,Normal,NK,147,hashed
52,584,Normal,CD8T,150,hashed
52,584,Normal,CD4T,239,hashed
52,584,Normal,B,125,hashed
52,584,Normal,Myeloid,668,hashed
52,584,Normal,unassigned,286,hashed
52,584,Tumor,NK,108,hashed
52,584,Tumor,CD8T,253,hashed
52,584,Tumor,CD4T,611,hashed
52,584,Tumor,B,410,hashed
52,584,Tumor,Myeloid,872,hashed
52,584,Tumor,unassigned,244,hashed
52,584,ambiguous,NK,21,hashed
52,584,ambiguous,CD8T,23,hashed
52,584,ambiguous,CD4T,41,hashed
52,584,ambiguous,B,39,hashed
52,584,ambiguous,Myeloid,83,hashed
52,584,ambiguous,unassigned,32,hashed
53,593,Normal,NK,618,hashed
53,593,Normal,CD8T,1238,hashed
53,593,Normal,CD4T,1805,hashed
53,593,Normal,B,735,hashed
53,593,Normal,Myeloid,2406,hashed
53,593,Normal,unassigned,3634,hashed
53,593,Tumor,NK,122,hashed
53,593,Tumor,CD8T,172,hashed
53,593,Tumor,CD4T,205,hashed
53,593,Tumor,B,134,hashed
53,593,Tumor,Myeloid,1092,hashed
53,593,Tumor,unassigned,638,hashed
53,593,ambiguous,NK,280,hashed
53,593,ambiguous,CD8T,491,hashed
53,593,ambiguous,CD4T,645,hashed
53,593,ambiguous,B,194,hashed
53,593,ambiguous,Myeloid,966,hashed
53,593,ambiguous,unassigned,1040,hashed
54,596,Normal,NK,271,hashed
54,596,Normal,CD8T,586,hashed
54,596,Normal,CD4T,753,hashed
54,596,Normal,B,254,hashed
54,596,Normal,Myeloid,1391,hashed
54,596,Normal,unassigned,473,hashed
54,596,Tumor,NK,148,hashed
54,596,Tumor,CD8T,581,hashed
54,596,Tumor,CD4T,820,hashed
54,596,Tumor,B,545,hashed
54,596,Tumor,Myeloid,1404,hashed
54,596,Tumor,unassigned,382,hashed
54,596,ambiguous,NK,51,hashed
54,596,ambiguous,CD8T,57,hashed
54,596,ambiguous,CD4T,89,hashed
54,596,ambiguous,B,55,hashed
54,596,ambiguous,Myeloid,182,hashed
54,596,ambiguous,unassigned,86,hashed
55,596,Normal,NK,262,hashed
55,596,Normal,CD8T,508,hashed
55,596,Normal,CD4T,665,hashed
55,596,Normal,B,204,hashed
55,596,Normal,Myeloid,1323,hashed
55,596,Normal,unassigned,460,hashed
55,596,Tumor,NK,176,hashed
55,596,Tumor,CD8T,574,hashed
55,596,Tumor,CD4T,780,hashed
55,596,Tumor,B,511,hashed
55,596,Tumor,Myeloid,1254,hashed
55,596,Tumor,unassigned,390,hashed
55,596,ambiguous,NK,38,hashed
55,596,ambiguous,CD8T,53,hashed
