tissue,assay,donors,n_nk,n_nonnk,IL15_nonNK,IL15RA_nonNK,IL2RB_NK,IL2RG_NK,CISH_NK,BCL2_NK,SOCS1_NK,PIM1_NK,CCL3_NK,CCL4_NK,CCL5_NK,XCL1_NK,reportable
liver,10x 5' v2,2,2072,3742,0.03585778168858347,0.06500696030299433,0.8268407805124984,0.9003154485415779,0.08055280833571599,0.2377535189151945,0.40116851889175853,0.5672542852723497,0.7691568196412417,0.8627667602544212,0.8545655668933709,0.40367429586542114,False
lung,10x 3' v3,2,2880,3979,0.019147411272289434,0.03176681382948225,0.7063176153522688,0.7922273404946671,0.031358710195343864,0.2847968194502848,0.35647387132535646,0.5014574333881264,0.7777103482549028,0.9115959134523491,0.7799156122175924,0.19496158110019496,False
lung,10x 5' v1,6,324,1545,0.031614094913327645,0.0845966819221968,0.75,0.8382352941176471,0.12755555555555553,0.10105363984674329,0.2823275862068966,0.5,0.6666666666666666,0.8819444444444444,0.8469827586206897,0.5555555555555556,True
lung,10x 5' v2,2,29,95,0.045454545454545456,0.05213903743315508,0.7157894736842105,0.868421052631579,0.05,0.3868421052631579,0.618421052631579,0.5868421052631578,0.7947368421052632,0.8473684210526315,0.9236842105263158,0.15263157894736842,False
mesenteric lymph node,10x 5' v1,5,41,6247,0.012096774193548387,0.05278380332610268,0.8571428571428571,0.9090909090909091,0.0,0.18181818181818182,0.5,0.5454545454545454,0.7272727272727273,0.8,0.8,0.75,False
mesenteric lymph node,10x 5' v2,4,950,9910,0.013872331407410713,0.024680354794383207,0.8123425692695214,0.8463476070528967,0.02830188679245283,0.14,0.482367758186398,0.42,0.62,0.6509433962264151,0.74,0.48488664987405544,True
omentum,10x 5' v1,4,33,352,0.024467575975113662,0.05074792567488606,0.7626262626262625,0.9722222222222222,0.0,0.26515151515151514,0.75,0.4242424242424242,0.6666666666666666,0.9722222222222222,1.0,0.3333333333333333,False
sigmoid colon,10x 5' v1,1,1,72,0.013888888888888888,0.041666666666666664,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,False
skeletal muscle tissue,10x 5' v1,5,134,429,0.0,0.0,0.952755905511811,1.0,0.2,0.14960629921259844,0.4,0.5,0.6,1.0,0.8976377952755905,0.5984251968503937,False
spleen,10x 3' v3,2,5098,13984,0.02418524731034084,0.032740004058716035,0.6774439799137401,0.8298387113482547,0.026280954875227455,0.1606326331846697,0.3358498604618574,0.3703178629352527,0.6145033969631783,0.858437862159256,0.7399285706348162,0.23334559483442358,False
spleen,10x 5' v1,6,1361,7404,0.034186496726049204,0.06053617106128159,0.8803094660194175,0.8924453883495146,0.08504293893129772,0.14140284226818628,0.4691961736150771,0.44326687912250795,0.7263965104826228,0.8839833759590793,0.7999011936445202,0.6924721811216734,True
spleen,10x 5' v2,4,1751,9129,0.017040965375084927,0.03911461348772381,0.773951035464574,0.863896755505554,0.028947884012539185,0.16818725424465908,0.44999579221981445,0.46703565830721006,0.6656319910514541,0.7811835850111857,0.7903269508670521,0.42424393425988005,True
thoracic lymph node,10x 3' v3,2,377,19595,0.007844489944376575,0.01962529007416644,0.7616454689984102,0.7642289348171701,0.004411764705882353,0.23310810810810811,0.4241255961844197,0.4279809220985692,0.6708267090620033,0.7977742448330684,0.7480524642289348,0.5662162162162162,False
thoracic lymph node,10x 5' v1,6,257,11475,0.01687227968362428,0.03311615109929167,0.9111111111111111,0.8600340136054422,0.02040816326530612,0.14500000000000002,0.49,0.3896938775510204,0.6607832322118037,0.7638888888888888,0.7733333333333334,0.8792792792792793,True
thoracic lymph node,10x 5' v2,4,177,13438,0.00709441470781996,0.02872308056572461,0.8772077375946173,0.8370479394449117,0.020815811606391926,0.1624248851184164,0.47876061969015493,0.3862489486963835,0.6781609195402298,0.732968881412952,0.7181571815718157,0.7457947855340623,False
thymus,10x 5' v1,1,2,289,0.0,0.010380622837370242,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,False
transverse colon,10x 5' v1,1,4,125,0.016,0.048,1.0,0.75,0.5,0.5,0.25,0.75,0.5,0.75,0.75,0.75,False
