definition,tissue,assay,n_donors,n_nk,top_donor_share,median_umi,bright_frac,stress,insufficient,CCL3,CCL3_iqr,CCL3_bright,CCL3_floor,CCL4,CCL4_iqr,CCL4_bright,CCL4_floor,CCL5,CCL5_iqr,CCL5_bright,CCL5_floor,XCL1,XCL1_iqr,XCL1_bright,XCL1_floor,XCL2,XCL2_iqr,XCL2_bright,XCL2_floor
author,lung,10x 5' v1,6,324,0.38580246913580246,3281.5,0.11933333333333329,1.7428476866094793,,0.6666666666666666,0.20486815415821502,0.6,False,0.8819444444444444,0.07586066035609651,0.8888888888888888,False,0.8469827586206897,0.09243999323867469,0.7777777777777778,False,0.5555555555555556,0.24437260536398475,1.0,False,0.44588235294117645,0.4545588235294118,0.75,False
author,mesenteric lymph node,10x 5' v1,5,41,0.34146341463414637,5050.5,1.0,1.5918681137385589,NK 41<200,0.7272727272727273,0.15714285714285714,0.7272727272727273,False,0.8,0.10389610389610393,0.8,False,0.8,0.2727272727272727,0.8,False,0.75,0.19047619047619047,0.8571428571428571,False,0.7272727272727273,0.18571428571428572,0.7272727272727273,False
author,omentum,10x 5' v1,4,33,0.5454545454545454,3326.5,0.202020202020202,1.46409011249479,NK 33<200; one donor 55% of cells,0.6666666666666666,0.20454545454545459,0.75,False,0.9722222222222222,0.08712121212121215,1.0,False,1.0,0.11363636363636365,1.0,False,0.3333333333333333,0.18181818181818182,1.0,False,0.25757575757575757,0.25252525252525254,0.5,False
author,sigmoid colon,10x 5' v1,1,1,1.0,4983.0,0.0,3.003106671528441,donors 1<3; NK 1<200; one donor 100% of cells,0.0,0.0,,True,1.0,0.0,,False,1.0,0.0,,False,0.0,0.0,,True,0.0,0.0,,True
author,skeletal muscle tissue,10x 5' v1,3,134,0.9477611940298507,4503.0,0.0,1.0146697254772872,NK 134<200; one donor 95% of cells,0.6,0.07677165354330695,0.7142857142857143,False,1.0,0.023622047244094446,0.9285714285714286,False,0.8976377952755905,0.09999999999999998,0.7142857142857143,False,0.5984251968503937,0.4,1.0,False,0.5,0.1503937007874016,0.7142857142857143,False
author,spleen,10x 5' v1,6,1361,0.35194709772226307,5132.75,0.5583952027412906,2.3796447545220625,,0.7263965104826228,0.056715811720424836,0.7595167163190997,False,0.8839833759590793,0.035546535034091775,0.8732207878186031,False,0.7999011936445202,0.11270184365613045,0.7624156545209176,False,0.6924721811216734,0.3573997200318681,0.8539165237278445,False,0.6780370843989769,0.11755134488366903,0.8051956815114709,False
author,thoracic lymph node,10x 5' v1,6,257,0.38910505836575876,4260.25,0.9816666666666666,2.587678615769456,,0.6607832322118037,0.21697324875896296,0.6532956685499058,False,0.7638888888888888,0.23694996016424597,0.7617702448210923,False,0.7733333333333334,0.09103327817613538,0.7691110342442061,False,0.8792792792792793,0.13288793895936746,0.9121065375302664,False,0.7733333333333333,0.2363660599374885,0.7826011760636458,False
author,thymus,10x 5' v1,1,2,1.0,5870.0,0.0,0.9769119639211494,donors 1<3; NK 2<200; one donor 100% of cells,0.5,0.0,,False,0.5,0.0,,False,1.0,0.0,,False,0.5,0.0,,False,0.0,0.0,,True
author,transverse colon,10x 5' v1,1,4,1.0,4185.5,0.75,2.2813043756543125,donors 1<3; NK 4<200; one donor 100% of cells,0.5,0.0,0.3333333333333333,False,0.75,0.0,0.6666666666666666,False,0.75,0.0,0.6666666666666666,False,0.75,0.0,1.0,False,0.75,0.0,1.0,False
author,blood,10x 5' v2,2,267,0.9850187265917603,4030.75,0.1630228136882129,1.1521296055539405,donors 2<3; one donor 99% of cells,0.6625475285171103,0.16254752851711018,0.35,False,0.9315589353612168,0.0684410646387833,0.8,False,0.9258555133079848,0.07414448669201534,0.85,False,0.34315589353612164,0.15684410646387836,0.9,False,0.43441064638783267,0.06558935361216728,0.925,False
