gene,green,red,matched,gap_pp,residual_pp,closed
Ndufa6,0.625974025974026,0.6369230769230769,0.5861512167932623,-1.0949050949050965,-5.0771860129814606,-3.6371014589365283
Tcf20,0.15584415584415584,0.14615384615384616,0.12786450704390143,0.9690309690309679,-1.8289339109944736,-0.8873843761912064
Rrp7a,0.15584415584415584,0.14923076923076922,0.18210892505102705,0.6613386613386618,3.2878155820257824,-3.9714552833954766
Poldip3,0.2519480519480519,0.22615384615384615,0.2219042024202367,2.579420579420577,-0.42496437336094484,0.8352481263616165
Cyb5r3,0.2,0.16307692307692306,0.16027934808835992,3.6923076923076947,-0.2797574988563145,0.9242323440597482
Pacsin2,0.19480519480519481,0.18,0.15771189435867233,1.4805194805194821,-2.228810564132766,-0.5054246792826562
Tspo,0.9454545454545454,0.88,0.9092668870611315,6.545454545454543,2.9266887061131452,0.5528670032327138
Samm50,0.24935064935064935,0.20153846153846153,0.2726667114788095,4.781218781218782,7.112824994034797,-0.4876593855053972
Parvg,0.18441558441558442,0.16615384615384615,0.21632981136326698,1.826173826173827,5.017596520942083,-1.7476007207128137
Nup50,0.32727272727272727,0.33384615384615385,0.2553079862178631,-0.6573426573426577,-7.853816762829075,-10.947827628559118
Atxn10,0.14025974025974025,0.20153846153846153,0.1720760657141531,-6.127872127872128,-2.946239582430843,0.5192067456776535
Cdpf1,0.05194805194805195,0.06307692307692307,0.06461075785819906,-1.112887112887112,0.15338347812759862,0.8621751691151469
Gramd4,0.2987012987012987,0.24461538461538462,0.24017443098466604,5.408591408591406,-0.4440953630718586,0.9178907538908514
Cerk,0.37662337662337664,0.18153846153846154,0.23130675699395944,19.50849150849151,4.976829545549791,0.7448890631352243
Brd1,0.45454545454545453,0.40615384615384614,0.41146328964217244,4.839160839160838,0.5309443488326293,0.8902817313828526
Zbed4,0.06493506493506493,0.06461538461538462,0.05113182739754663,0.031968031968031274,-1.3483557217837985,-41.17825242205036
Creld2,0.12727272727272726,0.16615384615384615,0.13088119518431415,-3.8881118881118892,-3.5272650969532,0.09280771786995057
Pim3,0.18441558441558442,0.17384615384615384,0.15337497848514461,1.0569430569430578,-2.047117536100923,-0.9368285951200588
Trabd,0.2779220779220779,0.26,0.2190838053182776,1.7922077922077895,-4.091619468172242,-1.2830050655743706
Selenoo,0.0987012987012987,0.10615384615384615,0.057071387908825315,-0.7452547452547448,-4.908245824502084,-5.58599741330642
Ppp6r2,0.07272727272727272,0.08,0.08212813256327699,-0.7272727272727277,0.21281325632769854,0.7073817725494147
Sbf1,0.21298701298701297,0.2,0.18977826465314157,1.2987012987012965,-1.022173534685844,0.21292637829189875
Ncaph2,0.2051948051948052,0.13384615384615384,0.21996562293591965,7.134865134865137,8.61194690897658,-0.2070230825938888
Chkb,0.16103896103896104,0.07538461538461538,0.1276033512565487,8.565434565434565,5.221873587193332,0.3903550897153574
Alg10b,0.08831168831168831,0.09538461538461539,0.08061206083850492,-0.7072927072927073,-1.477255454611047,-1.0886055226916072
Gxylt1,0.2571428571428571,0.14307692307692307,0.19038239015138977,11.406593406593405,4.7305467074466705,0.5852796239136349
Yaf2,0.18441558441558442,0.13384615384615384,0.18301629008350145,5.056943056943059,4.9170136237347615,0.027670755164264205
Zcrb1,0.38701298701298703,0.36,0.3416600368156248,2.7012987012987044,-1.8339963184375196,0.32106867057841904
Pphln1,0.09610389610389611,0.07230769230769231,0.06547512495967192,2.37962037962038,-0.6832567348020389,0.712871540076893
Irak4,0.13246753246753246,0.13076923076923078,0.12680204414018828,0.16983016983016797,-0.3967186629042496,-1.3359728327479896
Twf1,0.16103896103896104,0.12,0.1283602989692045,4.103896103896104,0.836029896920451,0.796283854231409
Ano6,0.08571428571428572,0.06307692307692307,0.05977434286549667,2.263736263736264,-0.33025802114264036,0.8541093207573773
2610037D02Rik,0.24935064935064935,0.2,0.2755938635671232,4.935064935064934,7.5593863567123165,-0.531770393333812
Arid2,0.17662337662337663,0.17692307692307693,0.14914238847370193,-0.02997002997003062,-2.7780688449375006,-91.69489712607925
Scaf11,0.5792207792207792,0.5015384615384615,0.5499607293294829,7.76823176823177,4.842226779102143,0.37666293648646554
Slc38a1,0.6051948051948052,0.5476923076923077,0.5273137896465248,5.750249750249747,-2.0378518045782945,0.6456063835332047
