labelling,tissue,assay,donor,n_nk,n_bright,n_unclass,median_umi,bright_frac,stress,CCL3,CCL3_bright,CCL4,CCL4_bright,CCL5,CCL5_bright,XCL1,XCL1_bright,XCL2,XCL2_bright
original,duodenum,10x 5' v1,A31,4,3,0,5340.5,0.75,3.916936034690139,0.5,0.6666666666666666,0.75,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,0.25,0.0
original,duodenum,10x 5' v1,A37,1,0,0,3041.0,0.0,1.8522263084291726,1.0,,1.0,,1.0,,0.0,,0.0,
original,ileum,10x 5' v1,A36,1,1,0,3902.0,1.0,3.6995907300742954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
original,thymus,10x 5' v1,A31,2,0,0,5870.0,0.0,0.9769119639211494,0.5,,0.5,,1.0,,0.5,,0.0,
original,bone marrow,10x 3' v3,D496,1884,7,0,4386.5,0.0037154989384288748,1.5716285408259576,0.7595541401273885,0.5714285714285714,0.9676220806794055,0.8571428571428571,0.8842887473460722,1.0,0.08333333333333333,0.2857142857142857,0.3471337579617834,1.0
original,bone marrow,10x 3' v3,D503,4988,623,0,4167.0,0.12489975942261428,1.5541618387760543,0.7107056936647955,0.43659711075441415,0.9065757818765036,0.6067415730337079,0.7004811547714515,0.5152487961476726,0.22373696872493987,0.7945425361155698,0.506214915797915,0.8250401284109149
original,bone marrow,10x 5' v1,A29,185,10,0,3218.0,0.05405405405405406,0.6757280802540098,0.4810810810810811,0.6,0.8432432432432433,0.7,0.8378378378378378,0.5,0.4540540540540541,0.7,0.34594594594594597,0.3
original,bone marrow,10x 5' v1,A31,19,1,0,4814.0,0.05263157894736842,1.6733068374629985,0.8421052631578947,1.0,1.0,1.0,0.7368421052631579,1.0,0.3157894736842105,1.0,0.05263157894736842,0.0
original,bone marrow,10x 5' v1,A35,159,18,0,5378.0,0.11320754716981132,1.212909246358372,0.8679245283018868,0.8333333333333334,0.9811320754716981,0.9444444444444444,0.9182389937106918,0.8888888888888888,0.6981132075471698,0.9444444444444444,0.37735849056603776,0.6666666666666666
original,bone marrow,10x 5' v1,A36,74,10,0,4302.0,0.13513513513513514,1.3705135808707436,0.6216216216216216,0.6,0.8108108108108109,0.6,0.7702702702702703,0.9,0.20270270270270271,0.8,0.3783783783783784,0.5
original,bone marrow,10x 5' v1,A37,164,21,0,3681.5,0.12804878048780488,1.1727869243863387,0.8170731707317073,0.7142857142857143,0.9024390243902439,0.9047619047619048,0.926829268292683,0.8095238095238095,0.18902439024390244,0.7619047619047619,0.6646341463414634,1.0
original,bone marrow,10x 5' v2,621B,33,7,0,3441.0,0.21212121212121213,1.280471281003187,0.6363636363636364,0.2857142857142857,0.8484848484848485,0.7142857142857143,0.7878787878787878,0.8571428571428571,0.30303030303030304,0.8571428571428571,0.5454545454545454,0.8571428571428571
original,bone marrow,10x 5' v2,637C,384,97,0,4811.5,0.2526041666666667,1.707079113749755,0.734375,0.7938144329896907,0.84375,0.7216494845360825,0.8645833333333334,0.8041237113402062,0.2786458333333333,0.7010309278350515,0.4401041666666667,0.7422680412371134
original,bone marrow,10x 5' v2,640C,336,38,0,4549.0,0.1130952380952381,2.6959900603059688,0.6160714285714286,0.42105263157894735,0.8214285714285714,0.6578947368421053,0.8898809523809523,0.5526315789473685,0.25595238095238093,0.7894736842105263,0.2619047619047619,0.8157894736842105
