batch,condition,lineage,rho_per_sample,rho_pooled,rho_wide
307,Normal,NK,0.7373349102575341,0.7373349102575341,0.6844589527050046
307,Normal,CD8T,0.05307084413389712,0.05307084413389712,0.07125720336641496
307,Normal,CD4T,0.20884899967023926,0.20884899967023926,0.1835399523352247
307,Normal,B,0.8054108881495265,0.8054108881495265,0.3954861344215986
307,Normal,Myeloid,0.03721261325247128,0.03721261325247128,0.05151311705621293
308,Tumor,NK,1.0,1.0,1.0
308,Tumor,CD8T,0.0997939676371597,0.0997939676371597,0.09792446711758307
308,Tumor,CD4T,0.0762748281358745,0.0762748281358745,0.07878968133721419
308,Tumor,B,0.10953485693127148,0.10953485693127148,0.13432737025709768
308,Tumor,Myeloid,0.12449013425171655,0.12449013425171655,0.10824374661150403
309,Tumor,NK,0.024384201894733563,0.024384201894733563,0.02777292332355521
309,Tumor,CD8T,0.01071194180508588,0.01071194180508588,0.015211898195358455
309,Tumor,CD4T,0.020698355145251025,0.020698355145251025,0.05052394637227428
309,Tumor,B,0.19745627467573768,0.19745627467573768,0.15233399321685068
309,Tumor,Myeloid,0.07146332850033521,0.07146332850033521,0.06657509865281198
342,Tumor,NK,0.5715204728259412,0.3850385557830632,0.5072259011054728
342,Normal,NK,0.2261807151466056,0.3850385557830632,0.2984297410727869
342,Tumor,CD8T,0.1091595506919901,0.11254782586687408,0.10604912282137137
342,Normal,CD8T,0.1159259204009961,0.11254782586687408,0.11583266401169919
342,Tumor,CD4T,0.0940733756063209,0.09979737543521093,0.08985626055045945
342,Normal,CD4T,0.10708631330053636,0.09979737543521093,0.10280427678645365
342,Tumor,B,0.13228683856823556,0.1323078837153441,0.1380306979544777
342,Normal,B,0.13243515030318995,0.1323078837153441,0.7172938836605872
342,Tumor,Myeloid,0.2336987398087144,0.17333649304036108,0.5975224186302295
342,Normal,Myeloid,0.08550988766402517,0.17333649304036108,0.2846374198081174
343,Tumor,NK,0.4637354153452712,0.2866537911615856,1.0
343,Normal,NK,0.1508627436660383,0.2866537911615856,0.2058862889080022
343,Tumor,CD8T,0.11186223796003382,0.11204827691228311,0.11443543908463813
343,Normal,CD8T,0.11224452983749408,0.11204827691228311,0.12250449575219091
343,Tumor,CD4T,0.09571994547933423,0.09739990194353808,0.09527472575091582
343,Normal,CD4T,0.09952755751688243,0.09739990194353808,0.10320760531377585
343,Tumor,B,0.11609864628760787,0.12503238638917435,0.17640761707739397
343,Normal,B,0.1812167315009281,0.12503238638917435,1.0
343,Tumor,Myeloid,0.08330111448645362,0.08700773953546294,0.4888992359816639
343,Normal,Myeloid,0.09187305650553834,0.08700773953546294,0.3594794994979245
344,Tumor,NK,0.2707749245905591,0.21046655019234786,0.3338464885029513
344,Normal,NK,0.17461733328204543,0.21046655019234786,0.22128933053553548
344,Tumor,CD8T,0.11915998002764625,0.11974936123228681,0.11411262398184711
344,Normal,CD8T,0.12035921469777451,0.11974936123228681,0.11494997490529557
344,Tumor,CD4T,0.09776951571599846,0.1014836811715138,0.09882408000748594
344,Normal,CD4T,0.10647952363576063,0.1014836811715138,0.1054388535947003
344,Tumor,B,0.10851386151323637,0.11250411123255813,0.21068311791286135
344,Normal,B,0.13983389360499146,0.11250411123255813,1.0
344,Tumor,Myeloid,0.27403989790268907,0.19595660659530323,0.7427010151318099
344,Normal,Myeloid,0.09081717826928087,0.19595660659530323,0.4519806684135067
345,Tumor,NK,0.338438539401369,0.3173467097781026,0.4598996215445978
345,Normal,NK,0.30398761285572656,0.3173467097781026,0.45419613164333916
345,Tumor,CD8T,0.22651226392524854,0.16947724301848824,0.20444033284056706
345,Normal,CD8T,0.11770964477168576,0.16947724301848824,0.13538644944198472
345,Tumor,CD4T,0.10689506998675284,0.111287124622427,0.09976816905428151
345,Normal,CD4T,0.11674774845896496,0.111287124622427,0.11111722439005686
345,Tumor,B,0.12957168279700804,0.13590014587681792,0.12907452526109625
345,Normal,B,0.18848793335952294,0.13590014587681792,1.0
345,Tumor,Myeloid,0.10604230635225438,0.10132426212004304,0.650352268243553
345,Normal,Myeloid,0.09554362731712235,0.10132426212004304,0.4587831780267344
346,Tumor,NK,0.8954431702305827,0.46876278872627286,0.9454712739001355
346,Normal,NK,0.18190733650627253,0.46876278872627286,0.21236525787427052
346,Tumor,CD8T,0.4511777442096822,0.27850153767429076,0.3002468406207348
346,Normal,CD8T,0.12130479341712425,0.27850153767429076,0.12234536711324107
346,Tumor,CD4T,0.10831936036344592,0.10703530218341248,0.10666568795195773
346,Normal,CD4T,0.10532962235128548,0.10703530218341248,0.10906327772157795
346,Tumor,B,0.14549020001905066,0.14303243517933162,0.3328034964867545
346,Normal,B,0.12881870327868453,0.14303243517933162,0.7844970354772941
346,Tumor,Myeloid,0.09099708045963714,0.09910988689551806,0.4877119205880025
346,Normal,Myeloid,0.10874351254965989,0.09910988689551806,0.43712706554596265
347,Tumor,NK,0.5881806889185935,0.331341922154134,1.0
347,Normal,NK,0.18109744080390242,0.331341922154134,0.2921944466222504
347,Tumor,CD8T,0.12160394529709119,0.11962064054095509,0.11679855352666615
347,Normal,CD8T,0.11748010788724973,0.11962064054095509,0.19461187741256317
347,Tumor,CD4T,0.10179338141053683,0.115276329851389,0.09708095368501952
347,Normal,CD4T,0.1342836480430777,0.115276329851389,0.11963512517051118
347,Tumor,B,0.09843898643294705,0.09841238842510193,0.3304411612607307
347,Normal,B,0.09824546534553581,0.09841238842510193,1.0
347,Tumor,Myeloid,0.1262898798372234,0.11385939455678662,0.5331353467816905
347,Normal,Myeloid,0.09997576109630682,0.11385939455678662,0.4360087547025212
668,Tumor,NK,0.015460509040615128,0.015460509040615128,0.02723320284688011
668,Tumor,CD8T,0.01721104817612363,0.01721104817612363,0.022256324242477116
668,Tumor,CD4T,0.1694869141487729,0.1694869141487729,0.14547750494908704
668,Tumor,B,0.029249220055236582,0.029249220055236582,0.05284265846799318
668,Tumor,Myeloid,0.13501499290726351,0.13501499290726351,0.13732427898423305
348,Tumor,NK,0.8309678710908424,0.7339308443578206,0.5224908046495108
348,Normal,NK,0.6687406261415052,0.7339308443578206,0.915740002131436
348,Tumor,CD8T,0.13907738903334851,0.12999843236405076,0.12330562860196256
348,Normal,CD8T,0.12108262531223754,0.12999843236405076,0.11116185824668237
348,Tumor,CD4T,0.09632985171464711,0.09883443038205492,0.11643006914890958
348,Normal,CD4T,0.10225369953660463,0.09883443038205492,0.102208805747754
348,Tumor,B,0.10619200219410534,0.115980045060964,0.31865791408795424
348,Normal,B,0.17566751794946656,0.115980045060964,0.8987435680412682
348,Tumor,Myeloid,0.08064411194598671,0.07873169141688247,0.4872028274534402
348,Normal,Myeloid,0.07627363007494667,0.07873169141688247,0.31752641841502516
