batch,condition,lineage,rho_per_sample,rho_pooled,rho_wide
31,Tumor,CD8T,0.18402217605537416,0.18402217605537416,0.16332219112535742
31,Tumor,CD4T,0.19143191244374907,0.19143191244374907,0.15515586577976162
31,Tumor,B,0.3780489175605372,0.3780489175605372,0.6005729461422925
31,Tumor,Myeloid,0.2093020407672571,0.2093020407672571,0.2123942346073405
36,Tumor,NK,0.5944438378333314,0.5944438378333314,0.543057595401245
36,Tumor,CD8T,0.12084049924028763,0.12084049924028763,0.1267587095818594
36,Tumor,CD4T,0.11303911378313156,0.11303911378313156,0.1165265803424817
36,Tumor,B,0.13031877653507504,0.13031877653507504,0.11541794049440167
36,Tumor,Myeloid,0.12904788056318953,0.12904788056318953,0.5987691006247478
37,Normal,NK,0.06852341100971249,0.06852341100971249,0.8975513708932644
37,Normal,CD8T,0.036281072247924324,0.036281072247924324,0.12898948290609896
37,Normal,CD4T,0.04595220652772539,0.04595220652772539,0.1466084463945977
37,Normal,B,0.3315363667122505,0.3315363667122505,1.0
37,Normal,Myeloid,0.052083262717070845,0.052083262717070845,0.11944854410471022
39,Normal,NK,1.0,1.0,0.829426100770196
39,Normal,CD8T,0.024204144351126184,0.024204144351126184,0.03571873729486583
39,Normal,CD4T,0.02400732837924417,0.02400732837924417,0.0424984097846167
39,Normal,B,0.2226830071567483,0.2226830071567483,1.0
39,Normal,Myeloid,0.01990119734526052,0.01990119734526052,0.3757027731452854
38,Tumor,NK,0.3298082033649702,0.3298082033649702,0.41007443162524493
38,Tumor,CD8T,0.5888676319464179,0.5888676319464179,0.5241989935823248
38,Tumor,CD4T,0.14338227397522957,0.14338227397522957,0.11551566265559401
38,Tumor,B,0.5823596590463365,0.5823596590463365,0.6530127130450765
38,Tumor,Myeloid,0.1650159501663141,0.1650159501663141,0.3408842047854581
40,Tumor,NK,0.02782112461761356,0.02782112461761356,0.030771846351342447
40,Tumor,CD8T,0.027768102231240717,0.027768102231240717,0.02861236842066477
40,Tumor,CD4T,0.028239989088404718,0.028239989088404718,0.030871028507434332
40,Tumor,B,0.141514053095286,0.141514053095286,0.2263448997826202
40,Tumor,Myeloid,0.05687601446492337,0.05687601446492337,0.14169223349322344
41,Normal,NK,0.03007315342585244,0.03007315342585244,0.27012609797593906
41,Normal,CD8T,0.025961610063407737,0.025961610063407737,0.04486649366668746
41,Normal,CD4T,0.02615728852542312,0.02615728852542312,0.08271810675488835
41,Normal,B,0.287485710644736,0.287485710644736,1.0
41,Normal,Myeloid,0.056434843979004015,0.056434843979004015,0.10381388440284686
42,Tumor,NK,0.055676946573198986,0.055676946573198986,0.46924108567668527
42,Tumor,CD8T,0.04070154321204901,0.04070154321204901,0.03822403925070138
42,Tumor,CD4T,0.03833814030942393,0.03833814030942393,0.036812369765140567
42,Tumor,B,0.2860966551754973,0.2860966551754973,1.0
42,Tumor,Myeloid,0.04237608012088875,0.04237608012088875,0.06614885565919154
43,Tumor,NK,0.5339430366150203,0.5339430366150203,0.5392325240570239
43,Tumor,CD8T,0.06386456502382316,0.06386456502382316,0.06359611631103175
43,Tumor,CD4T,0.08686388978251386,0.08686388978251386,0.08863563510778164
43,Tumor,B,0.10972625795326098,0.10972625795326098,0.14336356880687304
43,Tumor,Myeloid,0.17493319700724072,0.17493319700724072,0.23157279178618254
44,Normal,NK,0.047295618319277366,0.047295618319277366,0.24977606124497628
44,Normal,CD8T,0.038223097598615356,0.038223097598615356,0.09044044158143134
44,Normal,CD4T,0.03629089473764,0.03629089473764,0.15573028837969413
44,Normal,B,0.44652168498638334,0.44652168498638334,1.0
44,Normal,Myeloid,0.03907386457305299,0.03907386457305299,0.07377647055217894
46,Normal,NK,0.021660006547430912,0.021660006547430912,0.05891903764751414
46,Normal,CD8T,0.027618161544757037,0.027618161544757037,0.04091974357376689
